"Observer","Date","Year","TimeInitial","TimeFinal","DiveNumber_Transect","Country","Site","Location","Zone","DepthInitial_m","DepthFinal_m","DepthMax_m","Latitude","Longitude","Temperature_C","Visibility_m","Genusspecies","Patch","Diameter_cm","Abundance","Condition","Diameter_cm_Corrected"
"AntoioPantoja","8/4/14","2014","12:31","13:34","10","Mexico","IslaNatividad","Anegados","Fished",6,5,6,"27.89463",-115.20821,"20",8,"Haliotisfulgens","2",24,"1",NA,18
"AntoioPantoja","8/4/14","2014","12:31","13:34","10","Mexico","IslaNatividad","Anegados","Fished",6,5,6,"27.89463",-115.20821,"20",8,"Haliotisfulgens","2",27,"1",NA,20
"AntoioPantoja","8/4/14","2014","12:31","13:34","10","Mexico","IslaNatividad","Anegados","Fished",6,5,6,"27.89463",-115.20821,"20",8,"Haliotisfulgens","3",20,"1",NA,15
"AntoioPantoja","8/4/14","2014","12:31","13:34","10","Mexico","IslaNatividad","Anegados","Fished",6,5,6,"27.89463",-115.20821,"20",8,"Haliotisfulgens","4",22,"1",NA,17
"AntoioPantoja","8/4/14","2014","12:31","13:34","10","Mexico","IslaNatividad","Anegados","Fished",6,5,6,"27.89463",-115.20821,"20",8,"Haliotisfulgens","5",25,"1",NA,19
"UlisesYepiz","8/4/14","2014","12:31","13:34","11","Mexico","IslaNatividad","Anegados","Fished",6,5,6,"27.89463",-115.20821,"20",8,"Haliotisfulgens","1",17,"1",NA,13
"UlisesYepiz","8/4/14","2014","12:31","13:34","11","Mexico","IslaNatividad","Anegados","Fished",6,5,6,"27.89463",-115.20821,"20",8,"Haliotisfulgens","1",21,"1",NA,16
"UlisesYepiz","8/4/14","2014","12:31","13:34","11","Mexico","IslaNatividad","Anegados","Fished",6,5,6,"27.89463",-115.20821,"20",8,"Haliotisfulgens","2",22,"1",NA,17
"UlisesYepiz","8/4/14","2014","12:31","13:34","11","Mexico","IslaNatividad","Anegados","Fished",6,5,6,"27.89463",-115.20821,"20",8,"Haliotisfulgens","3",19,"1",NA,15
"UlisesYepiz","8/4/14","2014","12:31","13:34","11","Mexico","IslaNatividad","Anegados","Fished",6,5,6,"27.89463",-115.20821,"20",8,"Haliotisfulgens","3",22,"1",NA,17
"UlisesYepiz","8/4/14","2014","12:31","13:34","11","Mexico","IslaNatividad","Anegados","Fished",6,5,6,"27.89463",-115.20821,"20",8,"Haliotisfulgens","4",24,"1",NA,18
"RobertoVazquez","8/5/14","2014","10:14","10:54","1","Mexico","IslaNatividad","LaVela","Fished",10,12,12,"27.84512",-115.18511,"20",8,"Haliotisfulgens","0",NA,NA,NA,NA
"PhilipEricsson","8/5/14","2014","10:10","10:51","2","Mexico","IslaNatividad","LaVela","Fished",9,12,12,"27.84512",-115.18511,"20",8,"Haliotisfulgens","0",NA,NA,NA,NA
"SulemaGarcia","8/5/14","2014","10:20","11:00","3","Mexico","IslaNatividad","LaVela","Fished",13,9,13,"27.84451",-115.18448,"22",7,"Haliotisfulgens","0",NA,NA,NA,NA
"ElbaLopes","8/5/14","2014","10:21","11:00","4","Mexico","IslaNatividad","LaVela","Fished",13,9,13,"27.84451",-115.18448,"21",7,"Haliotisfulgens","0",NA,NA,NA,NA
"MitziLeal","8/5/14","2014","10:57","11:36","5","Mexico","IslaNatividad","LaVela","Fished",14,13,14,"27.84451",-115.18448,"21",7,"Haliotisfulgens","0",NA,NA,NA,NA
"EsmeraldaAlbanez","8/5/14","2014","10:31","11:09","6","Mexico","IslaNatividad","LaVela","Fished",15,14,15,"27.48871",-115.18783,"20",6,"Haliotisfulgens","0",NA,NA,NA,NA
"ElsaCuellar","8/5/14","2014","10:57","11:38","7","Mexico","IslaNatividad","LaVela","Fished",16,14,16,"27.48871",-115.18783,"20",6,"Haliotisfulgens","0",NA,NA,NA,NA
"ArturoHernandez","8/5/14","2014","10:35","11:17","8","Mexico","IslaNatividad","LaVela","Fished",3,6,6,"27.84667",-115.18485,"21",6,"Haliotisfulgens","0",NA,NA,NA,NA
"JesusFlores","8/5/14","2014","10:51","11:39","9","Mexico","IslaNatividad","LaVela","Fished",5,8,8,"27.84667",-115.18485,"21",6,"Haliotisfulgens","1",16,"1",NA,13
"JesusFlores","8/5/14","2014","10:51","11:39","9","Mexico","IslaNatividad","LaVela","Fished",5,8,8,"27.84667",-115.18485,"21",6,"Haliotisfulgens","2",18,"1",NA,14
"JesusFlores","8/5/14","2014","10:51","11:39","9","Mexico","IslaNatividad","LaVela","Fished",5,8,8,"27.84667",-115.18485,"21",6,"Haliotisfulgens","2",25,"1",NA,19
"JesusFlores","8/5/14","2014","10:51","11:39","9","Mexico","IslaNatividad","LaVela","Fished",5,8,8,"27.84667",-115.18485,"21",6,"Haliotisfulgens","3",23,"1",NA,17
"JesusFlores","8/5/14","2014","10:51","11:39","9","Mexico","IslaNatividad","LaVela","Fished",5,8,8,"27.84667",-115.18485,"21",6,"Haliotisfulgens","4",16,"1",NA,13
"JesusFlores","8/5/14","2014","10:51","11:39","9","Mexico","IslaNatividad","LaVela","Fished",5,8,8,"27.84667",-115.18485,"21",6,"Haliotisfulgens","4",21,"1",NA,16
"JesusFlores","8/5/14","2014","10:51","11:39","9","Mexico","IslaNatividad","LaVela","Fished",5,8,8,"27.84667",-115.18485,"21",6,"Haliotisfulgens","4",23,"1",NA,17
"JesusFlores","8/5/14","2014","10:51","11:39","9","Mexico","IslaNatividad","LaVela","Fished",5,8,8,"27.84667",-115.18485,"21",6,"Haliotisfulgens","5",22,"1",NA,17
"JesusFlores","8/5/14","2014","10:51","11:39","9","Mexico","IslaNatividad","LaVela","Fished",5,8,8,"27.84667",-115.18485,"21",6,"Haliotisfulgens","6",16,"1",NA,13
"JesusFlores","8/5/14","2014","10:51","11:39","9","Mexico","IslaNatividad","LaVela","Fished",5,8,8,"27.84667",-115.18485,"21",6,"Haliotisfulgens","6",17,"1",NA,13
"JesusFlores","8/5/14","2014","10:51","11:39","9","Mexico","IslaNatividad","LaVela","Fished",5,8,8,"27.84667",-115.18485,"21",6,"Haliotisfulgens","6",28,"1",NA,21
"AntoioPantoja","8/5/14","2014","11:00","11:35","10","Mexico","IslaNatividad","LaVela","Fished",20,22,22,NA,NA,"21",4,"Haliotisfulgens","0",NA,NA,NA,NA
"UlisesYepiz","8/5/14","2014","11:01","11:45","11","Mexico","IslaNatividad","LaVela","Fished",20,22,22,NA,NA,"21",6,"Haliotisfulgens","0",NA,NA,NA,NA
"RobertoVazquez","8/5/14","2014","11:57","11:57","1","Mexico","IslaNatividad","ElTriangulo","Fished",18,9,18,"27.84137",-115.13326,"20",7,"Haliotisfulgens","0",NA,NA,NA,NA
"PhilipEricsson","8/5/14","2014","10:53","11:53","2","Mexico","IslaNatividad","ElTriangulo","Fished",17,10,17,"27.8413",-115.13226,"20",8,"Haliotisfulgens","0",NA,NA,NA,NA
"SulemaGarcia","8/5/14","2014","11:54","12:40","3","Mexico","IslaNatividad","ElTriangulo","Fished",12,11,12,"27.84137",-115.13326,"20",7,"Haliotisfulgens","0",NA,NA,NA,NA
"ElbaLopes","8/5/14","2014","12:05","12:45","4","Mexico","IslaNatividad","ElTriangulo","Fished",11,10,11,"27.84137",-115.13326,"21",7,"Haliotisfulgens","0",NA,NA,NA,NA
"MitziLeal","8/5/14","2014","12:41","13:21","5","Mexico","IslaNatividad","ElTriangulo","Fished",11,10,11,"27.84137",-115.13326,"21",7,"Haliotisfulgens","0",NA,NA,NA,NA
"EsmeraldaAlbanez","8/5/14","2014","12:23","12:58","6","Mexico","IslaNatividad","ElTriangulo","Fished",14,8,14,"27.84137",-115.13326,"20",8,"Haliotisfulgens","0",NA,NA,NA,NA
"ElsaCuellar","8/5/14","2014","12:47","13:26","7","Mexico","IslaNatividad","ElTriangulo","Fished",14,8,14,"27.84137",-115.13326,"20",8,"Haliotisfulgens","0",NA,NA,NA,NA
"ArturoHernandez","8/5/14","2014","12:25","13:05","8","Mexico","IslaNatividad","ElTriangulo","Fished",16,12,16,"27.84137",-115.13326,"20",8,"Haliotisfulgens","0",NA,NA,NA,NA
"JesusFlores","8/5/14","2014","12:45","13:20","9","Mexico","IslaNatividad","ElTriangulo","Fished",16,12,16,"27.84137",-115.13326,"20",8,"Haliotisfulgens","0",NA,NA,NA,NA
"AntoioPantoja","8/5/14","2014","11:00","11:44","10","Mexico","IslaNatividad","ElTriangulo","Fished",14,14,14,"27.84137",-115.13326,"20",4,"Haliotisfulgens","0",NA,NA,NA,NA
"UlisesYepiz","8/5/14","2014","11:01","11:45","11","Mexico","IslaNatividad","ElTriangulo","Fished",14,14,14,"27.84137",-115.13326,"20",6,"Haliotisfulgens","0",NA,NA,NA,NA
"ArturoHernandez","8/6/14","2014","10:27","11:14","1","Mexico","IslaNatividad","ElTivo","Fished",9,9,9,NA,NA,"20",5,"Haliotisfulgens","1",16,"3",NA,13
"ArturoHernandez","8/6/14","2014","10:27","11:14","1","Mexico","IslaNatividad","ElTivo","Fished",9,9,9,NA,NA,"20",5,"Haliotisfulgens","2",9,"1",NA,8
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","1",18,"1",NA,14
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","2",9,"2",NA,8
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","2",15,"1",NA,12
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","2",18,"1",NA,14
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","2",19,"1",NA,15
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","2",20,"1",NA,15
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","2",22,"1",NA,17
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","3",12,"1",NA,10
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","3",17,"1",NA,13
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","3",18,"2",NA,14
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","3",20,"1",NA,15
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","4",18,"1",NA,14
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","4",19,"1",NA,15
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","4",21,"1",NA,16
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","4",22,"1",NA,17
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","5",17,"1",NA,13
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","5",23,"2",NA,17
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","5",25,"1",NA,19
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","6",13,"1",NA,10
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","6",18,"2",NA,14
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","6",20,"1",NA,15
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","6",23,"1",NA,17
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","6",26,"1",NA,20
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","6",27,"1",NA,20
"JesusFlores","8/6/14","2014","10:32","11:14","2","Mexico","IslaNatividad","ElTivo","Fished",5,6,6,NA,NA,"20",5,"Haliotisfulgens","7",29,"1",NA,22
"AntoioPantoja","8/6/14","2014","11:00","11:45","3","Mexico","IslaNatividad","ElTivo","Fished",10,10,10,NA,NA,"20",6,"Haliotisfulgens","1",19,"1",NA,15
"AntoioPantoja","8/6/14","2014","11:00","11:45","3","Mexico","IslaNatividad","ElTivo","Fished",10,10,10,NA,NA,"20",6,"Haliotisfulgens","1",22,"1",NA,17
"UlisesYepiz","8/6/14","2014","11:00","11:45","4","Mexico","IslaNatividad","ElTivo","Fished",10,10,10,NA,NA,"20",6,"Haliotisfulgens","0",NA,NA,NA,NA
"RobertoVazquez","8/6/14","2014","10:39","11:20","1","Mexico","IslaNatividad","CaboPruneda","Fished",14,14,14,NA,NA,"19",7,"Haliotisfulgens","0",NA,NA,NA,NA
"PhilipEricsson","8/6/14","2014","10:01","10:40","2","Mexico","IslaNatividad","CaboPruneda","Fished",8,8,8,NA,NA,"19",7,"Haliotisfulgens","0",NA,NA,NA,NA
"SulemaGarcia","8/6/14","2014","10:42","11:20","3","Mexico","IslaNatividad","CaboPruneda","Fished",9,9,9,"27.89771",-115.2203,"23",7,"Haliotisfulgens","0",NA,NA,NA,NA
"ElbaLopes","8/6/14","2014","10:53","11:33","4","Mexico","IslaNatividad","CaboPruneda","Fished",9,8,9,"27.89771",-115.2203,"23",5,"Haliotisfulgens","1",18,"1",NA,14
"ElbaLopes","8/6/14","2014","10:53","11:33","4","Mexico","IslaNatividad","CaboPruneda","Fished",9,8,9,"27.89771",-115.2203,"23",5,"Haliotisfulgens","1",20,"1",NA,15
"MitziLeal","8/6/14","2014","11:29","12:10","5","Mexico","IslaNatividad","CaboPruneda","Fished",10,10,10,"27.89771",-115.2203,"23",5,"Haliotisfulgens","0",NA,NA,NA,NA
"EsmeraldaAlbanez","8/6/14","2014","12:02","12:44","6","Mexico","IslaNatividad","CaboPruneda","Fished",13,15,15,NA,NA,"20",10,"Haliotisfulgens","0",NA,NA,NA,NA
"ElsaCuellar","8/6/14","2014","12:27","13:11","7","Mexico","IslaNatividad","CaboPruneda","Fished",16,16,16,NA,NA,"20",10,"Haliotisfulgens","0",NA,NA,NA,NA
"RobertoVazquez","8/6/14","2014","12:04","12:46","8","Mexico","IslaNatividad","CaboPruneda","Fished",8,8,8,NA,NA,"22",7,"Haliotisfulgens","0",NA,NA,NA,NA
"PhilipEricsson","8/6/14","2014","12:35","13:15","9","Mexico","IslaNatividad","CaboPruneda","Fished",14,14,14,"27.89763",-115.22031,"22",7,"Haliotisfulgens","0",NA,NA,NA,NA
"SulemaGarcia","8/6/14","2014","12:10","12:50","10","Mexico","IslaNatividad","CaboPruneda","Fished",9,9,9,NA,NA,"22",5,"Haliotisfulgens","0",NA,NA,NA,NA
"ElbaLopes","8/6/14","2014","12:08","12:58","11","Mexico","IslaNatividad","CaboPruneda","Fished",10,10,10,NA,NA,"22",5,"Haliotisfulgens","1",18,"2",NA,14
"ElbaLopes","8/6/14","2014","12:08","12:58","11","Mexico","IslaNatividad","CaboPruneda","Fished",10,10,10,NA,NA,"22",5,"Haliotisfulgens","1",22,"1",NA,17
"MitziLeal","8/6/14","2014","12:54","13:40","12","Mexico","IslaNatividad","CaboPruneda","Fished",9,9,9,"27.89617",-115.21885,"22",5,"Haliotisfulgens","1",15,"1",NA,12
"MitziLeal","8/6/14","2014","12:54","13:40","12","Mexico","IslaNatividad","CaboPruneda","Fished",9,9,9,"27.89617",-115.21885,"22",5,"Haliotisfulgens","1",18,"2",NA,14
"MitziLeal","8/6/14","2014","12:54","13:40","12","Mexico","IslaNatividad","CaboPruneda","Fished",9,9,9,"27.89617",-115.21885,"22",5,"Haliotisfulgens","1",20,"2",NA,15
"ArturoHernandez","8/6/14","2014","11:01","11:45","13","Mexico","IslaNatividad","CaboPruneda","Fished",14,14,14,NA,NA,"21",10,"Haliotisfulgens","0",NA,NA,NA,NA
"JesusFlores","8/6/14","2014","12:00","12:36","14","Mexico","IslaNatividad","CaboPruneda","Fished",14,11,14,NA,NA,"21",10,"Haliotisfulgens","1",19,"1",NA,15
"UlisesYepiz","8/6/14","2014","12:01","12:51","15","Mexico","IslaNatividad","CaboPruneda","Fished",14,14,14,NA,NA,"21",8,"Haliotisfulgens","1",15,"1",NA,12
"AntoioPantoja","8/6/14","2014","12:03","12:40","16","Mexico","IslaNatividad","CaboPruneda","Fished",12,12,12,NA,NA,"21",7,"Haliotisfulgens","0",NA,NA,NA,NA
"RobertoVazquez","8/4/14","2014","10:20","10:59","1","Mexico","IslaNatividad","MorroPrieto","Fished",12,9,12,"27.8833",-115.2146,"20",2,"Haliotiscorrugata","1",19,"1",NA,15
"RobertoVazquez","8/4/14","2014","10:20","10:59","1","Mexico","IslaNatividad","MorroPrieto","Fished",12,9,12,"27.8833",-115.2146,"20",2,"Haliotiscorrugata","2",18,"1",NA,14
"RobertoVazquez","8/4/14","2014","10:20","10:59","1","Mexico","IslaNatividad","MorroPrieto","Fished",12,9,12,"27.8833",-115.2146,"20",2,"Haliotiscorrugata","3",13,"1",NA,10
"MitziLeal","8/4/14","2014","10:20","11:08","2","Mexico","IslaNatividad","MorroPrieto","Fished",16,16,16,"27.8833",-115.21454,"21",1,"Haliotiscorrugata","1",22,"1",NA,17
"PhilipEricsson","8/4/14","2014","11:02","11:40","3","Mexico","IslaNatividad","MorroPrieto","Fished",11,10,11,"27.8833",-115.2146,"21",0,"Haliotiscorrugata","1",10,"2",NA,8
"ElbaLopes","8/4/14","2014","10:20","11:08","4","Mexico","IslaNatividad","MorroPrieto","Fished",16,17,17,"27.8234",-115.21454,"21",1,"Haliotiscorrugata","1",16,"1",NA,13
"ElbaLopes","8/4/14","2014","10:20","11:08","4","Mexico","IslaNatividad","MorroPrieto","Fished",16,17,17,"27.8234",-115.21454,"21",1,"Haliotiscorrugata","1",22,"1",NA,17
"ElbaLopes","8/4/14","2014","10:20","11:08","4","Mexico","IslaNatividad","MorroPrieto","Fished",16,17,17,"27.8234",-115.21454,"21",1,"Haliotiscorrugata","2",17,"2",NA,13
"ElbaLopes","8/4/14","2014","10:20","11:08","4","Mexico","IslaNatividad","MorroPrieto","Fished",16,17,17,"27.8234",-115.21454,"21",1,"Haliotiscorrugata","3",19,"1",NA,15
"ElbaLopes","8/4/14","2014","10:20","11:08","4","Mexico","IslaNatividad","MorroPrieto","Fished",16,17,17,"27.8234",-115.21454,"21",1,"Haliotiscorrugata","3",22,"1",NA,17
"SulemaGarcia","8/4/14","2014","10:20","11:08","5","Mexico","IslaNatividad","MorroPrieto","Fished",16,16,16,"27.8234",-115.21454,"21",1,"Haliotiscorrugata","0",NA,NA,NA,NA
"EsmeraldaAlbanez","8/4/14","2014","10:35","11:06","6","Mexico","IslaNatividad","MorroPrieto","Fished",16,14,16,"27.88226",-115.21445,"21",2,"Haliotiscorrugata","1",20,"1",NA,15
"AntoioPantoja","8/4/14","2014","10:35","11:06","7","Mexico","IslaNatividad","MorroPrieto","Fished",16,14,16,"27.88226",-115.21445,"21",2,"Haliotiscorrugata","1",19,"1",NA,15
"ArturoHernandez","8/4/14","2014","11:00","11:30","8","Mexico","IslaNatividad","MorroPrieto","Fished",16,15,16,"27.88096",-115.21558,"21",6,"Haliotiscorrugata","1",10,"1",NA,8
"ArturoHernandez","8/4/14","2014","11:00","11:30","8","Mexico","IslaNatividad","MorroPrieto","Fished",16,15,16,"27.88096",-115.21558,"21",6,"Haliotiscorrugata","1",16,"1",NA,13
"ElsaCuellar","8/4/14","2014","11:24","12:02","9","Mexico","IslaNatividad","MorroPrieto","Fished",17,13,17,"27.88096",-115.21558,"19",6,"Haliotiscorrugata","1",20,"1",NA,15
"JesusFlores","8/4/14","2014","11:06","11:36","10","Mexico","IslaNatividad","MorroPrieto","Fished",16,12,16,"27.8814",-115.21424,"20",7,"Haliotiscorrugata","1",11,"1",NA,9
"JesusFlores","8/4/14","2014","11:06","11:36","10","Mexico","IslaNatividad","MorroPrieto","Fished",16,12,16,"27.8814",-115.21424,"20",7,"Haliotiscorrugata","1",12,"1",NA,10
"JesusFlores","8/4/14","2014","11:06","11:36","10","Mexico","IslaNatividad","MorroPrieto","Fished",16,12,16,"27.8814",-115.21424,"20",7,"Haliotiscorrugata","2",17,"1",NA,13
"JesusFlores","8/4/14","2014","11:06","11:36","10","Mexico","IslaNatividad","MorroPrieto","Fished",16,12,16,"27.8814",-115.21424,"20",7,"Haliotiscorrugata","2",20,"1",NA,15
"JesusFlores","8/4/14","2014","11:06","11:36","10","Mexico","IslaNatividad","MorroPrieto","Fished",16,12,16,"27.8814",-115.21424,"20",7,"Haliotiscorrugata","3",21,"2",NA,16
"JesusFlores","8/4/14","2014","11:06","11:36","10","Mexico","IslaNatividad","MorroPrieto","Fished",16,12,16,"27.8814",-115.21424,"20",7,"Haliotiscorrugata","4",9,"1",NA,8
"JesusFlores","8/4/14","2014","11:06","11:36","10","Mexico","IslaNatividad","MorroPrieto","Fished",16,12,16,"27.8814",-115.21424,"20",7,"Haliotiscorrugata","4",10,"1",NA,8
"JesusFlores","8/4/14","2014","11:06","11:36","10","Mexico","IslaNatividad","MorroPrieto","Fished",16,12,16,"27.8814",-115.21424,"20",7,"Haliotiscorrugata","4",22,"1",NA,17
"UlisesYepiz","8/4/14","2014","11:06","11:43","11","Mexico","IslaNatividad","MorroPrieto","Fished",16,12,16,"27.8814",-115.21424,"20",7,"Haliotiscorrugata","1",12,"1",NA,10
"UlisesYepiz","8/4/14","2014","11:06","11:43","11","Mexico","IslaNatividad","MorroPrieto","Fished",16,12,16,"27.8814",-115.21424,"20",7,"Haliotiscorrugata","1",17,"1",NA,13
