"Observer","Date","Month","Day","Year","TimeInitial","TimeFinal","TransectNumber","Location","Site","Zone","Country","DepthInitial","DepthFinal","DepthMax","Latitude","Longitude","Temperature","Visibility","SandSiltClay","Cobble","Boulder","Bedrock","Other","ReliefOne","ReliefTwo","ReliefThree","ReliefFour","NoOrg","BrownAlgae","OtherBrownAlgae","GreenAlgae","RedAlgae","ArticulatedCoralline","CrustoseCoralline","SessileInvertebrate","MobileInvertebrate","Gellidium","Seagrass","newdate"
"AlonsoGrosso","8/21/06",8,21,2006,"12:02","12:06",4,"Babencho","IslaNatividad","Fished","Mexico",18.4,17.6,17.6,27.85768,-115.19135,14,8,0,4,6,0,0,0,10,0,0,0,0,6,0,0,0,4,0,NA,0,0,0006-08-21
"AlonsoGrosso","8/21/06",8,21,2006,"14:10","14:13",5,"Babencho","IslaNatividad","Fished","Mexico",14.2,12.4,14.2,27.86332,-115.18625,14,8,3,5,2,0,0,1,9,0,0,5,3,1,0,0,1,0,0,NA,0,0,0006-08-21
"AlonsoGrosso","8/22/06",8,22,2006,"11:57","12:03",11,"LaDulce","IslaNatividad","Fished","Mexico",9.2,8.6,9.2,27.8417,-115.14218,17,15,0,1,9,0,0,0,8,2,0,1,0,0,0,1,5,0,0,NA,3,0,0006-08-22
"AlonsoGrosso","8/22/06",8,22,2006,"13:41","13:47",11,"LaDulce","IslaNatividad","Fished","Mexico",7.1,7.2,7.2,27.84332,-115.1423,18,15,0,0,10,0,0,0,10,0,0,0,0,0,5,0,3,0,1,NA,1,0,0006-08-22
"AlonsoGrosso","8/23/06",8,23,2006,"11:19","11:23",10,"Babencho","IslaNatividad","Fished","Mexico",15.1,12.8,15.1,27.86075,-115.18935,15,6,0,1,9,0,0,0,7,3,0,0,0,0,0,3,7,0,0,NA,0,0,0006-08-23
"AlonsoGrosso","8/23/06",8,23,2006,"12:52","12:59",11,"Babencho","IslaNatividad","Fished","Mexico",8.4,8.6,8.6,27.86522,-115.18655,15,6,1,0,9,0,0,0,8,0,2,1,3,3,0,0,0,0,0,NA,3,0,0006-08-23
"AlonsoGrosso","8/25/06",8,25,2006,"11:25","11:30",11,"PuntaPrieta","IslaNatividad","Reserve","Mexico",14.4,14.9,14.9,27.89142,-115.19245,18,8,5,1,4,0,0,8,2,0,0,3,0,0,4,0,3,0,0,NA,0,0,0006-08-25
"AlonsoGrosso","8/25/06",8,25,2006,"13:55","13:59",12,"PuntaPrieta","IslaNatividad","Reserve","Mexico",5.1,6.6,6.6,27.88798,-115.19468,18,8,0,0,10,0,0,0,10,0,0,0,0,0,1,1,8,0,0,NA,0,0,0006-08-25
"AbrahamMayoral","7/30/12",7,30,2012,"9:04","9:14",1,"Babencho","IslaNatividad","Fished","Mexico",14.6,13.5,14.6,27.86171,-115.19368,13,6,1,4,5,20,0,0,23,7,0,1,0,0,0,0,4,8,12,1,4,0,0012-07-30
"AbrahamMayoral","7/30/12",7,30,2012,"10:29","10:37",2,"Babencho","IslaNatividad","Fished","Mexico",14.6,13.5,14.6,27.86171,-115.19368,15,5.3,0,7,10,13,0,0,30,0,0,0,2,0,0,5,4,9,9,1,0,0,0012-07-30
"AlonsoGrosso","7/30/12",7,30,2012,"8:58","9:08",3,"Babencho","IslaNatividad","Fished","Mexico",14.3,17.3,17.3,27.86171,-115.19368,14,6,0,0,0,30,0,0,28,2,0,5,1,0,0,0,3,4,16,0,1,0,0012-07-30
"AlonsoGrosso","7/30/12",7,30,2012,"10:25","10:34",4,"Babencho","IslaNatividad","Fished","Mexico",14.3,17.3,17.3,27.86428,-115.18803,14,5.8,0,0,0,30,0,0,25,5,0,0,1,0,0,5,4,5,10,0,5,0,0012-07-30
"ArturoHernandez","7/30/12",7,30,2012,"9:05","9:10",5,"Babencho","IslaNatividad","Fished","Mexico",16.7,14.3,16.7,27.86223,-115.19441,14,9,0,0,2,27,1,0,24,6,0,0,2,0,0,0,7,12,1,0,8,0,0012-07-30
"ArturoHernandez","7/30/12",7,30,2012,"10:33","10:40",6,"Babencho","IslaNatividad","Fished","Mexico",16.7,14.3,16.7,27.86223,-115.19441,15,7,1,3,4,22,0,0,26,4,0,2,3,0,0,2,6,7,8,1,1,0,0012-07-30
"JhonatanCastro","7/30/12",7,30,2012,"9:27","9:35",7,"Babencho","IslaNatividad","Fished","Mexico",16.7,14.3,16.7,27.86223,-115.19441,14,7,0,1,1,28,0,0,27,3,0,0,1,1,0,7,4,3,9,2,3,0,0012-07-30
"JhonatanCastro","7/30/12",7,30,2012,"10:21","10:27",8,"Babencho","IslaNatividad","Fished","Mexico",16.7,14.3,16.7,27.86223,-115.19441,14,7,1,1,1,27,0,0,23,7,0,2,4,0,0,11,6,0,2,4,1,0,0012-07-30
"SergioMendoza","7/30/12",7,30,2012,"9:01","9:13",9,"Babencho","IslaNatividad","Fished","Mexico",15.4,14.4,15.4,27.86171,-115.19368,14,5,2,5,11,12,0,3,26,1,0,8,2,0,0,0,4,11,5,0,0,0,0012-07-30
"SergioMendoza","7/30/12",7,30,2012,"10:34","10:45",10,"Babencho","IslaNatividad","Fished","Mexico",15.4,14.4,15.4,27.86171,-115.19368,15,6,2,7,5,15,1,2,19,9,0,12,0,0,0,3,3,10,2,0,0,0,0012-07-30
"AbrahamMayoral","7/31/12",7,31,2012,"9:02","9:07",1,"Babencho","IslaNatividad","Fished","Mexico",14.1,15.7,15.7,27.85368,-115.17001,14,4.9,0,8,4,18,0,0,28,2,0,0,1,0,0,3,2,11,12,0,1,0,0012-07-31
"AlonsoGrosso","7/31/12",7,31,2012,"8:58","9:06",2,"Babencho","IslaNatividad","Fished","Mexico",16,14.7,16,27.85368,-115.17001,14,4.9,1,1,5,23,0,0,30,0,0,0,0,0,0,6,4,8,10,1,1,0,0012-07-31
"ArturoHernandez","7/31/12",7,31,2012,"9:05","9:11",3,"Babencho","IslaNatividad","Fished","Mexico",14.8,15.5,15.5,27.8637,-115.19164,15,7,0,8,10,12,0,18,12,0,0,0,1,0,0,5,1,20,3,0,0,0,0012-07-31
"ArturoHernandez","7/31/12",7,31,2012,"9:20","9:27",4,"Babencho","IslaNatividad","Fished","Mexico",15.5,14.8,14.8,27.8637,-115.19164,15,7,0,1,8,21,0,6,24,0,0,0,2,0,0,4,8,12,4,0,0,0,0012-07-31
"JhonatanCastro","7/31/12",7,31,2012,"9:21","9:27",5,"Babencho","IslaNatividad","Fished","Mexico",15.7,16,16,27.8637,-115.19164,15,5,0,4,12,13,1,0,30,0,0,0,1,1,0,5,3,18,2,0,0,0,0012-07-31
"SergioMendoza","7/31/12",7,31,2012,"9:03","9:11",6,"Babencho","IslaNatividad","Fished","Mexico",15.7,16,16,27.8637,-115.19164,15,7,3,11,6,10,0,3,27,0,0,7,2,0,0,0,3,17,1,0,0,0,0012-07-31
"AbrahamMayoral","7/31/12",7,31,2012,"10:41","10:49",1,"LaPlana","IslaNatividad","Reserve","Mexico",9.8,8.2,9.8,27.84907,-115.17152,14,5,2,4,8,16,0,0,30,0,0,2,2,4,0,0,10,7,4,1,0,0,0012-07-31
"ArturoHernandez","7/31/12",7,31,2012,"10:40","10:46",2,"LaPlana","IslaNatividad","Reserve","Mexico",7.4,8.3,8.3,27.84907,-115.17152,14,5,0,1,12,17,0,0,30,0,0,0,1,4,0,1,8,15,0,1,0,0,0012-07-31
"ArturoHernandez","7/31/12",7,31,2012,"10:58","11:05",3,"LaPlana","IslaNatividad","Reserve","Mexico",6.9,8,8,27.84907,-115.17152,14,5,0,3,7,20,0,1,29,0,0,0,1,4,0,0,9,12,3,1,0,0,0012-07-31
"JhonatanCastro","7/31/12",7,31,2012,"10:23","10:29",4,"LaPlana","IslaNatividad","Reserve","Mexico",8.4,8.6,8.6,27.84855,-115.17216,14,8,0,4,7,19,0,0,25,5,0,0,0,1,0,1,10,15,1,2,0,0,0012-07-31
"SergioMendoza","7/31/12",7,31,2012,"10:36","10:41",5,"LaPlana","IslaNatividad","Reserve","Mexico",8.4,8.6,8.6,27.84855,-115.17216,14,5,1,4,14,11,0,1,28,1,0,2,2,0,0,0,8,17,0,1,0,0,0012-07-31
"AbrahamMayoral","7/27/11",7,27,2011,"10:35","10:43",1,"LaDulce","IslaNatividad","Fished","Mexico",13.9,12.6,13.9,27.84455,-115.14399,13,6,0,7,0,23,0,3,24,3,0,0,2,5,0,1,2,16,3,1,0,0,0011-07-27
"AbrahamMayoral","7/27/11",7,27,2011,"12:20","12:28",2,"LaDulce","IslaNatividad","Fished","Mexico",4,5,5,27.84379,-115.14176,14,9,1,1,0,28,0,0,28,2,0,1,1,0,0,0,0,5,0,0,4,19,0011-07-27
"AlonsoRamirez","7/27/11",7,27,2011,"10:35","10:43",3,"LaDulce","IslaNatividad","Fished","Mexico",13.4,15.6,15.6,24.84455,-115.14399,14,6,1,6,6,17,0,2,27,1,0,1,0,0,0,0,7,22,0,0,0,0,0011-07-27
"AlonsoRamirez","7/27/11",7,27,2011,"11:58","12:06",4,"LaDulce","IslaNatividad","Fished","Mexico",4.6,4.8,4.8,27.84379,-115.14176,15,9,1,0,0,29,0,1,15,14,0,1,0,0,0,0,2,4,0,0,8,15,0011-07-27
"ArturoHernandez","7/27/11",7,27,2011,"10:37","10:44",5,"LaDulce","IslaNatividad","Fished","Mexico",13.6,13.1,13.6,27.84455,-115.14399,14,6,0,2,1,27,0,8,22,0,0,0,7,1,0,1,4,10,7,0,0,0,0011-07-27
"ArturoHernandez","7/27/11",7,27,2011,"12:07","12:15",6,"LaDulce","IslaNatividad","Fished","Mexico",5,5.3,5.3,27.84379,-115.14176,14,7,1,0,1,28,0,14,16,0,0,0,3,0,0,1,4,8,0,0,0,14,0011-07-27
"AlonsoGrosso","7/27/11",7,27,2011,"10:43","10:52",7,"LaDulce","IslaNatividad","Fished","Mexico",13.7,13.8,13.7,27.84423,-115.14455,14,11,0,0,0,30,0,0,30,0,0,0,0,1,0,0,2,18,6,3,0,0,0011-07-27
"AlonsoGrosso","7/27/11",7,27,2011,"12:20","12:30",8,"LaDulce","IslaNatividad","Fished","Mexico",8.6,9.9,9.9,27.84263,-115.14284,14,11,0,2,0,28,0,0,25,5,0,2,0,2,0,1,5,13,5,1,0,1,0011-07-27
"AlbertoZuniga","7/27/11",7,27,2011,"10:22","10:29",9,"LaDulce","IslaNatividad","Fished","Mexico",13.5,12.6,13.5,27.84157,-115.14458,13.8,9,1,2,2,10,0,10,5,0,0,1,1,3,0,0,3,5,2,0,0,0,0011-07-27
"AlbertoZuniga","7/27/11",7,27,2011,"12:22","12:29",10,"LaDulce","IslaNatividad","Fished","Mexico",8.5,10.1,10.1,27.84251,-115.14246,15.7,10,0,5,3,20,2,7,22,1,0,0,2,7,0,1,5,11,1,0,2,1,0011-07-27
"JhonatanCastro","7/27/11",7,27,2011,"10:20","10:26",11,"LaDulce","IslaNatividad","Fished","Mexico",13.5,12.5,13.5,27.84457,-115.14458,14,9,0,0,0,30,0,0,27,3,0,0,3,4,0,0,1,11,7,4,0,0,0011-07-27
"JhonatanCastro","7/27/11",7,27,2011,"12:17","12:25",12,"LaDulce","IslaNatividad","Fished","Mexico",7.9,6.1,7.9,27.84251,-115.14246,16,10,0,1,2,27,0,0,22,8,0,0,1,1,0,0,15,5,1,0,0,7,0011-07-27
"LeonardoVazquez","7/27/11",7,27,2011,"10:50","10:56",13,"LaDulce","IslaNatividad","Fished","Mexico",14.5,15,15,27.84423,-115.14455,14,10,0,4,0,25,1,4,26,0,0,0,2,2,0,0,7,13,3,3,0,0,0011-07-27
"LeonardoVazquez","7/27/11",7,27,2011,"12:20","12:30",14,"LaDulce","IslaNatividad","Fished","Mexico",8,8.7,8.7,27.84263,-115.14284,15.7,11,0,6,0,23,1,4,22,4,0,5,0,1,0,NA,0,5,11,1,7,0,0011-07-27
"AbrahamMayoral","7/28/11",7,28,2011,"9:59","10:06",15,"LaDulce","IslaNatividad","Fished","Mexico",15.8,16.5,16.5,27.84957,-115.14288,13,6,0,20,0,10,0,14,16,0,0,0,0,4,0,0,3,18,4,1,0,0,0011-07-28
"AlonsoRamirez","7/28/11",7,28,2011,"9:54","10:01",16,"LaDulce","IslaNatividad","Fished","Mexico",16.1,15.2,16.1,27.84957,-115.14288,14,6,0,16,0,14,0,10,20,0,0,0,0,0,0,0,6,23,1,0,0,0,0011-07-28
"ArturoHernandez","7/28/11",7,28,2011,"9:58","10:05",17,"LaDulce","IslaNatividad","Fished","Mexico",17.1,16.3,17.1,27.84957,-115.14288,13,6,0,15,0,15,0,23,7,0,0,0,3,0,0,2,3,17,3,2,0,0,0011-07-28
"AbrahamMayoral","7/28/11",7,28,2011,"11:20","11:27",18,"LaDulce","IslaNatividad","Fished","Mexico",10,11.2,11.2,27.84349,-115.14328,13,6,0,2,1,27,0,0,21,9,0,0,0,0,0,0,2,17,3,8,0,0,0011-07-28
"AlonsoRamirez","7/28/11",7,28,2011,"11:09","11:16",19,"LaDulce","IslaNatividad","Fished","Mexico",4.5,6.6,6.6,27.84349,-115.14328,15,6,0,0,0,30,0,0,24,6,0,0,0,0,0,0,16,6,0,0,8,0,0011-07-28
"ArturoHernandez","7/28/11",7,28,2011,"11:05","11:09",20,"LaDulce","IslaNatividad","Fished","Mexico",10,9.7,10,27.84349,-115.14328,15,6,0,9,6,15,0,12,17,1,0,0,1,0,0,1,3,17,2,4,0,2,0011-07-28
"ArturoHernandez","7/28/11",7,28,2011,"11:27","11:31",21,"LaDulce","IslaNatividad","Fished","Mexico",7.2,7.9,7.9,27.84349,-115.14328,15,6,0,2,1,27,0,4,26,0,0,0,3,0,0,1,13,9,2,1,1,0,0011-07-28
"AbrahamMayoral","8/1/11",8,1,2011,"1:28","1:36",22,"LaDulce","IslaNatividad","Fished","Mexico",6.7,5.3,6.7,27.8427,-115.14276,16,8,0,0,0,30,0,0,15,15,0,0,1,1,0,0,8,2,0,1,3,14,0011-08-01
"AlonsoRamirez","8/1/11",8,1,2011,"1:21","1:29",23,"LaDulce","IslaNatividad","Fished","Mexico",6.4,8.5,8.5,27.8427,-115.14276,16,8,0,1,0,29,0,0,26,4,0,0,0,0,0,0,13,2,0,0,7,8,0011-08-01
"ArturoHernandez","8/1/11",8,1,2011,"1:38","1:47",24,"LaDulce","IslaNatividad","Fished","Mexico",13.1,13,13.1,27.8423,-115.14281,16,8,0,7,6,17,0,14,16,0,0,0,0,0,0,0,7,19,3,1,0,0,0011-08-01
"LeonardoVazquez","8/1/11",8,1,2011,"13:30","13:40",25,"LaDulce","IslaNatividad","Fished","Mexico",12,12.3,12.3,27.8423,-115.14281,16,9,0,1,0,29,0,1,26,3,0,0,4,6,0,3,4,7,3,3,0,0,0011-08-01
"JhonatanCastro","7/28/11",7,28,2011,"10:24","10:31",1,"LaPlana","IslaNatividad","Reserve","Mexico",7.2,7,7.2,27.84724,-115.16403,15.3,7,0,0,2,28,0,2,14,10,4,0,1,3,0,4,15,2,5,0,0,0,0011-07-28
"JhonatanCastro","7/28/11",7,28,2011,"11:26","11:36",2,"LaPlana","IslaNatividad","Reserve","Mexico",9.3,10.5,10.5,27.84833,-115.16633,14.6,5,1,0,0,29,0,0,23,7,0,1,3,0,0,2,6,7,9,1,0,1,0011-07-28
"AlbertoZuniga","7/28/11",7,28,2011,"10:22","10:30",3,"LaPlana","IslaNatividad","Reserve","Mexico",9,10.2,10.2,27.84724,-115.16403,14,7,0,2,4,23,1,10,20,0,0,0,2,6,0,3,12,7,0,0,0,0,0011-07-28
"AlbertoZuniga","7/28/11",7,28,2011,"11:20","11:27",4,"LaPlana","IslaNatividad","Reserve","Mexico",9.3,10,10,27.84833,-115.16633,13.9,5,2,2,6,18,2,15,15,0,0,2,2,2,0,1,4,14,1,0,0,4,0011-07-28
"AlonsoGrosso","7/28/11",7,28,2011,"10:14","10:24",5,"LaPlana","IslaNatividad","Reserve","Mexico",8.2,7.6,8.2,27.84775,-115.16479,14,6,0,0,0,30,0,0,30,0,0,0,1,4,0,0,9,13,3,0,0,0,0011-07-28
"AlonsoGrosso","7/28/11",7,28,2011,"11:35","11:43",6,"LaPlana","IslaNatividad","Reserve","Mexico",11,12.8,12.8,27.84848,-115.16724,14,4,15,2,0,13,0,16,14,0,0,15,1,1,0,1,3,9,0,0,0,0,0011-07-28
"LeonardoVazquez","7/28/11",7,28,2011,"10:13","10:19",7,"LaPlana","IslaNatividad","Reserve","Mexico",10,10.5,10.5,27.84775,-115.16479,14,6,0,2,1,27,0,2,26,2,0,0,4,4,0,0,7,12,2,1,0,0,0011-07-28
"LeonardoVazquez","7/28/11",7,28,2011,"10:30","10:40",8,"LaPlana","IslaNatividad","Reserve","Mexico",10.1,10.5,10.5,27.84848,-115.16724,13,5,4,11,2,13,0,21,9,0,0,12,1,0,0,0,0,12,3,1,0,1,0011-07-28
"JhonatanCastro","8/1/11",8,1,2011,"10:20","10:25",9,"LaPlana","IslaNatividad","Reserve","Mexico",10.8,8.5,10.8,27.84736,-115.17393,13,4,1,5,6,18,0,0,27,3,0,0,1,6,0,0,10,11,1,1,0,0,0011-08-01
"JhonatanCastro","8/1/11",8,1,2011,"11:16","11:21",10,"LaPlana","IslaNatividad","Reserve","Mexico",17,17.1,17.1,27.84494,-115.1722,13,6,2,13,4,11,0,7,23,0,0,2,2,1,0,1,3,17,4,0,0,0,0011-08-01
"AlbertoZuniga","8/1/11",8,1,2011,"10:17","10:22",11,"LaPlana","IslaNatividad","Reserve","Mexico",10.8,8.5,10.8,27.84736,-115.17393,13,4,3,10,6,9,2,17,13,0,0,3,4,4,0,0,5,13,0,1,0,0,0011-08-01
"AlbertoZuniga","8/1/11",8,1,2011,"11:19","11:24",12,"LaPlana","IslaNatividad","Reserve","Mexico",16.9,15.2,16.9,27.84497,-115.1422,12.5,6,0,10,5,15,0,22,8,0,0,2,4,2,0,2,4,15,0,1,0,0,0011-08-01
"AlonsoGrosso","8/1/11",8,1,2011,"10:17","10:24",13,"LaPlana","IslaNatividad","Reserve","Mexico",10.1,11.5,11.5,27.84776,-115.1731,12,4,1,0,0,29,0,1,29,0,0,1,2,1,0,0,7,14,4,1,0,0,0011-08-01
"AlonsoGrosso","8/1/11",8,1,2011,"11:54","12:00",14,"LaPlana","IslaNatividad","Reserve","Mexico",16.2,14.9,16.2,27.84634,-115.17411,13,6,1,0,0,29,0,1,29,0,0,1,2,1,0,0,7,14,4,1,0,0,0011-08-01
