PUBLPR-121114-LT-13-13-DA,Luis de la Toba,11/12/14,2014,2:20,2:27,0:07,2,2,13,13,Punta Blanca profundo,"Punta Blanca profundo, Isla Magdalena, Baja California Sur",1,62.70,19.00,62.70,19.00,62.7,19,62.70,19.00,24.65206,-112.18229,77.0,25.0,9,190,Coliflor,7,n/a,30,n/a
PUBLPR-121114-LT-14-14-DA,Luis de la Toba,11/12/14,2014,2:39,2:47,0:08,2,2,14,14,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,23.10,7.00,26.40,8.00,26.4,8,24.75,7.50,24.65615,-112.1765,77.0,25.0,9,330,Coliflor,5,n/a,30,n/a
PUBLPR-121114-NV-15-15-DA,Norberto Velez,11/12/14,2014,1:27,1:32,0:05,2,2,15,15,Punta Blanca profundo,"Punta Blanca profundo, Isla Magdalena, Baja California Sur",1,60.72,18.40,62.37,18.90,62.37,18.9,61.55,18.65,24.65209,-112.18101,77.0,25.0,9,310,Coliflor,28,n/a,30,n/a
PUBLPR-121114-NV-16-16-DA,Norberto Velez,11/12/14,2014,2:40,2:45,0:05,2,2,16,16,Punta Blanca profundo,"Punta Blanca profundo, Isla Magdalena, Baja California Sur",1,55.77,16.90,56.43,17.10,56.43,17.1,56.10,17.00,24.65312,-112.18056,77.0,25.0,9,330,Coliflor,50,n/a,20,n/a
PUBLPR-121114-DV-17-17-DA,Daniel Valdez,11/12/14,2014,1:13,1:14,0:01,2,2,17,17,Punta Blanca profundo,"Punta Blanca profundo, Isla Magdalena, Baja California Sur",1,60.39,18.30,56.10,17.00,60.39,18.3,58.25,17.65,24.65209,-1121810,77.0,25.0,8,60,Coliflor,4,n/a,30,n/a
PUBLPR-121114-DV-18-18-DA,Daniel Valdez,11/12/14,2014,2:31,2:32,0:01,2,2,18,18,Punta Blanca profundo,"Punta Blanca profundo, Isla Magdalena, Baja California Sur",1,57.75,17.50,57.42,17.40,57.75,17.5,57.59,17.45,24.65312,-112.18056,77.0,25.0,8,240,Coliflor,7,n/a,30,n/a
PUBLPR-121114-CA-19-19-DA,Christian Alducin,11/12/14,2014,1:16,1:18,0:02,2,2,19,19,Punta Blanca profundo,"Punta Blanca profundo, Isla Magdalena, Baja California Sur",1,59.40,18.00,13.90,17.00,59.4,18,36.65,17.50,24.65209,-112.18101,77.0,25.0,9,130,Coliflor,16,n/a,30,n/a
PUBLPR-121114-CA-20-20-DA,Christian Alducin,11/12/14,2014,2:30,2:33,0:03,2,2,20,20,Punta Blanca profundo,"Punta Blanca profundo, Isla Magdalena, Baja California Sur",1,56.10,17.00,13.90,17.00,56.1,17,35.00,17.00,24.66204,-112.18056,77.0,25.0,9,130,Coliflor,50,n/a,13,n/a
ELABPR-131114-AR-1-1-DA,Alfonso Romero,11/13/14,2014,1:14,1:16,0:02,2,1,1,1,El Abolladero profundo,"El Abolladero profundo, Isla Magdalena, Baja California Sur",2,73.26,22.20,70.29,21.30,73.26,22.2,71.78,21.75,24.54437,-112.10996,77.0,25.0,8,120,Coliflor,50,n/a,9,n/a
ELABSO-131114-AR-2-2-DA,Alfonso Romero,11/13/14,2014,2:17,2:20,0:03,2,1,2,2,El Abolladero somero,"El Abolladero somero, Isla Magdalena, Baja California Sur",2,35.64,10.80,32.34,9.80,35.64,10.8,33.99,10.30,24.57743,-112.10665,77.0,25.0,8,120,Coliflor,50,n/a,5,n/a
ELABSO-131114-DV-3-3-DA,Daniel Valdez,11/13/14,2014,1:18,1:20,0:02,2,1,3,3,El Abolladero somero,"El Abolladero somero, Isla Magdalena, Baja California Sur",2,33.99,10.30,37.62,11.40,37.62,11.4,35.81,10.85,24.57743,-112.10665,77.0,25.0,5,300,Coliflor,50,n/a,12,n/a
ELABPR-131114-DV-4-4-DA,Daniel Valdez,11/13/14,2014,14:28,14:30,0:02,2,1,4,4,El Abolladero profundo,"El Abolladero profundo, Isla Magdalena, Baja California Sur",2,72.60,22.00,75.90,23.00,75.90,23,74.25,22.50,24.54437,-112.10996,77.0,25.0,5,300,Coliflor,36,n/a,30,n/a
ELABSO-131114-CA-5-5-DA,Christian Alducin,11/13/14,2014,2:25,2:26,0:01,2,1,5,5,El Abolladero somero,"El Abolladero somero, Isla Magdalena, Baja California Sur",2,33.00,10.00,33.00,10.00,33,10,33.00,10.00,24.57743,-112.10665,77.0,25.0,7,120,Coliflor,50,n/a,6,n/a
ELABPR-131114-CA-2-2-DA,Christian Alducin,11/13/14,2014,1:07,1:08,0:01,2,2,6,6,El Abolladero profundo,"El Abolladero profundo, Isla Magdalena, Baja California Sur",2,75.90,23.00,69.30,21.00,75.9,23,72.60,22.00,24.54437,-112.10996,77.0,25.0,7,120,Coliflor,50,n/a,4,n/a
ELABSO-131114-NV-7-7-DA,Norberto Velez,11/13/14,2014,2:32,2:38,0:06,2,1,7,7,El Abolladero somero,"El Abolladero somero, Isla Magdalena, Baja California Sur",2,33.99,10.30,34.32,10.40,34.32,10.4,34.16,10.35,24.557743,-112.10665,77.0,25.0,6,300,Coliflor,50,n/a,6,n/a
ELABPR-131114-NV-8-8-DA,Norberto Velez,11/13/14,2014,13:09,13:15,0:06,2,1,8,8,El Abolladero profundo,"El Abolladero profundo, Isla Magdalena, Baja California Sur",2,71.61,21.70,75.57,22.90,75.57,22.9,73.59,22.30,24.54437,-112.10996,77.0,25.0,6,300,Coliflor,50,n/a,10,n/a
ELABSO-131114-RR-9-9-DA,Raul Romero,11/13/14,2014,11:22,11:29,0:07,2,1,9,9,El Abolladero somero,"El Abolladero somero, Isla Magdalena, Baja California Sur",2,33.00,10.00,33.33,10.10,33.33,10.1,33.17,10.05,24.5755,-112.106,77.0,25.0,7,330,Coliflor,50,n/a,11,n/a
ELABPR-131114-RR-10-10-DA,Raul Romero,11/13/14,2014,11:22,11:26,0:04,2,1,10,10,El Abolladero profundo,"El Abolladero profundo, Isla Magdalena, Baja California Sur",2,56.76,17.20,57.09,17.30,57.09,17.3,56.93,17.25,24.5738,-112.1088,77.0,25.0,7,330,Coliflor,50,n/a,20,n/a
ELABSO-131114-UG-11-11-DA,Ulises Gomez,11/13/14,2014,11:59,12:03,0:04,2,1,11,11,El Abolladero somero,"El Abolladero somero, Isla Magdalena, Baja California Sur",2,34.32,10.40,34.65,10.50,34.65,10.5,34.49,10.45,24.5755,-112.106,77.0,25.0,7,150,Coliflor,50,n/a,12,n/a
ELABPR-131114-UG-12-12-DA,Ulises Gomez,11/13/14,2014,10:44,10:47,0:03,2,1,12,12,El Abolladero profundo,"El Abolladero profundo, Isla Magdalena, Baja California Sur",2,54.78,16.60,34.65,10.50,54.78,1.9,44.72,13.55,24.5738,-112.10889,77.0,25.0,7,150,Coliflor,50,n/a,14,n/a
ELABSO-131114-DV-17-17-DA,Daniel Valdez,11/13/14,2014,2:54,2:58,0:04,2,2,17,17,El Abolladero somero,"El Abolladero somero, Isla Magdalena, Baja California Sur",2,36.30,11.00,33.66,10.20,36.3,11,34.98,10.60,24.56754,-112.10532,77.0,25.0,5,120,Coliflor,50,n/a,4,n/a
ELABPR-131114-DV-18-18-DA,Daniel Valdez,11/13/14,2014,1:30,1:31,0:01,2,2,18,18,El Abolladero profundo,"El Abolladero profundo, Isla Magdalena, Baja California Sur",2,49.50,15.00,55.11,16.70,55.11,16.7,52.31,15.85,24.56728,-112.10695,77.0,25.0,5,120,Coliflor,50,n/a,6,n/a
ELABSO-131114-LT-21-21-DA,Luis de la Toba,11/13/14,2014,1:15,1:20,0:05,2,1,21,21,El Abolladero somero,"El Abolladero somero, Isla Magdalena, Baja California Sur",2,23.10,7.00,23.10,7.00,23.1,7,23.10,7.00,24.8755,-112.1066,77.0,25.0,7,90,Coliflor,42,n/a,30,n/a
ELABPR-131114-LT-22-22-DA,Luis de la Toba,11/13/14,2014,1:05,1:11,0:06,2,1,22,22,El Abolladero profundo,"El Abolladero profundo, Isla Magdalena, Baja California Sur",2,62.70,19.00,56.10,17.00,62.7,19,59.40,18.00,24.5738,-112.10889,77.0,25.0,7,120,Coliflor,21,n/a,30,n/a
ELABPSO-141114-AR-13-13-DA,Alfonso Romero,11/13/14,2014,2:50,2:53,0:03,2,2,13,13,El Abolladero somero,"El Abolladero somero, Isla Magdalena, Baja California Sur",2,34.98,10.60,35.64,10.80,35.64,10.8,35.31,10.70,24.56754,-112.10532,77.0,25.0,5,300,Coliflor,50,n/a,5,n/a
ELABPR-141114-AR-14-14-DA,Alfonso Romero,11/13/14,2014,1:31,1:35,0:04,2,2,14,14,El Abolladero profundo,"El Abolladero profundo, Isla Magdalena, Baja California Sur",2,55.11,16.70,58.41,17.70,58.41,17.7,56.76,17.20,24.56728,-112.10695,77.0,25.0,5,300,Coliflor,n/d,n/a,30,n/a
ELABSO-141114-CA-15-15-DA,Christian Alducin,11/13/14,2014,2:51,2:53,0:02,2,2,15,15,El Abolladero somero,"El Abolladero somero, Isla Magdalena, Baja California Sur",2,33.00,10.00,29.70,9.00,33,10,31.35,9.50,24.56754,-112.10532,77.0,25.0,5,120,Coliflor,50,n/a,5,n/a
ELABPR-141114-CA-16-16-DA,Christian Alducin,11/13/14,2014,1:30,1:31,0:01,2,2,16,16,El Abolladero profundo,"El Abolladero profundo, Isla Magdalena, Baja California Sur",2,56.10,17.00,52.80,16.00,56.1,17,54.45,16.50,24.56728,-112.10695,77.0,25.0,5,120,Coliflor,50,n/a,6,n/a
ELABSO-141114-NV-19-19-DA,Norberto Velez,11/13/14,2014,3:00,3:07,0:07,2,2,19,19,El Abolladero profundo,"El Abolladero profundo, Isla Magdalena, Baja California Sur",2,39.93,12.10,41.25,12.50,41.25,12.5,40.59,12.30,24.56254,-112.10532,77.0,25.0,6,300,Coliflor,50,n/a,10,
ELABPR-141114-NV-20-20-DA,Norberto Velez,11/13/14,2014,1:31,1:37,0:06,2,2,20,20,El Abolladero somero,"El Abolladero somero, Isla Magdalena, Baja California Sur",2,57.42,17.40,56.43,17.10,57.42,17.4,56.93,17.25,24.56228,-112.10895,77.0,25.0,6,300,Coliflor,50,n/a,15,
LOCAPR-141114-LT-1-1-DA,Luis de la Toba,11/14/14,2014,1:47,1:54,0:07,2,1,1,1,Los Cabitos profundo,"Los Cabitos profundo, Isla Magdalena, Baja California Sur",2,55.44,16.80,52.80,16.00,55.44,16.8,54.12,16.40,24.55777,-112.10414,77.0,25.0,12,150,Coliflor,28,n/a,30,
LOCAPR-141114-LT-2-2-DA,Luis de la Toba,11/14/14,2014,2:42,2:50,0:08,2,1,2,2,Los Cabitos profundo,"Los Cabitos profundo, Isla Magdalena, Baja California Sur",2,33.00,10.00,35.97,10.90,35.97,10.9,34.49,10.45,24.5588,-112.11354,77.0,25.0,12,150,Coliflor,31,N/A,30,
LOCAPR-141114-RR-3-3-DA,Raul Romero,11/14/14,2014,2:24,2:29,0:05,2,1,3,3,Los Cabitos profundo,"Los Cabitos profundo, Isla Magdalena, Baja California Sur",2,50.49,15.30,55.11,16.70,55.11,16.7,52.80,16.00,24.55777,-112.10414,77.0,25.0,9,300,Coliflor,29,,30,
LOCAPR-141114-RR-4-4-DA,Raul Romero,11/14/14,2014,2:25,2:30,0:05,2,1,4,4,Los Cabitos profundo,"Los Cabitos profundo, Isla Magdalena, Baja California Sur",2,36.63,11.10,36.30,11.00,36.63,11.1,36.47,11.05,24.5582,-112.10354,77.0,25.0,9,300,Coliflor,18,,30,
LOCAPR-141114-UG-5-5-DP,Ulises Gomez,11/14/14,2014,1:24,1:29,0:06,2,1,5,5,Los Cabitos profundo,"Los Cabitos profundo, Isla Magdalena, Baja California Sur",2,49.50,15.00,51.15,15.50,51.15,15.5,50.33,15.25,24.55777,-112.10414,77.0,25.0,8,120,Coliflor,50,,22,
LOCAPR-141114-UG-6-6-DP,Ulises Gomez,11/14/14,2014,12:20,12:26,0:06,2,1,6,6,Los Cabitos profundo,"Los Cabitos profundo, Isla Magdalena, Baja California Sur",2,38.61,11.70,44.88,13.60,44.88,13.6,41.75,12.65,24.5582,-112.10354,77.0,25.0,8,210,Coliflor,50,,16,
LOCAPR-151114-LT-7-7-DP,Luis de la Toba,11/15/14,2014,8:14,8:26,0:05,2,2,7,7,Los Cabitos profundo,"Los Cabitos profundo, Isla Magdalena, Baja California Sur",2,51.48,15.60,49.17,14.90,51.48,15.6,50.33,15.25,24.55581,-112.10306,77.0,25.0,3,300,Coliflor,27,,30,
LOCAPR-151114-RR-8-8-DP,Raul Romero,11/15/14,2014,8:23,8:29,0:07,2,2,8,8,Los Cabitos profundo,"Los Cabitos profundo, Isla Magdalena, Baja California Sur",2,51.15,15.50,50.82,15.40,51.15,15.5,50.99,15.45,24.55581,-112.10306,77.0,25.0,4,300,Coliflor,22,,30,
LOCAPR-151114-UG-9-9-DP,Ulises Gomez,11/15/14,2014,9:03,6:06,0:07,2,2,9,9,Los Cabitos profundo,"Los Cabitos profundo, Isla Magdalena, Baja California Sur",2,55.77,16.90,58.41,17.70,58.41,17.7,57.09,17.30,24.55581,-112.10306,77.0,25.0,3,210,Coliflor,50,,18,
LOCAPR-151114-NV-10-10-DP,Norberto Velez,11/15/14,2014,8:35,8:41,0:07,2,2,10,10,Los Cabitos profundo,"Los Cabitos profundo, Isla Magdalena, Baja California Sur",2,62.37,18.90,56.76,17.20,62.37,18.9,59.57,18.05,24.55645,-112.10381,77.0,25.0,3,300,Coliflor,50,,21,
LOCAPR-151114-AR-11-11-DP,Alfonso Romero,11/15/14,2014,8:30,8:33,0:04,2,2,11,11,Los Cabitos profundo,"Los Cabitos profundo, Isla Magdalena, Baja California Sur",2,55.11,16.70,60.06,18.20,60.06,18.2,57.59,17.45,24.55645,-112.10381,77.0,25.0,5,300,Coliflor,50,,10,
LOCAPR-151114-DV-12-12-DP,Daniel Valdez,11/15/14,2014,8:30,8:40,0:02,2,2,12,12,Los Cabitos profundo,"Los Cabitos profundo, Isla Magdalena, Baja California Sur",2,55.11,16.70,57.09,17.30,57.09,17.3,56.10,17.00,24.55645,-112.10381,77.0,25.0,5,120,Coliflor,43,,30,
LOCAPR-151114-CA-13-13-DP,Christian Alducin,11/15/14,2014,8:24,8:26,0:04,2,2,13,13,Los Cabitos profundo,"Los Cabitos profundo, Isla Magdalena, Baja California Sur",2,49.50,15.00,48.84,14.80,49.5,15,49.17,14.90,24.55645,112.10381,77.0,25.0,3,120,Coliflor,50,,27,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
