codigo,observador,fecha,a–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo de sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),especie,Parche,talla,talla_correcta,"talla correcta, rounded (cm)",weight (g),fecundity (million eggs),fecundity Million eggs) corrected,Tiempo,Direccion,Abundancia
IMPUBA-261110-ER-1-2-MAM,Erasmo Romero,11/26/10,2010,11:15,12:45,1:30,2,1,2,2,Punta Blanca Garropas,"Punta Blanca garropas, Isla Magdalena, Baja California Sur",1,49.5,15,33,10,49.5,15,41.25,12.5,24.6605,-112.18179,n/d,n/d,3,Amarillo,2,10,9,9,74,0,0,32,0,1
IMPUBA-261110-ER-1-3-MAM,Erasmo Romero,11/26/10,2010,11:15,11:45,0:30,2,1,3,3,Punta Blanca Garropas,"Punta Blanca garropas, Isla Magdalena, Baja California Sur",1,49.5,15,33,10,49.5,15,41.25,12.5,24.6605,-112.18179,n/d,n/d,3,Amarillo,1,17,14,14,360,0,0.3,11,180,1
IMPUBA-261110-ER-1-3-MAM,Erasmo Romero,11/26/10,2010,11:15,11:45,0:30,2,1,3,3,Punta Blanca Garropas,"Punta Blanca garropas, Isla Magdalena, Baja California Sur",1,49.5,15,33,10,49.5,15,41.25,12.5,24.6605,-112.18179,n/d,n/d,3,Amarillo,2,21,17,17,691,1,1.2,21,180,1
IMELAB-271110-ER-2-2-MAM,Ernesto Romero,11/27/10,2010,11:18,11:44,0:26,2,2,2,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",2,39.6,12,39.6,12,39.6,12,39.6,12,24.57419,-112.10616,n/d,n/d,8,Amarillo,n/d,n/d,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,n/d,180,0
IMPUTE-271110-ER-3-3-MAM,Erasmo Romero,11/27/10,2010,10:02,10:38,0:36,2,1,3,3,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,40.26,12.2,50.16,15.2,50.16,15.2,45.21,13.7,24.66199,112.1802,n/d,n/d,5,Amarillo,n/d,n/d,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,21,180,0
IMPUTE-271110-ER-4-4-MAM,Erasmo Romero,11/27/10,2010,12:15,12:28,0:13,2,1,4,4,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,36.63,11.1,40.26,12.2,40.26,12.2,38.45,11.65,24.65128,112.18231,n/d,n/d,5,Amarillo,n/d,n/d,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,21,180,0
IMPUBA-261110-ER-4-4-MAM,Erasmo Romero,11/26/10,2010,11:15,11:45,0:30,2,1,4,4,Punta Blanca Garropas,"Punta Blanca garropas, Isla Magdalena, Baja California Sur",1,46.53,14.1,46.53,14.1,46.53,14.1,46.53,14.1,24.66053,112.17095,n/d,n/d,3,Amarillo,n/d,n/d,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,21,180,0
IMLOCA-241110-ER-1-1-MAM,Erasmo Romero,11/24/10,2010,12:22,12:56,0:34,2,1,1,1,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",2,44.55,13.5,44.22,13.4,44.55,13.5,44.39,13.45,24.5584,112.10516,n/d,n/d,3,Amarillo,n/d,n/d,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,n/d,180,0
IMLOCA-241110-ER-2-2-MAM,Erasmo Romero,11/24/10,2010,13:54,14:25,0:31,2,2,2,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",2,43.89,13.3,50.49,15.3,50.49,15.3,47.19,14.3,24.5584,112.10522,n/d,n/d,9,Amarillo,n/d,n/d,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,n/d,180,0
IMLOCA-241110-ER-3-3-MAM,Ernesto Romero,11/24/10,2010,12:03,12:32,0:29,2,1,3,3,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",2,54.78,16.6,49.83,15.1,54.78,16.6,52.31,15.85,24.55832,112.10448,n/d,n/d,9,Amarillo,n/d,n/d,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,n/d,0,0
IMLOCA-241110-ER-4-4-MAM,Ernesto Romero,11/24/10,2010,1:03,1:38,0:35,2,1,4,4,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",2,19.14,5.8,40.26,12.2,40.26,12.2,29.7,9,24.55773,112.10422,n/d,n/d,3,Amarillo,n/d,n/d,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,n/d,0,0
