PUBLGA-101114-RR-4-4-INV,Raul Romero,11/10/14,2014,9:00,15:00,6:00,2,1,4,4,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,54.12,16.4,54.12,16.4,54.12,16.4,54.12,16.4,24.66365,-112.1824,77,25,7,240,Caracol chino,1,30
PUBLGA-101114-RR-4-4-INV,Raul Romero,11/10/14,2014,9:00,15:00,6:00,2,1,4,4,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,54.12,16.4,54.12,16.4,54.12,16.4,54.12,16.4,24.66365,-112.1824,77,25,7,240,Pulpo,1,30
PUBLGA-101114-UG-5-5-INV,Ulises Gomez,11/10/14,2014,12:17,12:24,0:07,2,1,5,5,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,52.8,16,35.64,10.8,52.8,16,44.22,13.4,24.66257,-112.18263,77,25,7,240,Caracol chino,2,30
PUBLGA-101114-UG-6-6-INV,Ulises Gomez,11/10/14,2014,1:26,1:38,0:12,2,1,6,6,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,56.1,17,35.64,10.8,56.1,17,45.87,13.9,24.66351,-112.1824,77,25,7,60,Caracol chino,2,30
PUBLGA-121114-LT-21-21-INV,Luis de la Toba,11/10/14,2014,2:35,2:43,0:08,2,1,21,21,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,0,0,0,0,0,0,0,0,2.6625,-112.18239,77,25,15,0,Caracol chino,7,30
PUBLGA-121114-LT-21-21-INV,Luis de la Toba,11/11/14,2014,2:35,2:43,0:08,2,1,21,21,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,0,0,0,0,0,0,0,0,2.6625,-112.18239,77,25,15,0,Erizo puntas rotas,1,30
PUBLGA-121114-LT-21-21-INV,Luis de la Toba,11/12/14,2014,2:35,2:43,0:08,2,1,21,21,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,0,0,0,0,0,0,0,0,2.6625,-112.18239,77,25,15,0,Estrella comun,2,30
PUBLGA-121114-LT-22-22-INV,Luis de la Toba,11/13/14,2014,3:55,4:02,0:07,2,1,22,22,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,0,0,0,0,0,0,0,0,2.6625,-112.18239,77,25,15,0,Erizo puntas rotas,8,30
PUBLEP-111114-AR-17-17-INV,Alfonso Romero,11/11/14,2014,3:30,3:35,0:05,2,2,17,17,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,30.69,9.3,35.31,10.7,35.31,10.7,33,10,24.6631,-112.17284,77,25,8,130,Estrella comun,5,30
PUBLEP-111114-AR-18-18-INV,Alfonso Romero,11/11/14,2014,4:26,4:30,0:04,2,2,18,18,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,10.23,3.1,13.2,4,13.2,4,11.72,3.55,24.66208,-112.17169,77,25,8,130,Caracol chino,1,30
PUBLEP-111114-AR-18-18-INV,Alfonso Romero,11/11/14,2014,4:26,4:30,0:04,2,2,18,18,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,10.23,3.1,13.2,4,13.2,4,11.72,3.55,24.66208,-112.17169,77,25,8,130,erizo espinudo,50,15
PUBLEP-111114-AR-18-18-INV,Alfonso Romero,11/11/14,2014,4:26,4:30,0:04,2,2,18,18,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,10.23,3.1,13.2,4,13.2,4,11.72,3.55,24.66208,-112.17169,77,25,8,130,Estrella comun,6,30
PUBLGA-111114-DV-19-19-INV,Daniel Valdez,11/11/14,2014,3:29,3:33,0:04,2,2,19,19,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,35.31,10.7,41.58,12.6,41.58,12.6,38.45,11.65,24.66331,-112.17284,77,25,8,310,Caracol chino,2,30
PUBLGA-111114-DV-19-19-INV,Daniel Valdez,11/11/14,2014,3:29,3:33,0:04,2,2,19,19,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,35.31,10.7,41.58,12.6,41.58,12.6,38.45,11.65,24.66331,-112.17284,77,25,8,310,Erizo puntas rotas,2,30
PUBLGA-111114-DV-19-19-INV,Daniel Valdez,11/11/14,2014,3:29,3:33,0:04,2,2,19,19,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,35.31,10.7,41.58,12.6,41.58,12.6,38.45,11.65,24.66331,-112.17284,77,25,8,310,Estrella comun,4,30
PUBLEP-111114-DV-20-20-INV,Daniel Valdez,11/11/14,2014,4:20,4:31,0:11,2,2,20,20,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,35.31,10.7,39.8,12.06,39.798,12.06,37.55,11.38,24.66208,-112.17169,77,25,8,310,Erizo puntas rotas,50,14
PUBLEP-111114-DV-20-20-INV,Daniel Valdez,11/11/14,2014,4:20,4:31,0:11,2,2,20,20,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,35.31,10.7,39.8,12.06,39.798,12.06,37.55,11.38,24.66208,-112.17169,77,25,8,310,Estrella comun,13,30
PUBLEP-111114-DV-20-20-INV,Daniel Valdez,11/11/14,2014,4:20,4:31,0:11,2,2,20,20,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,35.31,10.7,39.8,12.06,39.798,12.06,37.55,11.38,24.66208,-112.17169,77,25,8,310,Pulpo,1,30
PUBLGA-111114-NV-13-13-INV,Norberto Velez,11/11/14,2014,3:21,3:28,0:07,2,2,13,13,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,44.55,13.5,45.87,13.9,45.87,13.9,45.21,13.7,24.66331,-112.17284,77,25,9,310,Estrella comun,1,30
PUBLEP-111114-NV-14-14-INV,Norberto Velez,11/11/14,2014,4:32,4:45,0:13,2,2,14,14,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,12.87,3.9,14.19,4.3,14.19,4.3,13.53,4.1,24.66208,-112.17169,77,25,9,310,Abulon azul,2,30
PUBLEP-111114-NV-14-14-INV,Norberto Velez,11/11/14,2014,4:32,4:45,0:13,2,2,14,14,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,12.87,3.9,14.19,4.3,14.19,4.3,13.53,4.1,24.66208,-112.17169,77,25,9,310,Langosta roja,2,30
PUBLEP-111114-NV-14-14-INV,Norberto Velez,11/11/14,2014,4:32,4:45,0:13,2,2,14,14,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,12.87,3.9,14.19,4.3,14.19,4.3,13.53,4.1,24.66208,-112.17169,77,25,9,310,Langosta azul,6,30
PUBLEP-111114-NV-14-14-INV,Norberto Velez,11/11/14,2014,4:32,4:45,0:13,2,2,14,14,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,12.87,3.9,14.19,4.3,14.19,4.3,13.53,4.1,24.66208,-112.17169,77,25,9,310,Pepino café,5,30
PUBLEP-111114-NV-14-14-INV,Norberto Velez,11/11/14,2014,4:32,4:45,0:13,2,2,14,14,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,12.87,3.9,14.19,4.3,14.19,4.3,13.53,4.1,24.66208,-112.17169,77,25,9,310,Caracol chino,1,30
PUBLEP-111114-NV-14-14-INV,Norberto Velez,11/11/14,2014,4:32,4:45,0:13,2,2,14,14,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,12.87,3.9,14.19,4.3,14.19,4.3,13.53,4.1,24.66208,-112.17169,77,25,9,310,erizo espinudo,50,6
PUBLEP-111114-NV-14-14-INV,Norberto Velez,11/11/14,2014,4:32,4:45,0:13,2,2,14,14,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,12.87,3.9,14.19,4.3,14.19,4.3,13.53,4.1,24.66208,-112.17169,77,25,9,310,Erizo puntas rotas,6,30
PUBLEP-111114-NV-14-14-INV,Norberto Velez,11/11/14,2014,4:32,4:45,0:13,2,2,14,14,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,12.87,3.9,14.19,4.3,14.19,4.3,13.53,4.1,24.66208,-112.17169,77,25,9,310,Estrella comun,9,30
PUBLEP-111114-NV-14-14-INV,Norberto Velez,11/11/14,2014,4:32,4:45,0:13,2,2,14,14,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,12.87,3.9,14.19,4.3,14.19,4.3,13.53,4.1,24.66208,-112.17169,77,25,9,310,pulpo,1,30
PUBLGA-111114-CA-15-15-INV,Christian Alducin,11/11/14,2014,3:15,3:19,0:04,2,2,15,15,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,39.6,12,36.3,11,39.6,12,37.95,11.5,24.66331,-112.17284,77,25,9,130,langosta azul,1,30
PUBLGA-111114-CA-15-15-INV,Christian Alducin,11/11/14,2014,3:15,3:19,0:04,2,2,15,15,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,39.6,12,36.3,11,39.6,12,37.95,11.5,24.66331,-112.17284,77,25,9,130,Estrella comun,1,30
PUBLGA-111114-CA-15-15-INV,Christian Alducin,11/11/14,2014,3:15,3:19,0:04,2,2,15,15,Garropas,"Garropas, Isla Magdalena, Baja California Sur",1,39.6,12,36.3,11,39.6,12,37.95,11.5,24.66331,-112.17284,77,25,9,130,erizo espinudo,68,9
PUBLEP-111114-CA-16-16-INV,Christian Alducin,11/11/14,2014,4:23,4:29,0:06,2,2,16,16,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,16.5,5,16.5,5,16.5,5,16.5,5,24.66208,-112.17169,77,25,9,130,langosta azul,1,30
PUBLEP-111114-CA-16-16-INV,Christian Alducin,11/11/14,2014,4:23,4:29,0:06,2,2,16,16,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,16.5,5,16.5,5,16.5,5,16.5,5,24.66208,-112.17169,77,25,9,130,Langosta roja,1,30
PUBLEP-111114-CA-16-16-INV,Christian Alducin,11/11/14,2014,4:23,4:29,0:06,2,2,16,16,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,16.5,5,16.5,5,16.5,5,16.5,5,24.66208,-112.17169,77,25,9,130,Estrella comun,3,30
PUBLEP-111114-CA-16-16-INV,Christian Alducin,11/11/14,2014,4:23,4:29,0:06,2,2,16,16,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",1,16.5,5,16.5,5,16.5,5,16.5,5,24.66208,-112.17169,77,25,9,130,Pulpo,2,30
PUBLSO-111114-RR-1-1-INV,Raul Romero,11/11/14,2014,13:09,13:15,0:06,2,1,1,1,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,23.1,7,27.39,8.3,27.39,8.3,25.25,7.65,24.16523,-112.17232,77,25,4,240,Estrella comun,1,30
PUBLSO-111114-RR-1-1-INV,Raul Romero,11/11/14,2014,13:09,13:15,0:06,2,1,1,1,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,23.1,7,27.39,8.3,27.39,8.3,25.25,7.65,24.16523,-112.17232,77,25,4,240,Pulpo,2,30
PUBLSO-111114-RR-2-2-INV,Raul Romero,11/11/14,2014,13:08,13:15,0:07,2,1,2,2,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,23.43,7.1,24.42,7.4,24.42,7.4,23.93,7.25,24.65512,-112.17603,77,25,4,240,Abulon azul,4,30
PUBLSO-111114-RR-2-2-INV,Raul Romero,11/11/14,2014,13:08,13:15,0:07,2,1,2,2,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,23.43,7.1,24.42,7.4,24.42,7.4,23.93,7.25,24.65512,-112.17603,77,25,4,240,langosta roja,1,30
PUBLSO-111114-RR-2-2-INV,Raul Romero,11/11/14,2014,13:08,13:15,0:07,2,1,2,2,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,23.43,7.1,24.42,7.4,24.42,7.4,23.93,7.25,24.65512,-112.17603,77,25,4,240,Pepino café,2,30
PUBLSO-111114-RR-2-2-INV,Raul Romero,11/11/14,2014,13:08,13:15,0:07,2,1,2,2,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,23.43,7.1,24.42,7.4,24.42,7.4,23.93,7.25,24.65512,-112.17603,77,25,4,240,Estrella comun,6,30
PUBLSO-111114-RR-2-2-INV,Raul Romero,11/11/14,2014,13:08,13:15,0:07,2,1,2,2,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,23.43,7.1,24.42,7.4,24.42,7.4,23.93,7.25,24.65512,-112.17603,77,25,4,240,Pulpo,5,30
PUBLSO-111114-UG-3-3-INV,Ulises Gomez,11/11/14,2014,12:45,12:52,0:07,2,1,3,3,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,23.43,7.1,21.45,6.5,23.43,7.1,22.44,6.8,24.16523,-112.17632,77,25,4,90,Abulon azul,1,30
PUBLSO-111114-UG-3-3-INV,Ulises Gomez,11/11/14,2014,12:45,12:52,0:07,2,1,3,3,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,23.43,7.1,21.45,6.5,23.43,7.1,22.44,6.8,24.16523,-112.17632,77,25,4,90,Langosta roja,2,30
PUBLSO-111114-UG-3-3-INV,Ulises Gomez,11/11/14,2014,12:45,12:52,0:07,2,1,3,3,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,23.43,7.1,21.45,6.5,23.43,7.1,22.44,6.8,24.16523,-112.17632,77,25,4,90,Pepino café,2,30
PUBLSO-111114-UG-3-3-INV,Ulises Gomez,11/11/14,2014,12:45,12:52,0:07,2,1,3,3,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,23.43,7.1,21.45,6.5,23.43,7.1,22.44,6.8,24.16523,-112.17632,77,25,4,90,Caracol chino,2,30
PUBLSO-111114-UG-3-3-INV,Ulises Gomez,11/11/14,2014,12:45,12:52,0:07,2,1,3,3,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,23.43,7.1,21.45,6.5,23.43,7.1,22.44,6.8,24.16523,-112.17632,77,25,4,90,Estrella comun,5,30
PUBLSO-111114-UG-4-4-INV,Ulises Gomez,11/11/14,2014,1:58,2:02,0:04,2,1,4,4,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,25.08,7.6,23.1,7,25.08,7.6,24.09,7.3,24.165512,-112.117603,77,25,8,210,Langosta roja,1,30
PUBLSO-111114-UG-4-4-INV,Ulises Gomez,11/11/14,2014,1:58,2:02,0:04,2,1,4,4,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,25.08,7.6,23.1,7,25.08,7.6,24.09,7.3,24.165512,-112.117603,77,25,8,210,Caracol chino,2,30
PUBLSO-111114-LT-5-5-INV,Luis de la Toba,11/11/14,2014,3:05,3:10,0:05,2,1,5,5,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,25.08,7.6,23.1,7,25.08,7.6,24.09,7.3,24.65235,-112.17615,77,25,8,210,Abulon azul,1,30
PUBLSO-111114-LT-5-5-INV,Luis de la Toba,11/11/14,2014,3:05,3:10,0:05,2,1,5,5,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,25.08,7.6,23.1,7,25.08,7.6,24.09,7.3,24.65235,-112.17615,77,25,8,210,Erizo puntas rotas,6,30
PUBLSO-111114-LT-5-5-INV,Luis de la Toba,11/11/14,2014,3:05,3:10,0:05,2,1,5,5,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,25.08,7.6,23.1,7,25.08,7.6,24.09,7.3,24.65235,-112.17615,77,25,8,210,Estrella comun,2,30
PUBLSO-111114-LT-5-5-INV,Luis de la Toba,11/11/14,2014,3:05,3:10,0:05,2,1,5,5,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,25.08,7.6,23.1,7,25.08,7.6,24.09,7.3,24.65235,-112.17615,77,25,8,210,Pulpo,1,30
PUBLSO-111114-LT-6-6-INV,Luis de la Toba,11/11/14,2014,4:10,4:18,0:08,2,1,6,6,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,25.08,7.6,23.1,7,25.08,7.6,24.09,7.3,24.65511,-112.17599,77,25,8,210,Abulon azul,7,30
PUBLSO-111114-LT-6-6-INV,Luis de la Toba,11/11/14,2014,4:10,4:18,0:08,2,1,6,6,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,25.08,7.6,23.1,7,25.08,7.6,24.09,7.3,24.65511,-112.17599,77,25,8,210,Langosta roja,1,30
PUBLSO-111114-LT-6-6-INV,Luis de la Toba,11/11/14,2014,4:10,4:18,0:08,2,1,6,6,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,25.08,7.6,23.1,7,25.08,7.6,24.09,7.3,24.65511,-112.17599,77,25,8,210,langosta azul,2,30
PUBLSO-111114-LT-6-6-INV,Luis de la Toba,11/11/14,2014,4:10,4:18,0:08,2,1,6,6,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,25.08,7.6,23.1,7,25.08,7.6,24.09,7.3,24.65511,-112.17599,77,25,8,210,Pepino café,2,30
PUBLSO-111114-LT-6-6-INV,Luis de la Toba,11/11/14,2014,4:10,4:18,0:08,2,1,6,6,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,25.08,7.6,23.1,7,25.08,7.6,24.09,7.3,24.65511,-112.17599,77,25,8,210,Caracol chino,1,30
PUBLSO-111114-LT-6-6-INV,Luis de la Toba,11/11/14,2014,4:10,4:18,0:08,2,1,6,6,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,25.08,7.6,23.1,7,25.08,7.6,24.09,7.3,24.65511,-112.17599,77,25,8,210,Erizo puntas rotas,3,30
PUBLSO-111114-LT-6-6-INV,Luis de la Toba,11/11/14,2014,4:10,4:18,0:08,2,1,6,6,Punta Blanca somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",1,25.08,7.6,23.1,7,25.08,7.6,24.09,7.3,24.65511,-112.17599,77,25,8,210,Estrella comun,6,30
