codigo,observador,fecha,A–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),A,G,B,R,O,0,1,2,3,N,C,OC,V,R,CO,L,IS,IM,G,RO,Total sustrato,Total relieve,Total Cobertura,direcci—n,Pasto
INPUPI-310713-AH-1-11-PCU,Arturo Hernandez,7/31/13,2013,10:45,10:49,0:04,2,1,11,11,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,56.76,17.2,56.10,17,56.76,17.2,56.43,17.1,27.89072,-115.18828,57.2,14,10,0,4,5,21,0,1,29,0,0,0,0,2,0,0,10,15,2,0,0,1,30,30,30,120,
INPUPI-310713-AH-2-12-PCU,Arturo Hernandez,7/31/13,2013,1:12,1:23,0:11,2,2,12,12,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,66.33,20.1,75.57,22.9,75.57,22.9,70.95,21.5,27.89072,-115.18828,57.2,14,10,0,7,0,23,0,2,26,2,0,1,2,3,0,1,4,15,4,0,0,0,30,30,30,120,
INPUPI-310713-AP-1-13-PCU,Antonio Pantoja,7/31/13,2013,10:31,10:42,0:11,2,1,13,13,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,34.98,10.6,26.40,8,34.98,10.6,30.69,9.3,27.88756,-115.19189,66.2,19,8,3,8,4,15,0,14,15,1,0,3,1,0,0,5,9,12,0,0,0,0,30,30,30,270,
INPUPI-310713-AP-2-14-PCU,Antonio Pantoja,7/31/13,2013,1:24,1:32,0:08,2,2,14,14,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,35.31,10.7,32.67,9.9,35.31,10.7,33.99,10.3,27.88762,-115.19056,66.2,19,11,0,8,6,16,0,11,17,2,0,0,2,5,0,5,10,8,0,0,0,0,30,30,30,270,
INPUPI-310713-UY-1-15-PCU,Ulises Yepiz,7/31/13,2013,10:32,10:51,0:19,2,1,15,15,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,33.99,10.3,33.99,10.3,33.99,10.3,33.99,10.3,27.88756,-115.19189,64.4,18,7,3,12,15,0,0,6,24,0,0,11,2,7,0,6,1,3,0,0,0,0,30,30,30,90,
INPUPI-310713-UY-2-16-PCU,Ulises Yepiz,7/31/13,2013,1:31,1:40,0:09,2,2,16,16,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,39.6,12,40.59,12.3,40.59,12.3,40.10,12.15,27.88762,-115.19050,64.4,18,10,7,11,11,1,0,7,23,0,0,11,1,5,0,6,0,6,0,1,0,0,30,30,30,90
INPUPI-010813-AP-3-17-PCU,Antonio Pantoja,8/1/13,2013,10:26,10:36,0:10,2,3,17,17,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,24.42,7.4,27.39,8.3,27.39,8.3,25.91,7.85,27.88690,-115.19250,66.2,19,7,1,5,10,14,0,8,22,0,0,2,1,1,0,5,8,12,0,1,0,0,30,30,30,90
INPUPI-010813-AP-4-18-PCU,Antonio Pantoja,8/1/13,2013,12:25,12:33,0:08,2,4,18,18,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,12.21,3.7,18.48,5.6,18.48,5.6,15.35,4.65,27.88686,-115.19528,66.2,19,5,0,4,2,24,0,5,22,3,0,2,6,0,2,14,0,6,0,0,0,0,30,30,30,90
INPUPI-010813-UY-3-19-PCU,Ulises Yepiz,8/1/13,2013,10:26,10:31,0:05,2,3,19,19,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,24.09,7.3,34.32,10.4,34.32,10.4,29.21,8.85,27.88690,-115.19250,66.2,19,7,4,15,10,1,0,10,20,0,0,6,3,3,6,7,0,4,0,0,1,0,30,30,30,270
INPUPI-010813-UY-4-20-PCU,Ulises Yepiz,8/1/13,2013,12:22,12:31,0:09,2,4,20,20,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,9.90,3,16.83,5.1,16.83,5.1,13.37,4.05,27.88686,-115.19528,66.2,19,8,1,16,11,2,0,5,25,0,0,5,3,11,5,2,0,4,0,0,0,0,30,30,30,270
INLAGU-010813-EL-3-1-PCU,Elba Lopez,8/1/13,2013,10:51,10:58,0:07,2,3,1,1,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,43.23,13.1,44.22,13.4,44.22,13.4,43.73,13.25,27.88301,-115.17775,66.2,19,8,5,13,3,9,0,4,23,2,1,1,4,0,0,4,10,9,0,0,0,2,30,30,30,120
INLAGU-010813-ML-2-2-PCU,Mitzi Leal,8/1/13,2013,10:46,10:54,0:08,2,2,2,2,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,43.89,13.3,45.87,13.9,45.87,13.9,44.88,13.6,27..88301,-115.17775,66.2,19,8,4,15,7,4,0,5,23,2,0,2,3,4,0,0,8,11,1,0,0,1,30,30,30,300
INLAGU-010813-ML-3-3-PCU,Mitzi Leal,8/1/13,2013,12:05,12:13,0:08,2,3,3,3,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,26.40,8,33.99,10.3,33.99,10.3,30.20,9.15,27.88001,-115.17657,66.2,19,8,0,12,3,15,0,5,25,0,0,0,8,0,0,0,11,11,0,0,0,0,30,30,30,270
INLAGU-010813-JC-3-4-PCU,Jhonatan Castro,8/1/13,2013,10:23,10:29,0:06,2,3,4,4,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,51.15,15.5,52.47,15.9,52.47,15.9,51.81,15.7,27.88550,-115.17870,66.2,19,10,4,8,11,7,0,6,23,1,0,1,0,6,0,6,7,6,0,0,0,4,30,30,30,90
INLAGU-010813-JC-4-5-PCU,Jhonatan Castro,8/1/13,2013,12:41,12:47,0:06,2,4,5,5,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,51.48,15.6,52.47,15.9,52.47,15.9,51.98,15.75,27.88285,-115.17543,66.2,19,8,4,17,3,6,0,15,15,0,0,0,2,2,0,6,4,4,0,0,0,12,30,30,30,120
INLAGU-010813-AZ-3-6-PCU,Alberto Zu–iga,8/1/13,2013,10:20,10:25,0:05,2,3,6,6,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,57.75,17.5,52.14,15.8,57.75,17.5,54.95,16.65,27.88646,-115.18242,66.2,19,18,0,7,11,12,0,7,21,2,0,0,2,7,0,1,8,12,0,0,0,0,30,30,30,300
INLAGU-010813-AZ-4-7-PCU,Alberto Zu–iga,8/1/13,2013,12:18,12:24,0:06,2,4,7,7,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,48.51,14.7,46.86,14.2,48.51,14.7,47.69,14.45,27.88266,-115.17609,66.2,19,18,4,9,5,9,3,16,13,1,0,4,6,5,0,1,4,7,0,0,0,3,30,30,30,270
INLAGU-010813-AH-3-8-PCU,Arturo Hernandez,8/1/13,2013,9:34,9:40,0:06,2,3,8,8,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,63.69,19.3,64.35,19.5,64.35,19.5,64.02,19.4,27.88550,-115.17870,66.2,19,12,4,15,3,8,0,14,16,0,0,4,1,1,0,0,2,16,1,0,0,5,30,30,30,220
INLAGU-010813-AH-4-9-PCU,Arturo Hernandez,8/1/13,2013,12:38,12:45,0:07,2,4,9,9,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,51.15,15.5,51.81,15.7,51.81,15.7,51.48,15.6,27.88285,-115.17544,66.2,19,10,2,11,12,5,0,18,12,0,0,2,2,2,0,5,3,16,0,0,0,0,30,30,30,330
INLAGU-010813-AM-3-10-PCU,Alonso Murillo,8/1/13,2013,10:09,10:17,0:08,2,3,10,10,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,59.40,18,60.72,18.4,60.72,18.4,60.06,18.2,27.88646,-115.18242,64.4,18,18,0,20,10,0,0,23,7,0,0,0,0,1,0,0,6,21,0,0,0,2,30,30,30,300
INLAGU-010813-AM-4-11-PCU,Alonso Murillo,8/1/13,2013,11:50,11:58,0:08,2,4,11,11,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,53.46,16.2,53.79,16.3,53.79,16.3,53.63,16.25,27.88266,-155.17609,64.4,18,13,1,13,11,5,0,14,16,0,0,1,0,0,0,0,10,17,0,0,0,2,30,30,30,300
INLAGU-020813-EA-2-12-PCU,Esmeralda Alba–ez,8/2/13,2013,9:59,10:08,0:09,2,2,12,12,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,35.64,10.8,34.98,10.6,35.64,10.8,35.31,10.7,27.87633,-115.16877,64.4,18,10,12,6,6,6,0,24,6,0,0,4,0,1,1,0,7,3,0,1,0,13,30,30,30,90,
INLAGU-020813-ML-4-13-PCU,Mitzi Leal,8/2/13,2013,10:08,10:15,0:07,2,4,13,13,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,34.32,10.4,33.99,10.3,34.32,10.4,34.16,10.35,27.37633,-115.16877,64.4,18,10,2,16,4,8,0,9,15,4,2,2,4,2,0,1,6,15,0,0,0,0,30,30,30,270,
INLAGU-020813-EL-4-14-PCU,Elba Lopez,8/2/13,2013,10:09,10:16,0:07,2,4,14,14,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,33.00,10,30.36,9.2,33,10,31.68,9.6,27.87537,-115.16748,64.4,18,8,1,5,7,17,0,2,28,0,0,1,0,3,0,1,15,9,0,1,0,0,30,30,30,210,
INLAGU-020813-AH-5-15-PCU,Arturo Hernandez,8/2/13,2013,9:31,9:38,0:07,2,5,15,15,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,30.36,9.2,30.03,9.1,30.36,9.2,30.20,9.15,27.87537,-115.16748,66.2,19,9,0,6,4,20,0,9,21,0,0,0,5,2,0,0,14,9,0,0,0,0,30,30,30,220,
INLAGU-020813-AH-6-16-PCU,Arturo Hernandez,8/2/13,2013,10:07,10:11,0:04,2,6,16,16,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,31.35,9.5,33.33,10.1,33.33,10.1,32.34,9.8,27.87537,-115.16748,66.2,19,10,0,3,14,13,0,3,27,0,0,0,1,3,0,0,15,10,0,1,0,0,30,30,30,330,
INLAGU-020813-AZ-5-17-PCU,Alberto Zu–iga,8/2/13,2013,9:17,9:23,0:06,2,5,17,17,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,27.72,8.4,29.37,8.9,29.37,8.9,28.55,8.65,27.87715,-115.17063,66.2,19,11,0,12,9,9,0,12,18,0,0,0,9,8,0,0,3,7,0,0,0,3,30,30,30,180,
INLAGU-020813-AM-5-18-PCU,Alonso Murillo,8/2/13,2013,9:48,9:55,0:07,2,5,18,18,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,30.36,9.2,33.33,10.1,33.33,10.1,31.85,9.65,27.87715,-115.17063,64.4,18,11,3,23,3,1,0,29,1,0,0,4,3,1,0,1,7,7,2,0,0,5,30,30,30,300,
INLAGU-020813-AP-5-19-PCU,Antonio Pantoja,8/2/13,2013,9:30,9:39,0:09,2,5,19,19,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,23.43,7.1,25.08,7.6,25.08,7.6,24.26,7.35,27.87990,-115.17547,64.4,18,8,1,4,6,19,0,5,25,0,0,1,1,5,0,5,7,8,3,0,0,0,30,30,30,90,
INLAGU-020813-UY-5-20-PCU,Ulises Yepiz,8/2/13,2013,9:27,9:35,0:08,2,5,20,20,La Guanera,"La Guanera, Isla Natividad Baja California Sur",2,26.40,8,27.06,8.2,27.06,8.2,26.73,8.1,27.87990,-115.17547,64.4,18,10,5,7,17,1,0,2,28,0,0,6,6,1,2,5,0,6,0,2,2,0,30,30,30,270,
INLAPL-020813-ML-5-1-PCU,Mitzi Leal,8/2/13,2013,12:09,12:16,0:07,2,5,1,1,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,22.77,6.9,26.07,7.9,26.07,7.9,24.42,7.4,27.84826,-115.16178,57.2,14,11,0,7,4,19,0,0,24,6,0,0,2,0,0,0,13,9,0,6,0,0,30,30,30,180,
INLAPL-020813-EL-5-2-PCU,Elba Lopez,8/2/13,2013,12:21,12:31,0:10,2,5,2,2,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,20.46,6.2,22.77,6.9,22.77,6.9,21.62,6.55,27.84865,-115.16745,57.2,14,8,1,2,4,23,0,2,25,3,0,1,1,6,0,0,17,4,0,1,0,0,30,30,30,120,
INLAPL-020813-AZ-6-3-PCU,Alberto Zu–iga,8/2/13,2013,12:20,12:26,0:06,2,6,3,3,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,22.11,6.7,25.08,7.6,25.08,7.6,23.60,7.15,27.84769,-115.16452,57.2,14,7,0,2,12,16,0,2,15,13,0,0,5,8,0,2,10,4,1,0,0,0,30,30,30,120,
INLAPL-020813-AM-6-4-PCU,Alonso Murillo,8/2/13,2013,11:43,11:51,0:08,2,6,4,4,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,24.75,7.5,20.13,6.1,24.75,7.5,22.44,6.8,27.84769,-115.16452,60.8,16,7,0,1,0,29,0,0,29,1,0,0,1,2,0,1,14,6,4,0,2,0,30,30,30,300,
INLAPL-020813-AP-6-5-PCU,Antonio Pantoja,8/2/13,2013,11:21,11:30,0:09,2,6,5,5,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,38.28,11.6,40.59,12.3,40.59,12.3,39.44,11.95,27.84629,-115.16179,60.8,16,8,0,4,3,23,0,8,22,0,0,0,3,1,0,0,10,15,1,0,0,0,30,30,30,180,
INLAPL-020813-UY-6-6-PCU,Ulises Yepiz,8/2/13,2013,12:14,12:25,0:11,2,6,6,6,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,42.90,13,43.23,13.1,43.23,13.1,43.07,13.05,27.84629,-115.16179,60.8,16,11,1,14,14,1,0,1,29,0,0,6,0,3,3,4,0,8,1,4,0,1,30,30,30,0,
INLAPL-020813-AH-7-7-PCU,Arturo Hernandez,8/2/13,2013,12:24,12:32,0:08,2,7,7,7,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,22.77,6.9,20.46,6.2,22.77,6.9,21.62,6.55,27.84865,-115.16474,60.8,16,8,0,3,4,23,0,12,18,0,0,0,0,1,0,0,16,8,2,0,0,0,30,30,30,210,3
INLAPL-020813-AH-8-7-PCU,Arturo Hernandez,8/2/13,2013,11:40,11:47,0:07,2,8,8,8,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,20.46,6.2,17.49,5.3,20.46,6.2,18.98,5.75,27.84865,-115.16474,60.8,16,8,1,0,4,25,0,12,18,0,0,1,0,5,0,0,20,3,1,0,0,0,30,30,30,90,
INLAPL-040813-AP-7-9-PCU,Antonio Pantoja,8/4/13,2013,10:19,10:27,0:08,2,7,9,9,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,47.52,14.4,46.53,14.1,47.52,14.4,47.03,14.25,27.84586,-115.17623,57.2,14,6,0,11,6,13,0,11,19,0,0,1,0,0,0,0,14,15,0,0,0,0,30,30,30,90,
INLAPL-040813-AP-8-10-PCU,Antonio Pantoja,8/4/13,2013,11:17,11:25,0:08,2,8,10,10,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,28.38,8.6,26.07,7.9,28.38,8.6,27.23,8.25,27.84856,-115.17218,57.2,14,5,0,11,2,17,0,11,19,0,0,1,0,2,0,1,11,15,0,0,0,0,30,30,30,180,
INLAPL-040813-ML-6-11-PCU,Mitzi Leal,8/4/13,2013,10:17,10:24,0:07,2,6,11,11,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,21.12,6.4,17.82,5.4,21.12,6.4,19.47,5.9,27.85069,-115.16709,55.4,13,5,14,2,0,14,0,16,14,0,0,9,1,0,0,5,8,7,0,0,0,0,30,30,30,90,
INLAPL-040813-ML-7-12-PCU,Mitzi Leal,8/4/13,2013,12:04,12:09,0:05,2,7,12,12,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,28.38,8.6,28.38,8.6,28.38,8.6,28.38,8.6,27.84856,-115.17218,55.4,13,7,0,16,0,14,0,17,12,1,0,1,0,0,0,0,18,9,1,0,0,1,30,30,30,210,
INLAPL-040813-AZ-7-13-PCU,Alberto Zu–iga,8/4/13,2013,10:08,10:13,0:05,2,7,13,13,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,59.40,18,57.09,17.3,59.4,18,58.25,17.65,27.84501,-115.16995,55.4,13,7,5,15,6,4,0,22,8,0,0,9,0,6,0,0,4,7,2,0,0,2,30,30,30,90,
INLAPL-040813-AZ-7-14-PCU,Alonso Murillo,8/4/13,2013,12:03,12:09,0:06,2,7,14,14,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,21.78,6.6,19.14,5.8,21.78,6.6,20.46,6.2,27.84541,-115.11691,53.6,12,10,0,1,4,25,0,3,27,0,0,0,0,1,0,0,8,16,4,1,0,0,30,30,30,0,
INLAPL-040813-AM-8-15-PCU,Alonso Murillo,8/4/13,2013,10:14,10:23,0:09,2,8,15,15,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,48.18,14.6,42.90,13,48.18,14.6,45.54,13.8,27.85069,-115.16709,55.4,13,5,7,3,5,15,0,5,25,0,0,7,0,6,0,5,1,5,1,1,2,0,30,30,30,180,2
INLAPL-040813-EL-6-16-PCU,Elba Lopez,8/4/13,2013,10:25,10:32,0:07,2,6,16,16,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,59.40,18,57.42,17.4,59.4,18,58.41,17.7,27.84501,-115.16995,55.4,13,7,6,21,3,0,0,29,1,0,0,9,0,0,0,0,6,15,0,0,0,0,30,30,30,90,
INLAPL-040813-EL-7-17-PCU,Elba Lopez,8/4/13,2013,11:55,12:02,0:07,2,7,17,17,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,21.78,6.6,23.43,7.1,23.43,7.1,22.61,6.85,27.87009,-115.17052,55.4,13,7,2,4,4,20,0,1,29,0,0,1,4,0,0,0,15,10,0,0,0,0,30,30,30,210,
INLAPL-040813-EA-3-18-PCU,Esmeralda Alba–ez,8/4/13,2013,10:43,10:50,0:07,2,3,18,18,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,33.00,10,19.80,6,33,10,26.40,8,27.85069,-115.16409,55.4,13,5,11,6,13,0,0,2,28,0,0,3,0,2,1,13,6,2,0,0,0,0,30,30,30,120,3
INLAPL-040813-UY-7-19-PCU,Ulises Yepiz,8/4/13,2013,10:22,10:30,0:08,2,7,19,19,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,47.52,14.4,46.53,14.1,47.52,14.4,47.025,14.25,27.84586,-115.17623,55.4,13,7,0,7,21,0,0,0,30,0,0,0,1,1,0,8,6,8,0,5,0,1,30,30,30,270,
INLAPL-040813-EA-4-20-PCU,Esmeralda Alba–ez,8/4/13,2013,11:58,12:04,0:06,2,4,20,20,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,28.38,8.6,28.38,8.6,28.38,8.6,28.38,8.6,27.84856,-115.17218,55.4,13,5,5,13,12,0,5,5,25,0,0,5,1,0,0,0,9,14,0,1,0,0,30,30,30,270,
INLAPL-040813-UY-8-21-PCU,Ulises Yepiz,8/4/13,2013,10:22,10:30,0:08,2,8,21,21,La Plana,"La Plana/Las Cuevas, Isla Natividad, Baja California Sur",1,28.38,8.6,26.07,7.9,28.38,8.6,27.225,8.25,27.58009,-115.17059,55.4,13,5,1,4,23,2,0,0,30,0,0,2,2,3,0,3,5,8,2,4,0,1,30,30,30,30,
INLADU-030813-EA-5-1-PCU,Esmeralda Alba–ez,8/3/13,2013,10:55,11:08,0:13,2,5,1,1,La Dulce,"La Dulce, Isla Natividad Baja California Sur",1,35.64,10.8,41.58,12.6,41.58,12.6,38.61,11.7,27.84257,-115.14294,62.6,17,7,4,6,3,17,0,7,23,0,0,4,0,0,1,0,14,9,0,2,0,0,30,30,30,330,
INLADU-030813-EA-6-2-PCU,Esmeralda Alba–ez,8/3/13,2013,12:35,12:52,0:17,2,6,2,2,La Dulce,"La Dulce, Isla Natividad Baja California Sur",1,21.45,6.5,21.45,6.5,21.45,6.5,21.45,6.5,27.84319,-115.14230,62.6,17,7,0,0,0,30,0,10,18,2,0,2,0,0,0,0,11,5,1,1,0,0,30,30,30,180,10
INLADU-030813-ML-8-3-PCU,Mitzi Leal,8/3/13,2013,11:06,11:13,0:07,2,8,3,3,La Dulce,"La Dulce, Isla Natividad Baja California Sur",1,43.23,13.1,44.55,13.5,44.55,13.5,43.89,13.3,27.84257,-115.14294,62.6,17,8,0,3,1,26,0,0,28,2,0,0,0,1,0,0,12,15,1,1,0,0,30,30,30,210,
INLADU-030813-ML-9-4-PCU,Mitzi Leal,8/3/13,2013,12:36,12:43,0:07,2,9,4,4,La Dulce,"La Dulce, Isla Natividad Baja California Sur",1,22.77,6.9,20.46,6.2,22.77,6.9,21.62,6.55,27.84319,-115.14230,59,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,
INLADU-030813-EL-8-5-PCU,Elba Lopez,8/3/13,2013,11:03,11:11,0:08,2,8,5,5,La Dulce,"La Dulce, Isla Natividad Baja California Sur",1,53.13,16.1,55.44,16.8,55.44,16.8,54.29,16.45,27.84267,-115.14456,57.2,14,8,3,13,6,8,0,8,22,0,0,0,3,0,0,0,0,9,10,3,0,5,30,30,30,150,
INLADU-030813-EL-9-6-PCU,Elba Lopez,8/3/13,2013,12:46,12:58,0:12,2,9,6,6,La Dulce,"La Dulce, Isla Natividad Baja California Sur",1,21.12,6.4,23.43,7.1,23.43,7.1,22.28,6.75,27.84350,-115.14181,57.2,14,8,1,0,0,29,0,1,18,5,6,1,0,0,0,7,9,7,0,3,3,0,30,30,30,120,
INLADU-030813-AH-9-7-PCU,Arturo Hernandez,8/3/13,2013,11:00,11:05,0:05,2,9,7,7,La Dulce,"La Dulce, Isla Natividad Baja California Sur",1,56.76,17.2,53.13,16.1,56.76,17.2,54.95,16.65,27.84267,-115.14456,53.6,12,8,1,8,6,15,0,23,7,0,0,1,0,0,0,0,11,15,0,0,0,3,30,30,30,180,
INLADU-030813-AH-10-8-PCU,Arturo Hernandez,8/3/13,2013,12:32,12:40,0:08,2,10,8,8,La Dulce,"La Dulce, Isla Natividad Baja California Sur",1,19.80,6,23.10,7,23.1,7,21.45,6.5,27.84350,-115.14181,53.6,12,7,1,0,6,23,0,16,14,0,0,1,0,0,0,5,13,1,0,0,0,0,30,30,30,0,10
INLADU-030813-AZ-8-9-PCU,Alberto Zu–iga,8/3/13,2013,11:23,11:29,0:06,2,8,9,9,La Dulce,"La Dulce, Isla Natividad Baja California Sur",1,30.69,9.3,42.24,12.8,42.24,12.8,36.47,11.05,27.84521,-115.14115,57.2,14,11,0,2,13,15,,2,24,4,0,0,1,3,0,4,11,7,0,0,4,0,30,30,30,180,
