codigo,Oservador,Fecha,Tiempo inicial (Ti),Tiempo final,Duracion,Parche,Talla,Tiempo parche (Tp),Tp-Ti,Tipo comunidad,Temporada,Comentarios,Sitio,Sitio extenso,Direccion,Latitude (N),Longitud (W),Temp. (F),Tem. (C) ,Visibilidad,Especie,Prof. Inicio ft,Prof. Inicio m,Prof. Fin ft,Prof. Fin m,Prof. Max ft,Prof. Max m,Prof. Prom ft,Prof. Prom m,talla_correcta,"talla correcta, rounded (cm)",weight (g),fecundity (million eggs),fecundity Million eggs) corrected,Tiempo Tp-Ti (AH),,,No. replica,No. transecto,,Zona
IMELAB-081011-ER-4-4-MAZ,Erasmo Rochin,10/8/11,13:44,14:11,0:27,1,12,13:48,0:04,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.57453,-112.1062,n/d,n/d,4,Azul,38,11.5,43,13,43,13,40.5,12.3,10.21,10,126.08,-0.28,0,4,1,2,4,4,2,1
IMELAB-081011-ER-4-4-MAZ,Erasmo Rochin,10/8/11,13:44,14:11,0:27,2,18,13:50,0:06,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.57453,-112.1062,n/d,n/d,4,Azul,38,11.5,43,13,43,13,40.5,12.3,14.7,15,428.83,0.5,0.5,6,1,2,4,4,2,1
IMELAB-081011-ER-4-4-MAZ,Erasmo Rochin,10/8/11,13:44,14:11,0:27,2,20,13:50,0:06,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.57453,-112.1062,n/d,n/d,4,Azul,38,11.5,43,13,43,13,40.5,12.3,16.19,16,593.91,0.93,0.93,6,1,2,4,4,2,1
IMELAB-081011-ER-4-4-MAZ,Erasmo Rochin,10/8/11,13:44,14:11,0:27,3,5,13:55,0:11,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.57453,-112.1062,n/d,n/d,4,Azul,38,11.5,43,13,43,13,40.5,12.3,4.97,5,11.25,-0.58,0,11,1,2,4,4,2,1
IMELAB-081011-ER-4-4-MAZ,Erasmo Rochin,10/8/11,13:44,14:11,0:27,3,6,13:55,0:11,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.57453,-112.1062,n/d,n/d,4,Azul,38,11.5,43,13,43,13,40.5,12.3,5.72,6,18.02,-0.56,0,11,1,2,4,4,2,1
IMELAB-081011-ER-4-4-MAZ,Erasmo Rochin,10/8/11,13:44,14:11,0:27,3,7,13:55,0:11,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.57453,-112.1062,n/d,n/d,4,Azul,38,11.5,43,13,43,13,40.5,12.3,6.47,6,27.23,-0.54,0,11,1,2,4,4,2,1
IMELAB-081011-ER-4-4-MAZ,Erasmo Rochin,10/8/11,13:44,14:11,0:27,4,14,14:06,0:22,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.57453,-112.1062,n/d,n/d,4,Azul,38,11.5,43,13,43,13,40.5,12.3,11.71,12,199.6,-0.09,0,22,1,2,4,4,2,1
IMELAB-081011-ER-4-4-MAZ,Erasmo Rochin,10/8/11,13:44,14:11,0:27,4,16,14:06,0:22,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.57453,-112.1062,n/d,n/d,4,Azul,38,11.5,43,13,43,13,40.5,12.3,13.2,13,298.99,0.17,0.17,22,1,2,4,4,2,1
IMELAB-081011-ER-4-4-MAZ,Erasmo Rochin,10/8/11,13:44,14:11,0:27,5,18,14:09,0:25,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.57453,-112.1062,n/d,n/d,4,Azul,38,11.5,43,13,43,13,40.5,12.3,14.7,15,428.83,0.5,0.5,25,1,2,4,4,2,1
IMELAB-081011-ER-3-3-MAZ,Erasmo Rochin,10/8/11,12:28,12:58,0:30,1,10,12:36,0:08,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.77375,-112.1058,n/d,n/d,4,Azul,36,10.9,46,13.9,46,13.9,41,12.4,8.71,9,74.04,-0.42,0,8,1,1,3,3,2,1
IMELAB-081011-ER-3-3-MAZ,Erasmo Rochin,10/8/11,12:28,12:58,0:30,1,5,12:36,0:08,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.77375,-112.1058,n/d,n/d,4,Azul,36,10.9,46,13.9,46,13.9,41,12.4,4.97,5,11.25,-0.58,0,8,1,1,3,3,2,1
IMELAB-081011-ER-3-3-MAZ,Erasmo Rochin,10/8/11,12:28,12:58,0:30,2,17,12:40,0:12,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.77375,-112.1058,n/d,n/d,4,Azul,36,10.9,46,13.9,46,13.9,41,12.4,13.95,14,359.81,0.33,0.33,12,1,1,3,3,2,1
IMELAB-081011-ER-3-3-MAZ,Erasmo Rochin,10/8/11,12:28,12:58,0:30,2,17,12:40,0:12,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.77375,-112.1058,n/d,n/d,4,Azul,36,10.9,46,13.9,46,13.9,41,12.4,13.95,14,359.81,0.33,0.33,12,1,1,3,3,2,1
IMELAB-081011-ER-3-3-MAZ,Erasmo Rochin,10/8/11,12:28,12:58,0:30,2,18,12:40,0:12,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.77375,-112.1058,n/d,n/d,4,Azul,36,10.9,46,13.9,46,13.9,41,12.4,14.7,15,428.83,0.5,0.5,12,1,1,3,3,2,1
IMELAB-081011-ER-3-3-MAZ,Erasmo Rochin,10/8/11,12:28,12:58,0:30,2,20,12:40,0:12,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.77375,-112.1058,n/d,n/d,4,Azul,36,10.9,46,13.9,46,13.9,41,12.4,16.19,16,593.91,0.93,0.93,12,1,1,3,3,2,1
IMELAB-081011-ER-3-3-MAZ,Erasmo Rochin,10/8/11,12:28,12:58,0:30,3,22,12:42,0:14,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.77375,-112.1058,n/d,n/d,4,Azul,36,10.9,46,13.9,46,13.9,41,12.4,17.69,18,799.2,1.47,1.47,14,1,1,3,3,2,1
IMELAB-081011-ER-3-3-MAZ,Erasmo Rochin,10/8/11,12:28,12:58,0:30,4,15,12:47,0:19,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.77375,-112.1058,n/d,n/d,4,Azul,36,10.9,46,13.9,46,13.9,41,12.4,12.45,12,245.78,0.03,0.03,19,1,1,3,3,2,1
IMELAB-081011-ER-3-3-MAZ,Erasmo Rochin,10/8/11,12:28,12:58,0:30,4,19,12:47,0:19,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.77375,-112.1058,n/d,n/d,4,Azul,36,10.9,46,13.9,46,13.9,41,12.4,15.45,15,506.66,0.71,0.71,19,1,1,3,3,2,1
IMELAB-081011-ER-3-3-MAZ,Erasmo Rochin,10/8/11,12:28,12:58,0:30,5,6,12:51,0:23,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.77375,-112.1058,n/d,n/d,4,Azul,36,10.9,46,13.9,46,13.9,41,12.4,5.72,6,18.02,-0.56,0,23,1,1,3,3,2,1
IMELAB-081011-ER-3-3-MAZ,Erasmo Rochin,10/8/11,12:28,12:58,0:30,5,17,12:51,0:23,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.77375,-112.1058,n/d,n/d,4,Azul,36,10.9,46,13.9,46,13.9,41,12.4,13.95,14,359.81,0.33,0.33,23,1,1,3,3,2,1
IMELAB-081011-ER-3-3-MAZ,Erasmo Rochin,10/8/11,12:28,12:58,0:30,5,19,12:51,0:23,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.77375,-112.1058,n/d,n/d,4,Azul,36,10.9,46,13.9,46,13.9,41,12.4,15.45,15,506.66,0.71,0.71,23,1,1,3,3,2,1
IMELAB-081011-ER-3-3-MAZ,Erasmo Rochin,10/8/11,12:28,12:58,0:30,6,13,12:53,0:25,E,2,,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",160,24.77375,-112.1058,n/d,n/d,4,Azul,36,10.9,46,13.9,46,13.9,41,12.4,10.96,11,159.89,-0.19,0,25,1,1,3,3,2,1
,Ernesto Romero,10/10/11,0:02,0:03,0:01,n/d,n/d,,,n/d,2,Cancelado,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",n/d,24.55546,-112.10321,n/d,n/d,n/d,Azul,,24,,24,,,,,,,,,,,,,,,,
IMLOCA-101011-ER-2-2-MAZ,Erasmo Rochin,10/10/11,12:31,13:06,0:35,1,12,12:54,0:23,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",160,24.55495,-112.10291,n/d,n/d,6,Azul,72,21.8,73,22.1,73,22.1,72.5,22,10.2105,10,126.0799334,-0.282192173,0,19,1,2,2,2,2,1
IMLOCA-101011-ER-2-2-MAZ,Erasmo Rochin,10/10/11,12:31,13:06,0:35,2,14,13:03,0:32,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",160,24.55495,-112.10291,n/d,n/d,6,Azul,72,21.8,73,22.1,73,22.1,72.5,22,11.71,12,199.6,-0.09,0,28,1,2,2,2,2,1
IMLOCA-101011-ER-2-2-MAZ,Erasmo Rochin,10/10/11,12:31,13:06,0:35,3,18,13:05,0:34,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",160,24.55495,-112.10291,n/d,n/d,6,Azul,72,21.8,73,22.1,73,22.1,72.5,22,14.7,15,428.83,0.5,0.5,30,1,2,2,2,2,1
IMLOCA-101011-ER-3-3-MAZ,Ernesto Romero,10/10/11,0:01,0:32,0:31,1,14,0:11,0:10,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",300,24.55767,-112.10419,n/d,n/d,6,Azul,50.2,15.2,46.9,14.2,50.2,15.2,48.5,14.7,11.71,12,199.6,-0.09,0,11,1,1,3,3,2,1
IMLOCA-101011-ER-3-3-MAZ,Ernesto Romero,10/10/11,0:01,0:32,0:31,2,12,0:19,0:18,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",300,24.55767,-112.10419,n/d,n/d,6,Azul,50.2,15.2,46.9,14.2,50.2,15.2,48.5,14.7,10.21,10,126.08,-0.28,0,14,1,1,3,3,2,1
IMLOCA-101011-ER-3-3-MAZ,Ernesto Romero,10/10/11,0:01,0:32,0:31,3,13,0:23,0:22,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",300,24.55767,-112.10419,n/d,n/d,6,Azul,50.2,15.2,46.9,14.2,50.2,15.2,48.5,14.7,10.96,11,159.89,-0.19,0,23,1,1,3,3,2,1
IMLOCA-101011-ER-3-3-MAZ,Ernesto Romero,10/10/11,0:01,0:32,0:31,3,13,0:23,0:22,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",300,24.55767,-112.10419,n/d,n/d,6,Azul,50.2,15.2,46.9,14.2,50.2,15.2,48.5,14.7,10.96,11,159.89,-0.19,0,23,1,1,3,3,2,1
IMLOCA-101011-ER-3-3-MAZ,Ernesto Romero,10/10/11,0:01,0:32,0:31,4,15,0:28,0:27,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",300,24.55767,-112.10419,n/d,n/d,6,Azul,50.2,15.2,46.9,14.2,50.2,15.2,48.5,14.7,12.45,12,245.78,0.03,0.03,28,1,1,3,3,2,1
IMLOCA-101011-ER-3-3-MAZ,Ernesto Romero,10/10/11,0:01,0:32,0:31,5,10,0:30,0:29,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",300,24.55767,-112.10419,n/d,n/d,6,Azul,50.2,15.2,46.9,14.2,50.2,15.2,48.5,14.7,8.71,9,74.04,-0.42,0,30,1,1,3,3,2,1
IMLOCA-101011-ER-3-3-MAZ,Ernesto Romero,10/10/11,0:01,0:32,0:31,5,13,0:30,0:29,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",300,24.55767,-112.10419,n/d,n/d,6,Azul,50.2,15.2,46.9,14.2,50.2,15.2,48.5,14.7,10.96,11,159.89,-0.19,0,30,1,1,3,3,2,1
IMLOCA-101011-ER-1-1-MAZ,Erasmo Rochin,10/10/11,11:29,11:52,0:23,1,5,11:29,0:00,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",160,24.55773,-112.10432,n/d,n/d,6,Azul,55,16.7,49,14.8,55,16.7,52,15.8,4.97,5,11.25,-0.58,0,1,1,1,1,1,2,1
IMLOCA-101011-ER-1-1-MAZ,Erasmo Rochin,10/10/11,11:29,11:52,0:23,1,9,11:29,0:00,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",160,24.55773,-112.10432,n/d,n/d,6,Azul,55,16.7,49,14.8,55,16.7,52,15.8,7.97,8,54.77,-0.47,0,1,1,1,1,1,2,1
IMLOCA-101011-ER-1-1-MAZ,Erasmo Rochin,10/10/11,11:29,11:52,0:23,2,12,11:32,0:03,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",160,24.55773,-112.10432,n/d,n/d,6,Azul,55,16.7,49,14.8,55,16.7,52,15.8,10.21,10,126.08,-0.28,0,3,1,1,1,1,2,1
IMLOCA-101011-ER-1-1-MAZ,Erasmo Rochin,10/10/11,11:29,11:52,0:23,3,14,11:35,0:06,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",160,24.55773,-112.10432,n/d,n/d,6,Azul,55,16.7,49,14.8,55,16.7,52,15.8,11.71,12,199.6,-0.09,0,6,1,1,1,1,2,1
IMLOCA-101011-ER-1-1-MAZ,Erasmo Rochin,10/10/11,11:29,11:52,0:23,3,16,11:35,0:06,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",160,24.55773,-112.10432,n/d,n/d,6,Azul,55,16.7,49,14.8,55,16.7,52,15.8,13.2,13,298.99,0.17,0.17,6,1,1,1,1,2,1
IMLOCA-101011-ER-1-1-MAZ,Erasmo Rochin,10/10/11,11:29,11:52,0:23,4,5,11:36,0:07,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",160,24.55773,-112.10432,n/d,n/d,6,Azul,55,16.7,49,14.8,55,16.7,52,15.8,4.97,5,11.25,-0.58,0,7,1,1,1,1,2,1
IMLOCA-101011-ER-1-1-MAZ,Erasmo Rochin,10/10/11,11:29,11:52,0:23,5,10,11:41,0:12,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",160,24.55773,-112.10432,n/d,n/d,6,Azul,55,16.7,49,14.8,55,16.7,52,15.8,8.71,9,74.04,-0.42,0,12,1,1,1,1,2,1
IMLOCA-101011-ER-1-1-MAZ,Erasmo Rochin,10/10/11,11:29,11:52,0:23,5,11,11:41,0:12,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",160,24.55773,-112.10432,n/d,n/d,6,Azul,55,16.7,49,14.8,55,16.7,52,15.8,9.46,9,97.64,-0.36,0,12,1,1,1,1,2,1
IMLOCA-101011-ER-1-1-MAZ,Erasmo Rochin,10/10/11,11:29,11:52,0:23,5,11,11:41,0:12,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",160,24.55773,-112.10432,n/d,n/d,6,Azul,55,16.7,49,14.8,55,16.7,52,15.8,9.46,9,97.64,-0.36,0,12,1,1,1,1,2,1
IMLOCA-101011-ER-1-1-MAZ,Erasmo Rochin,10/10/11,11:29,11:52,0:23,6,10,11:47,0:18,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",160,24.55773,-112.10432,n/d,n/d,6,Azul,55,16.7,49,14.8,55,16.7,52,15.8,8.71,9,74.04,-0.42,0,18,1,1,1,1,2,1
IMLOCA-101011-ER-1-1-MAZ,Erasmo Rochin,10/10/11,11:29,11:52,0:23,6,10,11:47,0:18,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",160,24.55773,-112.10432,n/d,n/d,6,Azul,55,16.7,49,14.8,55,16.7,52,15.8,8.71,9,74.04,-0.42,0,18,1,1,1,1,2,1
IMLOCA-101011-ER-1-1-MAZ,Erasmo Rochin,10/10/11,11:29,11:52,0:23,6,14,11:47,0:18,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",160,24.55773,-112.10432,n/d,n/d,6,Azul,55,16.7,49,14.8,55,16.7,52,15.8,11.71,12,199.6,-0.09,0,18,1,1,1,1,2,1
IMLOCA-101011-ER-1-1-MAZ,Erasmo Rochin,10/10/11,11:29,11:52,0:23,7,19,11:50,0:21,E,2,,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",160,24.55773,-112.10432,n/d,n/d,6,Azul,55,16.7,49,14.8,55,16.7,52,15.8,15.45,15,506.66,0.71,0.71,21,1,1,1,1,2,1
IMELPR-111011-ER-4-4-MAZ,Erasmo Rochin,10/11/11,1:28,2:04,0:36,1,10,1:37,0:09,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",160,24.16687,-112.17224,n/d,n/d,8,Azul,23,7,24,7.3,24,7.3,23.5,7.1,8.71,9,74.04,-0.42,0,9,1,2,4,4,2,1
IMELPR-111011-ER-4-4-MAZ,Erasmo Rochin,10/11/11,1:28,2:04,0:36,2,17,1:41,0:13,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",160,24.16687,-112.17224,n/d,n/d,8,Azul,23,7,24,7.3,24,7.3,23.5,7.1,13.95,14,359.81,0.33,0.33,13,1,2,4,4,2,1
IMELPR-111011-ER-4-4-MAZ,Erasmo Rochin,10/11/11,1:28,2:04,0:36,2,19,1:41,0:13,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",160,24.16687,-112.17224,n/d,n/d,8,Azul,23,7,24,7.3,24,7.3,23.5,7.1,15.45,15,506.66,0.71,0.71,13,1,2,4,4,2,1
IMELPR-111011-ER-4-4-MAZ,Erasmo Rochin,10/11/11,1:28,2:04,0:36,3,16,1:50,0:22,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",160,24.16687,-112.17224,n/d,n/d,8,Azul,23,7,24,7.3,24,7.3,23.5,7.1,13.2,13,298.99,0.17,0.17,22,1,2,4,4,2,1
IMELPR-111011-ER-4-4-MAZ,Erasmo Rochin,10/11/11,1:28,2:04,0:36,4,14,1:53,0:25,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",160,24.16687,-112.17224,n/d,n/d,8,Azul,23,7,24,7.3,24,7.3,23.5,7.1,11.71,12,199.6,-0.09,0,25,1,2,4,4,2,1
IMELPR-111011-ER-4-4-MAZ,Erasmo Rochin,10/11/11,1:28,2:04,0:36,5,5,1:56,0:28,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",160,24.16687,-112.17224,n/d,n/d,8,Azul,23,7,24,7.3,24,7.3,23.5,7.1,4.97,5,11.25,-0.58,0,28,1,2,4,4,2,1
IMELPR-111011-ER-3-3-MAZ,Erasmo Rochin,10/11/11,11:47,12:23,0:36,1,8,11:51,0:04,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",160,24.66165,-112.17348,n/d,n/d,8,Azul,32,9.7,20,6.1,32,9.7,26,7.9,7.22,7,39.32,-0.51,0,4,1,1,3,3,2,1
IMELPR-111011-ER-3-3-MAZ,Erasmo Rochin,10/11/11,11:47,12:23,0:36,2,18,11:52,0:05,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",160,24.66165,-112.17348,n/d,n/d,8,Azul,32,9.7,20,6.1,32,9.7,26,7.9,14.7,15,428.83,0.5,0.5,5,1,1,3,3,2,1
IMELPR-111011-ER-3-3-MAZ,Erasmo Rochin,10/11/11,11:47,12:23,0:36,3,5,11:54,0:07,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",160,24.66165,-112.17348,n/d,n/d,8,Azul,32,9.7,20,6.1,32,9.7,26,7.9,4.97,5,11.25,-0.58,0,7,1,1,3,3,2,1
IMELPR-111011-ER-3-3-MAZ,Erasmo Rochin,10/11/11,11:47,12:23,0:36,3,21,11:54,0:07,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",160,24.66165,-112.17348,n/d,n/d,8,Azul,32,9.7,20,6.1,32,9.7,26,7.9,16.94,17,691.21,1.19,1.19,7,1,1,3,3,2,1
IMELPR-111011-ER-3-3-MAZ,Erasmo Rochin,10/11/11,11:47,12:23,0:36,4,18,12:00,0:13,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",160,24.66165,-112.17348,n/d,n/d,8,Azul,32,9.7,20,6.1,32,9.7,26,7.9,14.7,15,428.83,0.5,0.5,13,1,1,3,3,2,1
IMELPR-111011-ER-3-3-MAZ,Erasmo Rochin,10/11/11,11:47,12:23,0:36,5,10,12:17,0:30,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",160,24.66165,-112.17348,n/d,n/d,8,Azul,32,9.7,20,6.1,32,9.7,26,7.9,8.71,9,74.04,-0.42,0,20,1,1,3,3,2,1
IMELPR-111011-ER-1-1-MAZ,Ernesto Romero,10/11/11,0:01,0:29,0:28,1,6,0:12,0:11,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",60,24.66168,-112.17349,n/d,n/d,3,Azul,27.4,8.3,45.5,13.8,45.5,13.8,36.5,11.1,5.72,6,18.02,-0.56,0,12,1,1,1,1,2,1
IMELPR-111011-ER-1-1-MAZ,Ernesto Romero,10/11/11,0:01,0:29,0:28,2,12,0:15,0:14,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",60,24.66168,-112.17349,n/d,n/d,3,Azul,27.4,8.3,45.5,13.8,45.5,13.8,36.5,11.1,10.21,10,126.08,-0.28,0,15,1,1,1,1,2,1
IMELPR-111011-ER-1-1-MAZ,Ernesto Romero,10/11/11,0:01,0:29,0:28,3,14,0:21,0:20,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",60,24.66168,-112.17349,n/d,n/d,3,Azul,27.4,8.3,45.5,13.8,45.5,13.8,36.5,11.1,11.71,12,199.6,-0.09,0,21,1,1,1,1,2,1
IMELPR-111011-ER-2-2-MAZ,Ernesto Romero,10/11/11,0:01,0:30,0:29,1,12,0:15,0:14,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",60,24.66207,-112.17238,n/d,n/d,5,Azul,30.7,9.3,29.7,9,30.7,9.3,30.2,9.2,10.21,10,126.08,-0.28,0,15,1,2,2,2,2,1
IMELPR-111011-ER-2-2-MAZ,Ernesto Romero,10/11/11,0:01,0:30,0:29,2,10,0:18,0:17,E,2,,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",60,24.66207,-112.17238,n/d,n/d,5,Azul,30.7,9.3,29.7,9,30.7,9.3,30.2,9.2,8.71,9,74.04,-0.42,0,18,1,2,2,2,2,1
