codigo,observador,fecha,Tiempo inicial (Ti),Tiempo final,Tiempo total,Direccion,Parche,Talla,Tiempo parche (Tp),Tp-Ti,Especie,Tipo comunidad,Epoca,Sitio,Sitio en extenso,Latitud (N),Longitud (W),Temp (¡F),Temp (¡C),Vis (m),Comentarios,Tipo de sitio,Prof inicial (ft),Prof inicial (m),Prof final (ft),Prof final (m),Prof max (ft),Prof max (m),Prof X (ft),Prof X (m),Talla_correcta,"Talla correcta, rounded (cm)",Peso (g),Fecundity (million eggs),Fecundity Million eggs) corrected,Tiempo Tp-Ti (AH),Zona,Abundancia,No. buceo,No. replica,No. transecto
IMELPR-111011-ER-3-3-MAM,Erasmo Rochin,10/11/11,11:47,12:23,0:36,160,0,0,,,Amarillo,E,2,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",24.66165,-112.17348,n/d,n/d,5,No se observo abulon,2,32,9.7,20,6.06,32,9.7,26,7.88,1.23,1,0.1,-0.61,0,n/d,1,0,1,3,3
IMELPR-111011-ER-2-2-MAM,Ernesto Romero,10/11/11,0:01,0:30,0:29,n/d,0,0,,,Amarillo,E,2,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",24.66207,-112.17238,n/d,n/d,5,No se observo abulon,2,30.69,9.3,29.7,9,30.69,9.3,30.2,9.15,1.23,1,0.1,-0.61,0,n/d,1,0,2,2,2
IMELPR-111011-ER-4-4-MAM,Erasmo Rochin,10/11/11,13:28,14:04,0:36,160,0,0,,,Amarillo,E,2,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",24.6687,-112.17224,n/d,n/d,8,No se observo abulon,2,23,6.97,24,7.27,24,7.27,23.5,7.12,1,1,0,-1,0,n/d,1,0,2,4,4
IMELPR-121011-ER-5-5-MAM,Ernesto Romero,10/12/11,0:01,0:34,0:33,90,0,0,,,Amarillo,EP,2,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",24.66203,-112.17097,n/d,n/d,7,No se observo abulon,2,30.69,9.3,20.13,6.1,30.69,9.3,25.41,7.7,1,1,0,-1,0,n/d,1,0,1,5,5
IMELPR-121011-ER-7-7-MAM,Erasmo Rochin,10/12/11,11:43,12:25,0:42,330,0,0,,,Amarillo,E,2,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",24.66191,-112.17094,n/d,n/d,9,No se observo abulon,2,18,5.45,43,13.03,43,13.03,30.5,9.24,1,1,0,-1,0,n/d,1,0,1,7,7
IMELPR-121011-ER-8-8-MAM,Erasmo Rochin,10/12/11,12:52,13:25,0:33,160,0,0,,,Amarillo,P,2,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",24.67154,-112.16808,n/d,n/d,8,No se observo abulon,2,18,5.45,14,4.24,18,5.45,16,4.85,1,1,0,-1,0,n/d,1,0,1,8,8
IMELPR-121011-ER-6-6-MAM,Ernesto Romero,10/12/11,0:01,0:28,0:27,90,0,0,,,Amarillo,EP,2,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",24.67167,-112.16811,n/d,n/d,7,No se observo abulon,2,26.4,8,29.7,9,29.7,9,28.05,8.5,1,1,0,-1,0,n/d,1,0,2,6,6
,Ernesto Romero,10/13/11,0:01,0:33,0:32,210,0,0,,,Amarillo,EP,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",24.55755,-112.10275,n/d,n/d,7,No se observo abulon,2,,12.2,,15.6,0,15.6,#DIV/0!,13.9,1,1,0,-1,0,,,,,,
,Ernesto Romero,10/13/11,0:01,0:20,0:19,330,0,0,,,Amarillo,E,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",24.56984,-112.1047,n/d,n/d,8,No se observo abulon,2,,10.4,,10,,,,,1,1,0,-1,0,,,,,,
,Erasmo Rochin,10/13/11,11:36,12:06,0:30,120,0,0,,,Amarillo,E,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",24.55747,-112.10271,n/d,n/d,9,No se observo abulon,2,32,9.7,37,11.21,37,11.21,34.5,10.45,1,1,0,-1,0,,,,,,
,Erasmo Rochin,10/13/11,12:54,13:22,0:28,120,1,14,13:18,0:24,Amarillo,E,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",24.56898,-112.10366,n/d,n/d,7,,2,35,10.61,48,14.55,48,14.55,41.5,12.58,12,12,200,0,0,24,,,,,
IMPUBA-141011-ER-5-5-MAM,Erasmo Rochin,10/14/11,11:43,12:14,0:31,160,4,12,12:07,0:24,Amarillo,E,2,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",24.66652,-112.1791,n/d,n/d,8,,1,45,13.64,46,13.94,46,13.94,45.5,13.79,10,10,126,0,0,24,1,1,1,5,5
IMPUBA-141011-ER-5-5-MAM,Erasmo Rochin,10/14/11,11:43,12:14,0:31,160,5,12,12:13,0:30,Amarillo,E,2,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",24.66652,-112.1791,n/d,n/d,8,,1,45,13.64,46,13.94,46,13.94,45.5,13.79,10,10,126,0,0,30,1,1,1,5,5
IMPUBA-141011-ER-5-5-MAM,Erasmo Rochin,10/14/11,11:43,12:14,0:31,160,1,13,11:47,0:04,Amarillo,E,2,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",24.66652,-112.1791,n/d,n/d,8,,1,45,13.64,46,13.94,46,13.94,45.5,13.79,11,11,160,0,0,4,1,1,1,5,5
IMPUBA-141011-ER-5-5-MAM,Erasmo Rochin,10/14/11,11:43,12:14,0:31,160,3,14,12:00,0:17,Amarillo,E,2,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",24.66652,-112.1791,n/d,n/d,8,,1,45,13.64,46,13.94,46,13.94,45.5,13.79,12,12,200,0,0,17,1,1,1,5,5
IMPUBA-141011-ER-5-5-MAM,Erasmo Rochin,10/14/11,11:43,12:14,0:31,160,2,16,11:51,0:08,Amarillo,E,2,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",24.66652,-112.1791,n/d,n/d,8,,1,45,13.64,46,13.94,46,13.94,45.5,13.79,13,13,299,0,0.2,8,1,1,1,5,5
IMPUBA-141011-ER-4-4-MAM,Erasmo Rochin,10/14/11,12:58,13:28,0:30,160,1,12,13:10,0:12,Amarillo,E,2,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",24.65911,-112.1806,n/d,n/d,5,,1,48,14.55,46,13.94,48,14.55,47,14.24,10,10,126,0,0,12,1,1,2,4,4
IMPUBA-141011-ER-4-4-MAM,Erasmo Rochin,10/14/11,12:58,13:28,0:30,160,2,17,13:11,0:13,Amarillo,E,2,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",24.65911,-112.1806,n/d,n/d,5,,1,48,14.55,46,13.94,48,14.55,47,14.24,14,14,360,0,0.3,22,1,1,2,4,4
IMPUBA-141011-ER-4-4-MAM,Erasmo Rochin,10/14/11,12:58,13:28,0:30,160,1,21,13:10,0:12,Amarillo,E,2,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",24.65911,-112.1806,n/d,n/d,5,,1,48,14.55,46,13.94,48,14.55,47,14.24,17,17,691,1,1.2,12,1,1,2,4,4
,Ernesto Romero,10/15/11,0:01,0:28,0:27,30,0,0,,,Amarillo,E,2,Punta Blanca,"Punta Blanca, Isla Magdalena, Baja California Sur",24.66053,-112.17905,n/d,n/d,5,No se observo abulon,1,47.52,14.4,48.84,14.8,48.84,14.8,48.18,14.6,1,1,0,-1,0,,,,,,
IMPUBA-141011-ER-3-3-MAM,Ernesto Romero,10/15/11,0:01,0:28,0:27,120,0,0,,,Amarillo,E,2,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",24.669,-112.18055,n/d,n/d,5,No se observo abulon,1,40.26,12.2,44.22,13.4,44.22,13.4,42.24,12.8,1,1,0,-1,0,n/d,1,0,2,3,3
IMPUTE-151011-ER-2-2-MAM,Ernesto Romero,10/15/11,0:01,0:28,0:27,30,0,0,,,Amarillo,E,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",24.66152,-112.18146,n/d,n/d,7,No se observo abulon,1,47.52,14.4,37.62,11.4,47.52,14.4,42.57,12.9,1,1,0,-1,0,n/d,1,0,2,2,2
IMPUTE-151011-ER-1-1-MAM,Ernesto Romero,10/15/11,0:01,0:30,0:29,150,1,14,0:02,0:01,Amarillo,E,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",24.66053,-112.17905,n/d,n/d,7,,1,43.89,13.3,42.24,12.8,43.89,13.3,43.07,13.05,12,12,200,0,0,2,1,1,1,1,1
IMPUTE-151011-ER-1-1-MAM,Ernesto Romero,10/15/11,0:01,0:30,0:29,150,3,16,0:20,0:19,Amarillo,E,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",24.66053,-112.17905,n/d,n/d,7,,1,43.89,13.3,42.24,12.8,43.89,13.3,43.07,13.05,13,13,299,0,0.2,20,1,1,1,1,1
IMPUTE-151011-ER-1-1-MAM,Ernesto Romero,10/15/11,0:01,0:30,0:29,150,2,18,0:11,0:10,Amarillo,E,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",24.66053,-112.17905,n/d,n/d,7,,1,43.89,13.3,42.24,12.8,43.89,13.3,43.07,13.05,15,15,429,1,0.5,11,1,1,1,1,1
IMPUTE-151011-ER-3-3-MAM,Erasmo Rochin,10/15/11,12:24,12:51,0:27,60,3,11,12:35,0:11,Amarillo,E,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",24.6638,-112.18131,n/d,n/d,5,,1,46,13.94,48,14.55,48,14.55,47,14.24,9,9,98,0,0,11,1,1,1,3,3
IMPUTE-151011-ER-3-3-MAM,Erasmo Rochin,10/15/11,12:24,12:51,0:27,60,2,14,12:33,0:09,Amarillo,E,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",24.6638,-112.18131,n/d,n/d,5,,1,46,13.94,48,14.55,48,14.55,47,14.24,12,12,200,0,0,9,1,1,1,3,3
IMPUTE-151011-ER-3-3-MAM,Erasmo Rochin,10/15/11,12:24,12:51,0:27,60,3,14,12:35,0:11,Amarillo,E,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",24.6638,-112.18131,n/d,n/d,5,,1,46,13.94,48,14.55,48,14.55,47,14.24,12,12,200,0,0,11,1,1,1,3,3
IMPUTE-151011-ER-3-3-MAM,Erasmo Rochin,10/15/11,12:24,12:51,0:27,60,4,19,12:44,0:20,Amarillo,E,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",24.6638,-112.18131,n/d,n/d,5,,1,46,13.94,48,14.55,48,14.55,47,14.24,15,15,507,1,0.7,20,1,1,1,3,3
IMPUTE-151011-ER-3-3-MAM,Erasmo Rochin,10/15/11,12:24,12:51,0:27,60,1,20,12:29,0:05,Amarillo,E,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",24.6638,-112.18131,n/d,n/d,5,,1,46,13.94,48,14.55,48,14.55,47,14.24,16,16,594,1,0.9,5,1,1,1,3,3
IMPUTE-151011-ER-4-4-MAM,Erasmo Rochin,10/15/11,13:32,14:00,0:28,60,3,13,13:53,0:21,Amarillo,E,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",24.66024,-112.17919,n/d,n/d,4,,1,45,13.64,40,12.12,45,13.64,42.5,12.88,11,11,160,0,0,21,1,1,1,4,4
IMPUTE-151011-ER-4-4-MAM,Erasmo Rochin,10/15/11,13:32,14:00,0:28,60,3,15,13:53,0:21,Amarillo,E,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",24.66024,-112.17919,n/d,n/d,4,,1,45,13.64,40,12.12,45,13.64,42.5,12.88,12,12,246,0,0,21,1,1,1,4,4
IMPUTE-151011-ER-4-4-MAM,Erasmo Rochin,10/15/11,13:32,14:00,0:28,60,2,16,13:51,0:19,Amarillo,E,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",24.66024,-112.17919,n/d,n/d,4,,1,45,13.64,40,12.12,45,13.64,42.5,12.88,13,13,299,0,0.2,19,1,1,1,4,4
IMPUTE-151011-ER-4-4-MAM,Erasmo Rochin,10/15/11,13:32,14:00,0:28,60,1,17,13:50,0:18,Amarillo,E,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",24.66024,-112.17919,n/d,n/d,4,,1,45,13.64,40,12.12,45,13.64,42.5,12.88,14,14,360,0,0.3,18,1,1,1,4,4
IMPUSO-161011-ER-1-1-MAM,Ernesto Romero,10/16/11,0:01,0:31,0:30,330,0,0,,,Amarillo,E,2,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",24.65889,-112.17552,n/d,n/d,9,No se observo abulon,1,24.09,7.3,36.3,11,36.3,11,30.2,9.15,1,1,0,-1,0,n/d,1,0,1,1,1
IMPUSO-161011-RR-2-2-MAM,Roger Romero,10/16/11,9:04,9:32,0:28,120,0,0,,,Amarillo,EP,2,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",24.65892,-112.17791,n/d,n/d,6,No se observo abulon,1,36.96,11.2,30.03,9.1,36.96,11.2,33.5,10.15,1,1,0,-1,0,n/d,1,0,2,2,2
IMPUSO-161011-RR-4-4-MAM,Roger Romero,10/16/11,10:16,10:44,0:28,80,0,0,,,Amarillo,E,2,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",24.65885,-112.17542,n/d,n/d,7,No se observo abulon,1,29.37,8.9,13.2,4,29.37,8.9,21.29,6.45,1,1,0,-1,0,n/d,1,0,2,4,4
IMPUSO-161011-ER-3-3-MAM,Ernesto Romero,10/16/11,0:01,0:28,0:27,300,1,15,0:13,0:12,Amarillo,E,2,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",24.6593,-112.17776,n/d,n/d,9,,1,39.27,11.9,37.95,11.5,39.27,11.9,38.61,11.7,12,12,246,0,0,13,1,1,2,3,3
IMPUSO-161011-ER-3-3-MAM,Ernesto Romero,10/16/11,0:01,0:28,0:27,300,2,17,0:22,0:21,Amarillo,E,2,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",24.6593,-112.17776,n/d,n/d,9,,1,39.27,11.9,37.95,11.5,39.27,11.9,38.61,11.7,14,14,360,0,0.3,22,1,1,2,3,3
IMPUSO-171011-ER-6-6-MAM,Ernesto Romero,10/17/11,0:01,0:44,0:43,30,0,0,,,Amarillo,E,2,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",24.65893,-112.17547,n/d,n/d,7,No se observo abulon,1,22.44,6.8,40.59,12.3,40.59,12.3,31.52,9.55,1,1,0,-1,0,n/d,1,0,2,6,6
IMPUSO-171011-ER-5-5-MAM,Erasmo Rochin,10/17/11,13:10,13:44,0:34,90,0,0,,,Amarillo,E,2,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",24.65823,-112.17747,n/d,n/d,8,No se observo abulon,1,25,7.58,21,6.36,25,7.58,23,6.97,1,1,0,-1,0,n/d,1,0,2,5,5
IMPUTE-171011-ER-5-5-MAM,Ernesto Romero,10/17/11,0:01,0:30,0:29,330,1,18,0:21,0:20,Amarillo,E,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",24.65949,-112.18053,n/d,n/d,7,,1,44.22,13.4,41.58,12.6,44.22,13.4,42.9,13,15,15,429,1,0.5,21,1,1,1,5,5
IMPUTE-171011-RR-6-6-MAM,Roger Romero,10/17/11,9:13,9:42,0:29,90,1,19,9:38,0:25,Amarillo,E,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",24.65901,-112.18106,n/d,n/d,7,,1,49.5,15,38.61,11.7,49.5,15,44.06,13.35,15,15,507,1,0.7,25,1,1,1,6,6
,Ernesto Romero,10/18/11,0:01,0:22,0:21,60,0,0,,,Amarillo,E,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",24.53346,-112.10561,n/d,n/d,10,No se observo abulon,2,,10.5,,10.5,,,,,,,,,,,,,,,
,Ernesto Romero,10/18/11,0:01,0:29,0:28,60,0,0,,,Amarillo,E,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",24.55635,-112.10541,n/d,n/d,11,No se observo abulon,2,,21.8,,21.5,0,21.8,#DIV/0!,21.65,1,1,0,-1,0,,,,,,
,Roger Romero,10/18/11,8:48,9:15,0:27,210,1,6,8:54,0:06,Amarillo,E,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",24.55612,-112.10513,,23,8,,2,71.94,21.8,80.85,24.5,80.85,24.5,76.395,23.15,6,6,18,-1,0,,,,,,
,Roger Romero,10/18/11,8:48,9:15,0:27,210,2,8,9:01,0:13,Amarillo,E,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",24.55612,-112.10513,,23,8,,2,71.94,21.8,80.85,24.5,80.85,24.5,76.395,23.15,7,7,39,-1,0,,,,,,
,Roger Romero,10/18/11,8:48,9:15,0:27,210,2,10,9:01,0:13,Amarillo,E,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",24.55612,-112.10513,,23,8,,2,71.94,21.8,80.85,24.5,80.85,24.5,76.395,23.15,9,9,74,0,0,,,,,,
,Roger Romero,10/18/11,8:48,9:15,0:27,210,2,10,9:01,0:13,Amarillo,E,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",24.55612,-112.10513,,23,8,,2,71.94,21.8,80.85,24.5,80.85,24.5,76.395,23.15,9,9,74,0,0,,,,,,
,Roger Romero,10/18/11,8:48,9:15,0:27,210,3,15,9:18,0:24,Amarillo,E,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",24.55612,-112.10513,,23,8,,2,71.94,21.8,80.85,24.5,80.85,24.5,76.4,23.15,12,12,246,0,0,,,,,,
,Erasmo Rochin,10/18/11,12:42,13:08,0:26,210,2,5,13:00,0:18,Amarillo,E,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",24.57345,-112.10563,n/d,n/d,6,,2,33,10,42,12.73,42,12.73,37.5,11.36,5,5,11,-1,0,,,,,,
,Erasmo Rochin,10/18/11,12:42,13:08,0:26,210,1,11,12:48,0:06,Amarillo,E,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",24.57345,-112.10563,n/d,n/d,6,,2,33,10,42,12.73,42,12.73,37.5,11.36,9,9,98,0,0,,,,,,
