codigo,observador,fecha,A–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),A,G,B,R,O,0,1,2,3,N,C,OC,V,R,CO,L,I,G,P,Total sustrato,Total relieve,Total Cobertura,direcci—n
INLADU-180806-AR-2-4-PCU,Alonso Ramirez,8/18/06,2006,13:30,13:38,0:08,2,2,4,4,La Dulce,"La Dulce, Isla Natividad Baja California Sur",2,42.9,13,41.91,12.7,41.91,12.7,,,27.84425,-115.14448,,,5,1,1,0,7,1,1,8,1,0,3,0,0,0,0,4,2,1,0,0,10,10,10,30
INPUPR-190806-AR-1-3-PCU,Alonso Ramirez,8/19/06,2006,11:07,11:17,0:10,2,1,3,3,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,54.12,16.4,58.41,17.7,58.41,17.7,,,27.89218,-115.19067,57.2,14,8,1,3,0,5,1,3,4,3,0,5,0,0,0,1,2,1,1,0,0,10,10,10,30
INPUPR-190806-AR-2-4-PCU,Alonso Ramirez,8/19/06,2006,13:36,13:42,0:06,2,2,4,4,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,29.04,8.8,33.33,10.1,33.33,10.1,,,27.88837,-115.19248,62.6,17,8,1,0,2,7,0,3,5,2,0,1,0,0,0,0,7,2,0,0,0,10,10,10,30
INREBA-210806-AR-1-2-PCU,Alonso Ramirez,8/21/06,2006,11:59,12:06,0:07,2,1,2,2,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,53.46,16.2,60.06,18.2,60.06,18.2,,,27.85768,-115.19135,57.2,14,8,0,0,3,7,0,0,10,0,0,2,0,1,0,0,4,3,0,0,0,10,10,10,210
INREBA-210806-AR-2-3-PCU,Alonso Ramirez,8/21/06,2006,14:12,14:18,0:06,2,2,3,3,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,43.56,13.2,44.22,13.4,44.22,13.4,,,27.86332,-115.18625,57.2,14,8,1,1,3,5,0,1,7,2,0,5,0,0,0,2,0,3,0,0,0,10,10,10,210
INLADU-220806-AR-1-9-PCU,Alonso Ramirez,8/22/06,2006,11:48,11:55,0:07,2,1,9,9,La Dulce,"La Dulce, Isla Natividad Baja California Sur",2,24.75,7.5,27.39,8.3,27.39,8.3,,,27.84262,-115.14275,64.4,18,15,1,0,0,9,0,1,9,0,0,1,0,0,2,0,5,1,1,0,0,10,10,10,300
INLADU-220806-AR-2-10-PCU,Alonso Ramirez,8/22/06,2006,13:46,13:52,0:06,2,2,10,10,La Dulce,"La Dulce, Isla Natividad Baja California Sur",2,23.43,7.1,22.77,6.9,23.43,7.1,,,27.84372,-115.14115,64.4,18,15,2,0,0,8,0,0,10,0,0,2,0,0,3,0,4,0,1,0,0,10,10,10,90
INREBA-230806-AR-1-8-PCU,Alonso Ramirez,8/23/06,2006,11:14,11:19,0:05,2,1,8,8,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,46.53,14.1,47.52,14.4,47.52,14.4,,,27.86075,-115.18935,59,15,5,0,2,1,7,0,1,7,2,0,2,0,0,0,2,1,2,1,2,0,10,10,10,30
INREBA-230806-AR-2-9-PCU,Alonso Ramirez,8/23/06,2006,12:42,12:48,0:06,2,2,9,9,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,29.04,8.8,31.02,9.4,31.02,9.4,,,27.86467,-115.18575,60.8,16,5,0,0,0,10,0,0,6,4,0,2,0,0,0,4,1,0,1,2,0,10,10,10,30
INPUPR-250806-AR-1-9-PCU,Alonso Ramirez,8/25/06,2006,11:31,11:36,0:05,2,1,9,9,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,45.54,13.8,45.21,13.7,45.54,13.8,,,27.89142,-115.19245,62.6,17,6,4,2,0,4,0,5,5,0,0,5,0,1,0,0,2,1,1,0,0,10,10,10,60
INPUPR-250806-AR-2-10-PCU,Alonso Ramirez,8/25/06,2006,13:33,13:39,0:06,2,2,10,10,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,21.78,6.6,29.04,8.8,29.04,8.8,,,27.88798,-115.19468,64.4,18,6,1,2,0,7,0,0,10,0,0,2,0,0,0,4,2,1,0,1,0,10,10,10,30
INLAPL-170806-AG-2-31-PCU,Alonso Grosso,8/17/06,2006,10:22,10:33,0:11,2,1,30,30,La Plana/Las Cuevas,"La Plana/Las Cuevas, Isla Natividad Baja California Sur",1,49.5,15,52.14,15.8,52.14,15.8,,,27.84552,-115.16576,,,5,0,5,4,1,0,6,2,2,0,5,0,0,0,1,4,0,0,0,0,10,10,10,240
INLAPL-170806-AG-1-30-PCU,Alonso Grosso,8/17/06,2006,12:32,12:41,0:09,2,2,31,31,La Plana/Las Cuevas,"La Plana/Las Cuevas, Isla Natividad Baja California Sur",1,22.44,6.8,23.76,7.2,23.76,7.2,,,27.84821,-115.17097,,,5,1,1,8,0,0,1,4,5,0,0,6,0,0,0,4,0,0,0,0,10,10,10,30
INLADU-180806-AG-1-5-PCU,Alonso Grosso,8/18/06,2006,10:44,10:50,0:06,2,1,5,5,La Dulce,"La Dulce, Isla Natividad Baja California Sur",2,45.54,13.8,49.17,14.9,49.17,14.9,,,27.84505,-115.14555,,,5,0,2,8,0,0,2,8,0,0,3,0,0,0,0,7,0,0,0,0,10,10,10,120
INLADU-180806-AG-2-6-PCU,Alonso Grosso,8/18/06,2006,13:13,13:20,0:07,2,2,6,6,La Dulce,"La Dulce, Isla Natividad Baja California Sur",2,42.24,12.8,36.96,11.2,42.24,12.8,,,27.84492,-115.14317,,,5,0,0,10,0,0,2,8,0,0,0,0,0,0,0,10,0,0,0,0,10,10,10,120
INPUPR-190806-AG-1-5-PCU,Alonso Grosso,8/19/06,2006,10:57,11:04,0:07,2,1,5,5,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,56.43,17.1,58.41,17.7,58.41,17.7,,,27.89153,-115.18992,57,14,8,2,6,2,0,0,4,6,0,0,2,0,0,0,0,3,3,2,0,0,10,10,10,210
INPUPR-190806-AG-2-6-PCU,Alonso Grosso,8/19/06,2006,13:36,13:43,0:07,2,2,6,6,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,41.25,12.5,33,10,41.25,12.5,,,27.88889,-115.19347,59,15,8,3,1,6,0,0,3,7,0,0,1,3,0,2,2,2,0,0,0,0,10,10,10,210
INREBA-210806-AG-1-4-PCU,Alonso Grosso,8/21/06,2006,12:02,12:06,0:04,2,1,4,4,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,60.72,18.4,58.08,17.6,58.08,17.6,,,27.85768,-115.19135,57,14,8,0,4,6,0,0,0,10,0,0,0,0,6,0,0,0,4,0,0,0,10,10,10,210
INREBA-210806-AG-2-5-PCU,Alonso Grosso,8/21/06,2006,14:10,14:13,0:03,2,2,5,5,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,46.86,14.2,40.92,12.4,46.86,14.2,,,27.86332,-115.18625,57,14,8,3,5,2,0,0,1,9,0,0,5,3,1,0,0,1,0,0,0,0,10,10,10,210
INLADU-220806-AG-1-11-PCU,Alonso Grosso,8/22/06,2006,11:57,12:03,0:06,2,1,11,11,La Dulce,"La Dulce, Isla Natividad Baja California Sur",2,30.36,9.2,28.38,8.6,30.36,9.2,,,27.8417,-115.14218,63,17,15,0,1,9,0,0,0,8,2,0,1,0,0,0,1,5,0,0,3,0,10,10,10,120
INLADU-220806-AG-2-12-PCU,Alonso Grosso,8/22/06,2006,13:41,13:47,0:06,2,2,12,11,La Dulce,"La Dulce, Isla Natividad Baja California Sur",2,23.43,7.1,23.76,7.2,23.76,7.2,,,27.84332,-115.1423,64,18,15,0,0,10,0,0,0,10,0,0,0,0,0,5,0,3,0,1,1,0,10,10,10,120
INREBA-230806-AG-1-10-PCU,Alonso Grosso,8/23/06,2006,11:19,11:23,0:04,2,1,10,10,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,49.83,15.1,42.24,12.8,49.83,15.1,,,27.86075,-115.18935,59,15,6,0,1,9,0,0,0,7,3,0,0,0,0,0,3,7,0,0,0,0,10,10,10,210
INREBA-230806-AG-2-11-PCU,Alonso Grosso,8/23/06,2006,12:52,12:59,0:07,2,2,11,11,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,27.72,8.4,28.38,8.6,28.38,8.6,,,27.86522,-115.18655,59,15,6,1,0,9,0,0,0,8,0,2,1,3,3,0,0,0,0,0,3,0,10,10,10,210
INPUPR-250806-AG-1-11-PCU,Alonso Grosso,8/25/06,2006,11:25,11:30,0:05,2,1,11,11,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,43.64,14.4,45.15,14.9,45.15,14.9,,,27.89142,-115.19245,64.4,18,8,5,1,4,0,0,8,2,0,0,3,0,0,4,0,3,0,0,0,0,10,10,10,180
INPUPR-250806-AG-2-12-PCU,Alonso Grosso,8/25/06,2006,13:55,13:59,0:04,2,2,12,12,Punta Prieta,"Punta Prieta, Isla Natividad Baja California Sur",1,15.45,5.1,20,6.6,20,6.6,,,27.88798,-115.19468,64.4,18,8,0,0,10,0,0,0,10,0,0,0,0,0,1,1,8,0,0,0,0,10,10,10,210
INREBA-230707-AM-1-1-PCU,Abraham Mayoral,7/23/07,2007,10:04,10:10,0:06,2,1,1,1,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,47.19,14.3,47.19,14.3,47.19,14.3,,,27.85936,-115.18881,59,15,3,0,3,2,10,0,5,10,0,0,0,0,0,0,0,3,4,8,0,0,15,15,15,120
INREBA-230707-AM-2-2-PCU,Abraham Mayoral,7/23/07,2007,11:45,11:53,0:08,2,2,2,2,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,46.53,14.1,46.2,14,46.53,14.1,,,27.86283,-115.18597,59,15,2,14,4,0,12,0,20,10,0,0,14,1,0,0,1,1,2,7,4,0,30,30,30,240
INREBA-230707-AR-1-3-PCU,Alonso Ramirez,7/23/07,2007,10:03,10:09,0:06,2,1,3,3,Babencho,"Babencho, Isla Natividad Baja California Sur",2,45.87,13.9,49.5,15,49.5,15,,,27.85936,-115.18881,59,15,3,0,1,4,10,0,1,12,2,0,0,0,0,0,2,6,4,3,0,0,15,15,15,300
INREBA-230707-AR-2-4-PCU,Alonso Ramirez,7/23/07,2007,11:39,11:46,0:07,2,2,4,4,Babencho,"Babencho, Isla Natividad Baja California Sur",2,46.2,14,45.54,13.8,46.2,14,,,27.86283,-115.18597,55,13,2,10,2,7,11,0,14,16,0,0,11,0,0,0,4,5,5,5,0,0,30,30,30,60
INREBA-230707-AG-1-5-PCU,Alonso Grosso,7/23/07,2007,10:17,10:23,0:06,2,1,5,5,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,42.9,13,48.84,14.8,48.84,14.8,,,27.85914,-115.18936,54,12,3,0,0,1,14,0,0,13,2,0,0,0,0,0,0,1,2,12,0,0,15,15,15,300
INREBA-230707-AG-2-6-PCU,Alonso Grosso,7/23/07,2007,11:59,12:09,0:10,2,2,6,6,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,33,10,37.29,11.3,33,10,,,27.86325,-115.18631,59,15,3,0,2,0,28,0,0,25,5,0,2,2,0,0,0,1,3,21,1,0,30,30,30,210
INREBA-230707-MR-1-7-PCU,Mario Rojo,7/23/07,2007,10:25,10:33,0:08,2,1,7,7,Babencho,"Babencho, Isla Natividad Baja California Sur",2,43.23,13.1,46.2,14,46.2,14,,,27.85914,-115.18936,59,15,3,0,0,2,13,0,0,13,2,0,1,2,0,0,0,7,4,1,0,0,15,15,15,300
INREBA-230707-MR-2-8-PCU,Mario Rojo,7/23/07,2007,12:01,12:10,0:09,2,2,8,8,Babencho,"Babencho, Isla Natividad Baja California Sur",2,39.6,12,38.28,11.6,39.6,12,,,27.86325,-115.18631,59,15,3,0,2,2,11,0,0,14,1,0,1,3,0,0,0,5,6,0,0,0,15,15,15,210
INREBA-010807-AM-1-9-PCU,Abraham Mayoral,8/1/07,2007,10:31,10:39,0:08,2,1,9,9,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,20.79,6.3,24.09,7.3,24.09,7.3,,,27.86636,-115.18369,64,18,3,0,14,5,11,0,11,19,0,0,4,2,0,0,3,4,8,2,7,0,30,30,30,300
INREBA-010807-AM-2-10-PCU,Abraham Mayoral,8/1/07,2007,11:33,11:39,0:06,2,2,10,10,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,27.39,8.3,25.74,7.8,27.39,8.3,,,27.86492,-115.18742,64,18,3,0,4,3,23,0,0,9,9,12,0,4,0,0,3,1,5,8,9,0,30,30,30,300
INREBA-010807-AM-3-11-PCU,Abraham Mayoral,8/1/07,2007,13:19,13:30,0:11,2,3,11,11,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,23.76,7.2,24.42,7.4,24.42,7.4,,,27.86458,-115.18683,64,18,4,0,1,5,24,0,0,12,8,10,0,5,0,0,1,7,3,8,6,0,30,30,30,30
INREBA-010807-AG-1-12-PCU,Alonso Grosso,8/1/07,2007,10:26,10:35,0:09,2,1,12,12,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,23.1,7,22.44,6.8,23.1,7,,,27.86636,-115.18369,64,18,3,0,6,0,24,0,2,24,4,0,2,2,2,0,5,7,1,10,1,0,30,30,30,120
INREBA-010807-AG-2-13-PCU,Alonso Grosso,8/1/07,2007,11:49,11:55,0:06,2,2,13,13,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,33,10,30.69,9.3,33,10,,,27.86491,-115.18741,64,18,3,0,1,0,29,0,1,25,0,4,1,1,0,0,0,1,2,15,10,0,30,30,30,120
INREBA-010807-AG-3-14-PCU,Alonso Grosso,8/1/07,2007,13:20,13:31,0:11,2,3,14,14,Babencho,"Reventadora de Babencho, Isla Natividad Baja California Sur",2,24.75,7.5,23.1,7,24.75,7.5,,,27.86458,-115.18683,64,18,4,0,0,0,30,0,0,23,6,1,0,2,0,0,2,5,0,18,3,0,30,30,30,210
INREBA-010807-MR-1-15-PCU,Mario Rojo,8/1/07,2007,11:54,12:03,0:09,2,1,15,15,Babencho,"Babencho, Isla Natividad Baja California Sur",2,26.4,8,28.05,8.5,28.05,8.5,,,27.86491,-115.18741,64,18,3,0,2,1,27,0,0,23,7,0,1,4,0,0,4,3,4,0,14,0,30,30,30,120
INREBA-010807-MR-2-16-PCU,Mario Rojo,8/1/07,2007,13:20,13:29,0:09,2,2,16,16,Babencho,"Babencho, Isla Natividad Baja California Sur",2,24.75,7.5,23.1,7,24.75,7.5,,,27.86458,-115.18683,64,18,4,1,0,1,28,0,0,21,6,3,3,8,0,0,4,7,4,2,2,0,30,30,30,210
INLABA-280707-AM-1-1-PCU,Abraham Mayoral,7/28/07,2007,12:44,12:50,0:06,2,1,1,1,La Barrita,"La Barrita, Isla Natividad, Baja California Sur",2,33,10,41.25,12.5,41.25,12.5,,,27.89756,-115.20658,57,14,3,0,2,3,10,0,2,13,0,0,0,1,0,0,0,2,3,0,9,0,15,15,15,210
INLABA-280707-AM-2-2-PCU,Abraham Mayoral,7/28/07,2007,14:15,14:24,0:09,2,2,2,2,La Barrita,"La Barrita, Isla Natividad, Baja California Sur",2,16.5,5,22.44,6.8,22.44,6.8,,,27.89553,-115.20761,61,16,7,0,0,3,27,0,0,16,10,4,0,1,0,0,0,3,0,0,23,3,30,30,30,210
INLABA-300707-AM-1-3-PCU,Abraham Mayoral,7/30/07,2007,10:25,10:29,0:04,2,1,3,3,La Barrita,"La Barrita, Isla Natividad, Baja California Sur",2,34.98,10.6,36.63,11.1,36.63,11.1,,,27.89767,-115.20944,59,15,4,1,1,4,9,0,0,15,0,0,1,1,0,0,2,1,4,1,5,0,15,15,15,210
INLABA-300707-AM-2-4-PCU,Abraham Mayoral,7/30/07,2007,12:18,12:28,0:10,2,2,4,4,La Barrita,"La Barrita, Isla Natividad, Baja California Sur",2,15.18,4.6,36.3,11,36.3,11,,,27.8955,-115.20939,64,18,4,0,7,2,21,0,8,14,5,3,0,2,0,0,6,4,5,2,8,3,30,30,30,210
INLABA-280707-AR-1-5-PCU,Alonso Ramirez,7/28/07,2007,12:39,12:45,0:06,2,1,5,5,La Barrita,"La Barrita, Isla Natividad Baja California Sur",2,39.6,12,38.94,11.8,39.6,12,,,27.89756,-115.20658,59,15,3,0,1,0,14,0,1,12,2,0,1,0,0,1,2,7,2,0,2,0,15,15,15,30
INLABA-280707-AR-2-6-PCU,Alonso Ramirez,7/28/07,2007,14:15,14:22,0:07,2,2,6,6,La Barrita,"La Barrita, Isla Natividad Baja California Sur",2,21.12,6.4,22.44,6.8,22.44,6.8,,,27.89553,-115.20761,61,16,7,0,0,5,25,0,0,25,3,2,0,0,0,1,6,0,9,2,12,0,30,30,30,30
INLABA-300707-AR-1-7-PCU,Alonso Ramirez,7/30/07,2007,10:20,10:26,0:06,2,1,7,7,La Barrita,"La Barrita, Isla Natividad Baja California Sur",2,37.29,11.3,35.64,10.8,37.29,11.3,,,27.89767,-115.20944,59,15,4,3,0,1,11,0,3,12,0,0,3,0,0,0,1,2,5,0,4,0,15,15,15,30
INLABA-300707-AR-2-8-PCU,Alonso Ramirez,7/30/07,2007,12:07,12:25,0:18,2,2,8,8,La Barrita,"La Barrita, Isla Natividad Baja California Sur",2,41.25,12.5,39.6,12,41.25,12.5,,,27.8955,-115.20939,64,18,4,1,12,0,17,0,7,20,2,1,4,0,1,0,5,2,17,1,0,0,30,30,30,30
INLABA-280707-AG-1-9-PCU,Alonso Grosso,7/28/07,2007,12:51,12:56,0:05,2,1,9,9,La Barrita,"La Barrita, Isla Natividad, Baja California Sur",2,35.97,10.9,49.5,15,49.5,15,,,27.89777,-115.2068,55,13,3,0,0,0,15,0,0,14,1,0,0,0,3,0,0,4,3,3,2,0,15,15,15,30
INLABA-280707-AG-2-10-PCU,Alonso Grosso,7/28/07,2007,14:17,14:25,0:08,2,2,10,10,La Barrita,"La Barrita, Isla Natividad, Baja California Sur",2,13.2,4,23.1,7,23.1,7,,,27.89588,-115.20802,61,16,7,0,0,0,30,0,4,22,4,0,0,1,4,0,4,0,0,2,8,11,30,30,30,30
INLABA-300707-AG-1-11-PCU,Alonso Grosso,7/30/07,2007,10:23,10:30,0:07,2,1,11,11,La Barrita,"La Barrita, Isla Natividad, Baja California Sur",2,37.29,11.3,33.99,10.3,37.29,11.3,,,27.89783,-115.20986,61,16,4,2,0,0,13,0,1,11,3,0,3,0,0,0,1,1,0,3,6,1,15,15,15,30
INLABA-300707-AG-2-12-PCU,Alonso Grosso,7/30/07,2007,12:15,12:31,0:16,2,2,12,12,La Barrita,"La Barrita, Isla Natividad, Baja California Sur",2,30.03,9.1,39.6,12,39.6,12,,,27.89541,-115.20908,64,18,4,0,7,4,19,0,5,24,1,0,4,3,0,0,4,0,8,11,0,0,30,30,30,30
INLABA-280707-MR-1-13-PCU,Mario Rojo,7/28/07,2007,12:59,13:06,0:07,2,1,13,13,La Barrita,"La Barrita, Isla Natividad Baja California Sur",2,43.23,13.1,47.52,14.4,47.52,14.4,,,27.89777,-115.2068,54,12,2,2,1,3,9,0,1,14,0,0,2,3,0,0,2,6,1,1,0,0,15,15,15,30
INLABA-280707-MR-2-14-PCU,Mario Rojo,7/28/07,2007,14:25,14:32,0:07,2,2,14,14,La Barrita,"La Barrita, Isla Natividad Baja California Sur",2,25.74,7.8,24.75,7.5,25.74,7.8,,,27.89588,-115.20802,59,15,6,0,0,9,6,0,0,15,0,0,0,4,0,0,7,1,3,0,0,0,15,15,15,330
INLABA-300707-MR-1-15-PCU,Mario Rojo,7/30/07,2007,10:30,10:35,0:05,2,1,15,15,La Barrita,"La Barrita, Isla Natividad Baja California Sur",2,36.3,11,35.31,10.7,36.3,11,,,27.89783,-115.20986,59,15,4,5,0,4,6,0,6,9,0,0,5,1,0,0,5,0,1,0,0,3,15,15,15,30
INLABA-300707-MR-2-16-PCU,Mario Rojo,7/30/07,2007,12:14,12:20,0:06,2,2,16,16,La Barrita,"La Barrita, Isla Natividad Baja California Sur",2,33.66,10.2,38.94,11.8,38.94,11.8,,,27.89541,-115.20908,63,17,4,0,8,6,1,0,8,7,0,0,3,3,0,0,3,0,6,0,0,0,15,15,15,30
INLADU-240707-AM-1-1-PCU,Abraham Mayoral,7/24/07,2007,10:29,10:32,0:03,2,1,1,1,La Dulce,"La Dulce, Isla Natividad Baja California Sur",2,39.6,12,36.3,11,39.6,12,,,27.84444,-115.14281,64,18,6,0,3,2,10,0,11,4,0,0,0,0,0,0,3,3,8,1,0,0,15,15,15,210
INLADU-240707-AM-2-2-PCU,Abraham Mayoral,7/24/07,2007,12:13,12:22,0:09,2,2,2,2,La Dulce,"La Dulce, Isla Natividad Baja California Sur",2,25.74,7.8,19.8,6,25.74,7.8,,,27.84275,-115.14239,64,18,7,0,0,0,30,0,12,14,4,0,0,0,0,0,2,10,3,3,4,8,30,30,30,210
INLADU-240707-AR-1-3-PCU,Alonso Ramirez,7/24/07,2007,10:25,10:32,0:07,2,1,3,3,La Dulce,"La Dulce, Isla Natividad Baja California Sur",2,35.64,10.8,37.62,11.4,37.62,11.4,,,27.84444,-115.14281,64,18,6,0,2,1,12,0,4,11,0,0,0,0,0,0,1,6,8,0,0,0,15,15,15,30
