Código,observador,fecha,año,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo de sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (°F),temperatura (°C),visibilidad (m),especie,abundancia,Distancia,Direccion,Comentarios
ELABO-081011-GH-1-4-INV,Gustavo Hinojosa,10/8/11,2011,10:15,10:21,0:06,,,,4,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.77375,112.1058,,,,Erizo espinudo,1,,,
ELABO-081011-GH-1-4-INV,Gustavo Hinojosa,10/8/11,2011,10:15,10:21,0:06,,,,4,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.77375,112.1058,,,,Pulo dos puntos,1,,,
ELABO-081011-OR-1-5-INV,Omar Rangel,10/8/11,2011,9:40,9:46,0:06,,,,5,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57407,111.10578,,,,Langosta roja,2,,,
ELABO-081011-OR-1-5-INV,Omar Rangel,10/8/11,2011,9:40,9:46,0:06,,,,5,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57407,111.10578,,,,Estrella común,1,,,
ELABO-081011-OR-1-5-INV,Omar Rangel,10/8/11,2011,9:40,9:46,0:06,,,,5,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57407,111.10578,,,,Pulpo rojo,1,,,
ELABO-081011-OR-1-6-INV,Omar Rangel,10/8/11,2011,10:49,10:54,0:05,,,,6,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57419,112.10616,,,,Langosta roja,2,,,
ELABO-081011-OR-1-6-INV,Omar Rangel,10/8/11,2011,10:49,10:54,0:05,,,,6,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57419,112.10616,,,,Langosta roja,1,,,
ELABO-081011-AR-1-7-INV,Alfonso Romero,10/8/11,2011,9:40,9:48,0:08,,,,7,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57407,111.10578,,,,Erizo punta de lapiz,1,,,Se relaciona con  ELABO-081011-AR-1-7-PCU
ELABO-081011-AR-1-8-INV,Alfonso Romero,10/8/11,2011,11:04,11:08,0:04,,,,8,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57419,112.10616,,,,Langosta roja,1,,,Se relaciona con  ELABO-081011-AR-1-8-PCU
ELABO-081011-AR-1-8-INV,Alfonso Romero,10/8/11,2011,11:04,11:08,0:04,,,,8,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57419,112.10616,,,,Caracol chino,1,,,Se relaciona con  ELABO-081011-AR-1-8-PCU
ELABO-081011-CR-1-9-INV,Cipriano Romero,10/8/11,2011,10:00,10:06,0:06,,,,9,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57407,111.10578,,,,Abulon azul,1,,,
ELABO-081011-CR-1-9-INV,Cipriano Romero,10/8/11,2011,10:00,10:06,0:06,,,,9,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57407,111.10578,,,,Langosta roja,6,,,
ELABO-081011-CR-1-10-INV,Cipriano Romero,10/8/11,2011,11:17,11:22,0:05,,,,10,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57419,112.10616,,,,Abulon azul,2,,,
LOCAB-131011-OR-1-1-INV,Omar Rangel,10/13/11,2011,8:56,9:03,0:07,,,,1,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55755,112.10275,,,,Abulon azul,3,,,
LOCAB-131011-OR-1-1-INV,Omar Rangel,10/13/11,2011,8:56,9:03,0:07,,,,1,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55755,112.10275,,,,Erizo punta de lapiz,11,,,
LOCAB-131011-OR-1-1-INV,Omar Rangel,10/13/11,2011,8:56,9:03,0:07,,,,1,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55755,112.10275,,,,Erizo espinudo,2,,,
LOCAB-131011-OR-1-1-INV,Omar Rangel,10/13/11,2011,8:56,9:03,0:07,,,,1,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55755,112.10275,,,,Estrella común,3,,,
LOCAB-131011-OR-1-1-INV,Omar Rangel,10/13/11,2011,8:56,9:03,0:07,,,,1,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55755,112.10275,,,,Pulpo rojo,2,,,
ELABO-131011-OR-1-11-INV ,Omar Rangel,10/13/11,2011,10:09,10:16,0:07,,,,11,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.56984,112.1047,,,,Erizo punta de lapiz,2,,,
ELABO-131011-OR-1-11-INV ,Omar Rangel,10/13/11,2011,10:09,10:16,0:07,,,,11,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.56984,112.1047,,,,Pulpo rojo,1,,,
LOCAB-131011-RR-1-2-INV,Raul Romero,10/13/11,2011,8:57,9:02,0:05,,,,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55755,112.10275,,,,Erizo punta de lapiz,6
LOCAB-131011-RR-1-2-INV,Raul Romero,10/13/11,2011,8:57,9:02,0:05,,,,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55755,112.10275,,,,Pulpo rojo,1
ELABO-131011-RR-1-12-INV,Raul Romero,10/13/11,2011,10:13,10:16,0:03,,,,12,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.56984,112.1047,,,,Abulon azul,1
LOCAB-131011-AR-1-3-INV,Alfonso Romero,10/13/11,2011,8:52,8:55,0:03,,,,3,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55755,112.10275,,,,Erizo punta de lapiz,10
LOCAB-131011-AR-1-3-INV,Alfonso Romero,10/13/11,2011,8:52,8:55,0:03,,,,3,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55755,112.10275,,,,Estrella común,1
ELABO-131011-AR-1-13-INV,Alfonso Romero,10/13/11,2011,10:09,10:12,0:03,,,,13,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.56984,112.1047,,,,,0
ELABO-111011-NV-1-14-INV,Norberto Velez,10/13/11,2011,10:36,10:43,0:07,,,,14,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.56898,112.10366,,,,Caracol chino,4
ELABO-111011-NV-1-14-INV,Norberto Velez,10/13/11,2011,10:36,10:43,0:07,,,,14,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.56898,112.10366,,,,Erizo punta de lapiz,1
ELABO-111011-NV-1-14-INV,Norberto Velez,10/13/11,2011,10:36,10:43,0:07,,,,14,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.56898,112.10366,,,,Estrella común,4
LOCAB-131011-CR-1-4-INV,Cipriano Romero,10/13/11,2011,9:08,9:16,0:08,,,,4,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55755,112.10275,,,,Langosta roja,2
LOCAB-131011-CR-1-4-INV,Cipriano Romero,10/13/11,2011,9:08,9:16,0:08,,,,4,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55755,112.10275,,,,Erizo punta de lapiz,12
LOCAB-131011-CR-1-4-INV,Cipriano Romero,10/13/11,2011,9:08,9:16,0:08,,,,4,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55755,112.10275,,,,Estrella común,4
ELABO-131011-CR-1-15-INV,Cipriano Romero,10/13/11,2011,10:24,10:32,0:08,,,,15,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.56984,112.1078,,,,,0
LOCAB-101011-CR-1-5-INV,Cipriano Romero,10/10/11,2011,8:59,9:05,0:06,,,,5,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55767,112.10815,,,,Erizo punta de lapiz,30
LOCAB-101011-CR-1-5-INV,Cipriano Romero,10/10/11,2011,8:59,9:05,0:06,,,,5,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55767,112.10815,,,,Estrella común,4
LOCAB-101011-AR-1-6-INV,Alfonso Romero,10/10/11,2011,8:38,8:45,0:07,,,,6,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55767,112.10419,,,,Caracol chino,3
LOCAB-101011-AR-1-6-INV,Alfonso Romero,10/10/11,2011,8:38,8:45,0:07,,,,6,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55767,112.10419,,,,Erizo punta de lapiz,55,,,
LOCAB-101011-AR-1-6-INV,Alfonso Romero,10/10/11,2011,8:38,8:45,0:07,,,,6,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55767,112.10419,,,,Erizo puntas rotas,2,,,
LOCAB-101011-AR-1-6-INV,Alfonso Romero,10/10/11,2011,8:38,8:45,0:07,,,,6,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55767,112.10419,,,,Estrella común,1,,,
LOCAB-101011-RR-1-7-INV,Roguer Romero,10/10/11,2011,8:54,9:02,0:08,,,,7,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55773,112.10432,,,,Abulon azul,4,,160,
LOCAB-101011-RR-1-7-INV,Roguer Romero,10/10/11,2011,8:54,9:02,0:08,,,,7,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55773,112.10432,,,,Erizo punta de lapiz,50,,160,
LOCAB-101011-RR-1-7-INV,Roguer Romero,10/10/11,2011,8:54,9:02,0:08,,,,7,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55773,112.10432,,,,Estrella común,3,,160,
LOCAB-101011-RR-1-8-INV,Roguer Romero,10/10/11,2011,10:13,10:15,0:02,,,,8,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55495,112.10291,,18,,Caracol chino,1,,,
LOCAB-101011-RR-1-8-INV,Roguer Romero,10/10/11,2011,10:13,10:15,0:02,,,,8,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55495,112.10291,,18,,Erizo punta de lapiz,10,,,
LOCAB-101011-RR-1-8-INV,Roguer Romero,10/10/11,2011,10:13,10:15,0:02,,,,8,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55495,112.10291,,18,,Estrella común,2,,,
LOCAB-101011-RR-1-8-INV,Roguer Romero,10/10/11,2011,10:13,10:15,0:02,,,,8,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55495,112.10291,,18,,Pulpo rojo,1,,,
LOCAB-101011-RR-1-8-INV,Roguer Romero,10/10/11,2011,10:13,10:15,0:02,,,,8,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55495,112.10291,,18,,Pulpo dos puntos,1,,,
LOCAB-101011-GH-1-9-INV,Gustavo Hinojosa,10/10/11,2011,9:18,9:27,0:09,,,,9,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55773,112.10432,,,,Abulon azul,1,,,20 cm
LOCAB-101011-GH-1-9-INV,Gustavo Hinojosa,10/10/11,2011,9:18,9:27,0:09,,,,9,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55773,112.10432,,,,Langosta roja,1,,,
LOCAB-101011-GH-1-9-INV,Gustavo Hinojosa,10/10/11,2011,9:18,9:27,0:09,,,,9,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55773,112.10432,,,,Langosta roja,1,,,
LOCAB-101011-GH-1-9-INV,Gustavo Hinojosa,10/10/11,2011,9:18,9:27,0:09,,,,9,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55773,112.10432,,,,Caracol chino,1,,,
LOCAB-101011-GH-1-9-INV,Gustavo Hinojosa,10/10/11,2011,9:18,9:27,0:09,,,,9,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55773,112.10432,,,,Erizo punta de lapiz,83,18,,
LOCAB-101011-GH-1-9-INV,Gustavo Hinojosa,10/10/11,2011,9:18,9:27,0:09,,,,9,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55773,112.10432,,,,Erizo espinudo,3,,,
LOCAB-101011-GH-1-9-INV,Gustavo Hinojosa,10/10/11,2011,9:18,9:27,0:09,,,,9,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55773,112.10432,,,,Erizo puntas rotas,1,,,
LOCAB-101011-GH-1-9-INV,Gustavo Hinojosa,10/10/11,2011,9:18,9:27,0:09,,,,9,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55773,112.10432,,,,Pulpo rojo,1,,,
LOCAB-101011-GH-1-10-INV,Gustavo Hinojosa,10/10/11,2011,10:40,10:45,0:05,,,,10,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55495,112.10201,,,,Erizo punta de lapiz,2,,130,Cambio de dirección: 3 m
LOCAB-101011-GH-1-10-INV,Gustavo Hinojosa,10/10/11,2011,10:40,10:45,0:05,,,,10,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55495,112.10201,,,,Muricea spp. (>10 cm),5,,130,Cambio de dirección: 3 m
LOCAB-131011-RR-1-11-INV,Roguer Romero,10/10/11,2011,9:17,9:24,0:07,,,,11,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55741,112.10271,,,,Abulon azul,3,,,
LOCAB-131011-RR-1-11-INV,Roguer Romero,10/10/11,2011,9:17,9:24,0:07,,,,11,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55741,112.10271,,,,Langosta roja,2,,,
LOCAB-131011-RR-1-11-INV,Roguer Romero,10/10/11,2011,9:17,9:24,0:07,,,,11,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55741,112.10271,,,,Langosta azul,3,,,
LOCAB-131011-RR-1-11-INV,Roguer Romero,10/10/11,2011,9:17,9:24,0:07,,,,11,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55741,112.10271,,,,Caracol chino,3,,,
LOCAB-131011-RR-1-11-INV,Roguer Romero,10/10/11,2011,9:17,9:24,0:07,,,,11,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55741,112.10271,,,,Erizo punta de lapiz,10,,,
LOCAB-131011-RR-1-12-INV,Roguer Romero,10/13/11,2011,10:32,10:39,0:07,,,,12,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.56898,112.10366,,,,Caracol chino,3,,,
LOCAB-131011-RR-1-12-INV,Roguer Romero,10/13/11,2011,10:32,10:39,0:07,,,,12,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.56898,112.10366,,,,Estrella común,5,,,
PUBLA-161011-NV-1-1-INV,Norberto Velez,10/16/11,2011,9:24,9:32,0:08,,,,1,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65892,112.17791,,,,Erizo punta de lapiz,5,,,Somero
PUBLA-161011-NV-1-1-INV,Norberto Velez,10/16/11,2011,9:24,9:32,0:08,,,,1,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65892,112.17791,,,,Estrella común,4,,,Somero
PUBLA-161011-NV-1-2-INV,Norberto Velez,10/16/11,2011,10:33,10:41,0:08,,,,2,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65885,112.13542,,,,Langosta roja,10,,,Somero
PUBLA-161011-NV-1-2-INV,Norberto Velez,10/16/11,2011,10:33,10:41,0:08,,,,2,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65885,112.13542,,,,Langosta azul,4,,,Somero
PUBLA-161011-NV-1-2-INV,Norberto Velez,10/16/11,2011,10:33,10:41,0:08,,,,2,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65885,112.13542,,,,Erizo punta de lapiz,2,,,Somero
PUBLA-161011-NV-1-2-INV,Norberto Velez,10/16/11,2011,10:33,10:41,0:08,,,,2,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65885,112.13542,,,,Erizo puntas rotas,15,,,Somero
PUBLA-161011-NV-1-2-INV,Norberto Velez,10/16/11,2011,10:33,10:41,0:08,,,,2,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65885,112.13542,,,,Pulpo rojo,2,,,Somero
PUBLA-161011-GH-1-3-INV,Gustavo Hinojosa,10/16/11,2011,9:35,9:40,0:05,,,,3,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65892,112.17791,,,,Langosta roja,1,,,Somero
PUBLA-161011-GH-1-3-INV,Gustavo Hinojosa,10/16/11,2011,9:35,9:40,0:05,,,,3,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65892,112.17791,,,,Erizo punta de lapiz,19,,,Somero
PUBLA-161011-GH-1-3-INV,Gustavo Hinojosa,10/16/11,2011,9:35,9:40,0:05,,,,3,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65892,112.17791,,,,Erizo espinudo,2,,,Somero
PUBLA-161011-GH-1-3-INV,Gustavo Hinojosa,10/16/11,2011,9:35,9:40,0:05,,,,3,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65892,112.17791,,,,Erizo puntas rotas,1,,,Somero
PUBLA-161011-GH-1-3-INV,Gustavo Hinojosa,10/16/11,2011,9:35,9:40,0:05,,,,3,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65892,112.17791,,,,Muricea spp. (>10 cm),2,,,Somero
PUBLA-161011-GH-1-3-INV,Gustavo Hinojosa,10/16/11,2011,9:35,9:40,0:05,,,,3,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65892,112.17791,,,,Estrella común,2,,,Somero
PUBLA-161011-GH-1-3-INV,Gustavo Hinojosa,10/16/11,2011,9:35,9:40,0:05,,,,3,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65892,112.17791,,,,Pulpo rojo,1,,,Somero
PUBLA-161011-GH-1-4-INV,Gustavo Hinojosa,10/16/11,2011,10:46,10:51,0:05,,,,4,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65885,112.17542,,,,Abulon azul,3,,,Somero
PUBLA-161011-GH-1-4-INV,Gustavo Hinojosa,10/16/11,2011,10:46,10:51,0:05,,,,4,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65885,112.17542,,,,Erizo puntas rotas,54,,,Somero. 6 metros
PUBLA-161011-GH-1-4-INV,Gustavo Hinojosa,10/16/11,2011,10:46,10:51,0:05,,,,4,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65885,112.17542,,,,Muricea spp. (>10 cm),3,,,Somero
PUBLA-161011-GH-1-4-INV,Gustavo Hinojosa,10/16/11,2011,10:46,10:51,0:05,,,,4,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65885,112.17542,,,,Estrella común,5,,,Somero
PUBLA-161011-GH-1-4-INV,Gustavo Hinojosa,10/16/11,2011,10:46,10:51,0:05,,,,4,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65885,112.17542,,,,Pulpo rojo,3,,,Somero
PUBLA-161011-RR-1-5-INV,Raul Romero,10/16/11,2011,9:13,9:17,0:04,,,,5,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.6593,112.17776,,,,Langosta roja,1,,,Somero
PUBLA-161011-RR-1-5-INV,Raul Romero,10/16/11,2011,9:13,9:17,0:04,,,,5,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.6593,112.17776,,,,Erizo punta de lapiz,18,,,Somero
PUBLA-161011-RR-1-5-INV,Raul Romero,10/16/11,2011,9:13,9:17,0:04,,,,5,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.6593,112.17776,,,,Estrella común,6,,,Somero
PUBLA-161011-RR-1-6-INV,Raul Romero,10/16/11,2011,10:14,10:19,0:05,,,,6,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65894,112.7552,,,,Langosta azul,8,,,Somero
PUBLA-161011-RR-1-6-INV,Raul Romero,10/16/11,2011,10:14,10:19,0:05,,,,6,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65894,112.7552,,,,Caracol chino,1,,,Somero
PUBLA-161011-RR-1-6-INV,Raul Romero,10/16/11,2011,10:14,10:19,0:05,,,,6,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65894,112.7552,,,,Erizo punta de lapiz,7,,,Somero
PUBLA-161011-RR-1-6-INV,Raul Romero,10/16/11,2011,10:14,10:19,0:05,,,,6,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65894,112.7552,,,,Erizo puntas rotas,107,14,,Somero
PUBLA-161011-RR-1-6-INV,Raul Romero,10/16/11,2011,10:14,10:19,0:05,,,,6,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65894,112.7552,,,,Estrella común,3,,,Somero
PUBLA-161011-OR-1-7-INV,Omar Rangel,10/16/11,2011,9:14,9:20,0:06,,,,7,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.6343,112.17776,,,,Abulon azul,1,,,Somero
PUBLA-161011-OR-1-7-INV,Omar Rangel,10/16/11,2011,9:14,9:20,0:06,,,,7,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.6343,112.17776,,,,Pepino café,2,,,Somero
PUBLA-161011-OR-1-7-INV,Omar Rangel,10/16/11,2011,9:14,9:20,0:06,,,,7,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.6343,112.17776,,,,Erizo punta de lapiz,68,22,,Somero
PUBLA-161011-OR-1-7-INV,Omar Rangel,10/16/11,2011,9:14,9:20,0:06,,,,7,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.6343,112.17776,,,,Erizo espinudo,6,,,Somero
PUBLA-161011-OR-1-7-INV,Omar Rangel,10/16/11,2011,9:14,9:20,0:06,,,,7,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.6343,112.17776,,,,Estrella común,5,,,Somero
PUBLA-161011-OR-1-7-INV,Omar Rangel,10/16/11,2011,9:14,9:20,0:06,,,,7,Punta Blanca Somero,"Punta Blanca somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.6343,112.17776,,,,Pulpo rojo,5,,,Somero
