codigo,observador,fecha,A–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),A,G,B,R,O,0,1,2,3,N,C,OC,V,R,CO,L,I,G,P,Total sustrato,Total relieve,Total Cobertura
IMELPR-281110-ML-1-5-PCU,Mary Luna,11/28/10,2010,10:30,10:39,0:09,2,1,5,5,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,30.69,9.3,25.41,7.7,30.69,9.3,28.05,8.5,24.66187,-112.17224,n/d,n/d,8,0,2,0,26,2,0,25,5,0,6,0,1,0,13,2,5,3,0,0,30,30,30
IMELPR-281110-MW-1-6-PCU,Megan Wehrenberg,11/28/10,2010,10:21,10:32,0:11,2,1,6,6,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,26.07,7.9,23.1,7,26.07,7.9,24.59,7.45,24.66187,-112.17224,n/d,n/d,8,0,2,11,17,0,0,21,9,0,0,0,4,0,16,5,3,2,0,0,30,30,30
IMELPR-281110-AR-2-7-PCU,Alfonso Romero,11/28/10,2010,12:30,12:42,0:12,2,2,7,7,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,28.05,8.5,25.41,7.7,28.05,8.5,26.73,8.1,24.66181,-112.17298,n/d,n/d,8,1,0,0,27,2,0,30,0,0,3,0,0,0,18,0,9,0,0,0,30,30,30
IMELPR-281110-AH-2-8-PCU,Arturo Hernandez,11/28/10,2010,12:30,12:38,0:08,2,2,8,8,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,23.1,7,32.01,9.7,32.01,9.7,27.56,8.35,24.66181,-112.17298,n/d,n/d,10,0,0,8,22,0,1,27,2,0,0,2,0,0,13,5,10,0,0,0,30,30,30
IMELPR-281110-AH-2-9-PCU,Arturo Hernandez,11/28/10,2010,12:50,12:55,0:05,2,2,9,9,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,30.03,9.1,28.38,8.6,30.03,9.1,29.21,8.85,24.66181,-112.17298,n/d,n/d,10,0,2,9,19,0,0,30,0,0,0,1,0,0,17,6,6,0,0,0,30,30,30
IMELPR-281110-RR-2-10-PCU,Roguer Romero,11/28/10,2010,12:17,12:27,0:10,2,2,10,10,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,12.87,3.9,14.52,4.4,14.52,4.4,13.7,4.15,24.66179,-112.17228,n/d,n/d,5,0,0,0,30,0,0,1,26,3,0,0,1,0,20,0,9,0,0,0,30,30,30
IMELPR-281110-ML-2-11-PCU,Mary Luna,11/28/10,2010,13:11,13:26,0:15,2,2,11,11,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,12.21,3.7,17.16,5.2,17.16,5.2,14.69,4.45,24.66179,-112.17228,n/d,n/d,8,0,0,0,30,0,0,21,9,0,5,0,0,0,9,0,10,6,0,0,30,30,30
IMELPR-281110-MW-2-12-PCU,Megan Wehrenberg,11/28/10,2010,1:07,1:14,0:07,2,2,12,12,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,20.13,6.1,22.11,6.7,22.11,6.7,21.12,6.4,24.66179,-112.17228,n/d,n/d,9,0,1,2,27,0,0,26,4,0,8,2,0,0,10,0,6,4,0,0,30,30,30
IMPUTE-271110-OR-1-1-PCU,Omar Rangel,11/27/10,2010,10:42,10:55,0:13,2,1,1,1,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,44.55,13.5,42.9,13,44.55,13.5,43.73,13.25,24.65128,-112.18231,n/d,n/d,n/d,0,0,6,24,0,0,30,0,0,0,2,0,0,17,4,6,1,0,0,30,30,30
IMELABO-271110-OR-2-1-PCU,Omar Rangel,11/27/10,2010,12:26,12:37,0:11,2,2,1,1,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",2,37.62,11.4,36.96,11.2,37.62,11.4,37.29,11.3,24.57287,-112.10508,n/d,n/d,n/d,0,0,0,30,0,0,30,0,0,0,7,0,0,16,0,7,0,0,0,30,30,30
IMPUTE-271110-AH-1-2-PCU,Arturo Hernandez,11/27/10,2010,10:42,10:49,0:07,2,1,2,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,43.23,13.1,43.23,13.1,43.23,13.1,43.23,13.1,24.65128,-112.18231,n/d,n/d,n/d,0,0,0,30,0,8,22,0,0,0,3,2,0,12,11,1,1,0,0,30,30,30
IMELABO-271110-AH-2-2-PCU,Arturo Hernandez,11/27/10,2010,10:59,11:04,0:05,2,2,2,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",2,43.23,13.1,45.54,13.8,45.54,13.8,44.39,13.45,24.57287,-112.10508,n/d,n/d,n/d,0,0,0,30,0,9,21,0,0,0,1,4,0,14,8,2,1,0,0,30,30,30
IMPUTE-271110-AH-1-3-PCU,Arturo Hernandez,11/27/10,2010,11:29,11:35,0:06,2,1,3,3,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,39.93,12.1,36.63,11.1,39.93,12.1,38.28,11.6,24.65128,-112.18231,n/d,n/d,9,0,1,1,28,0,1,28,1,0,0,8,0,0,8,2,12,0,0,0,30,30,30
IMELABO-271110-AH-2-3-PCU,Arturo Hernandez,11/27/10,2010,12:42,12:48,0:06,2,2,3,3,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",2,42.57,12.9,36.63,11.1,42.57,12.9,39.6,12,24.57287,-112.10508,n/d,n/d,n/d,0,0,0,30,0,8,22,0,0,0,6,0,0,10,1,5,4,4,0,30,30,30
IMPUTE-271110-NV-1-4-PCU,Norberto Velez,11/27/10,2010,10:32,10:48,0:16,2,1,4,4,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,39.6,12,41.25,12.5,41.25,12.5,40.43,12.25,24.65911,-112.1806,n/d,n/d,9,0,0,0,30,0,1,27,2,0,1,8,11,0,0,0,10,0,0,0,30,30,30
IMELABO-271110-NV-2-4-PCU,Norberto Velez,11/27/10,2010,12:23,12:38,0:15,2,2,4,4,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",2,41.58,12.6,40.92,12.4,41.58,12.6,41.25,12.5,24.57419,-112.10616,n/d,n/d,n/d,1,0,1,28,0,3,24,3,0,1,4,1,1,9,0,13,0,0,1,30,30,30
IMPUTE-271110-ML-1-5-PCU,Mary Luna,11/27/10,2010,10:22,10:33,0:11,2,1,5,5,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,40.59,12.3,39.6,12,40.59,12.3,40.1,12.15,24.65911,-112.1806,n/d,n/d,9,0,0,0,30,0,11,19,0,0,5,0,3,0,6,10,6,0,0,0,30,30,30
IMELABO-271110-ML-2-5-PCU,Mary Luna,11/27/10,2010,12:16,12:26,0:10,2,2,5,5,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",2,44.88,13.6,38.28,11.6,44.88,13.6,41.58,12.6,24.57419,-112.10616,n/d,n/d,n/d,0,0,0,30,0,27,3,0,0,8,1,0,1,13,0,7,0,0,0,30,30,30
IMPUTE-271110-MW-1-6-PCU,Megan Wehrenberg,11/27/10,2010,10:06,10:12,0:06,2,1,6,6,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,44,13.33,43,13.03,44,13.33,43.5,13.18,24.662,-112.1802,n/d,n/d,8,0,0,0,30,0,14,16,0,0,0,0,6,1,10,5,8,0,0,0,30,30,30
IMPUTE-271110-MW-1-7-PCU,Megan Wehrenberg,11/27/10,2010,10:23,10:31,0:08,2,1,7,7,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,45,13.64,41,12.42,45,13.64,43,13.03,24.662,-112.1802,n/d,n/d,8,0,0,0,30,0,15,15,0,0,1,0,4,0,18,4,2,1,0,0,30,30,30
IMELABO-271110-MW-2-6-PCU,Megan Wehrenberg,11/27/10,2010,12:06,12:14,0:08,2,2,6,6,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",2,35,10.61,40,12.12,40,12.12,37.5,11.36,24.57419,-112.10616,n/d,n/d,8,6,2,0,22,0,18,12,0,0,4,3,1,0,6,0,6,3,0,7,30,30,30
BAMAG-261110-RR-1-1-PCU,Roguer Romero,11/26/10,2010,10:40,10:50,0:10,2,1,1,1,Punta Blanca Garropas,"Punta Blanca, Isla Magdalena, Baja California Sur",1,57.42,17.4,47.19,14.3,57.42,17.4,52.31,15.85,24.66152,-112.18146,n/d,n/d,n/d,8,0,0,22,0,29,1,0,0,8,2,0,0,13,0,7,0,0,0,30,30,30
BAMAG-261110-OR-1-2-PCU,Omar Rangel,11/26/10,2010,10:49,11:02,0:13,2,1,2,2,Punta Blanca Garropas,"Punta Blanca, Isla Magdalena, Baja California Sur",1,50.82,15.4,49.5,15,50.82,15.4,50.16,15.2,24.66152,-112.18146,n/d,n/d,n/d,1,0,0,29,0,0,22,8,0,1,2,0,0,18,7,1,1,0,0,30,30,30
BAMAG-261110-MW-1-3-PCU,Megan Wehrenberg,11/26/10,2010,10:06,10:13,0:07,2,1,3,3,Punta Blanca Garropas,"Punta Blanca, Isla Magdalena, Baja California Sur",1,44.22,13.4,45.21,13.7,45.21,13.7,44.72,13.55,24.66152,-112.18146,n/d,n/d,n/d,0,1,0,28,1,14,14,2,0,0,1,2,0,18,4,4,1,0,0,30,30,30
BAMAG-261110-ML-1-4-PCU,Mary Luna,11/26/10,2010,10:38,10:48,0:10,2,1,4,4,Punta Blanca Garropas,"Punta Blanca, Isla Magdalena, Baja California Sur",1,48.84,14.8,44.22,13.4,48.84,14.8,46.53,14.1,24.66152,-112.18146,n/d,n/d,6,0,1,0,28,1,0,30,0,0,6,1,1,0,13,6,2,1,0,0,30,30,30
BAMAG-261110-AH-1-5-PCU,Arturo Hernandez,11/26/10,2010,10:53,11:05,0:12,2,1,5,5,Punta Blanca Garropas,"Punta Blanca, Isla Magdalena, Baja California Sur",1,54.45,16.5,52.14,15.8,54.45,16.5,53.3,16.15,24.66152,-112.18146,n/d,n/d,6,2,0,28,0,0,1,25,4,0,2,5,0,0,3,13,4,3,0,0,30,30,30
IMLOCA-241110-AH-1-1-PCU,Arturo Hernandez,11/24/10,2010,11:45,11:53,0:08,2,1,1,1,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",2,46.53,14.1,45.54,13.8,46.53,14.1,46.04,13.95,24.55612,-112.10513,60.8,16,7,0,0,9,21,0,0,25,5,0,0,2,0,0,18,4,3,3,0,0,30,30,30
IMLOCA-241110-MW-1-2-PCU,Cipriano Romero,11/24/10,2010,11:50,12:10,0:20,2,1,2,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",2,45,13.64,46,13.94,46,13.94,45.5,13.79,24.55641,-112.10266,n/d,n/d,6,3,0,2,24,1,0,24,6,0,5,0,0,0,14,0,11,0,0,0,30,30,30
IMLOCA-241110-ML-1-3-PCU,Mary Luna,11/24/10,2010,11:09,11:18,0:09,2,1,3,3,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",2,55.44,16.8,58.74,17.8,58.74,17.8,57.09,17.3,24.55641,-112.10266,n/d,n/d,10,5,0,0,23,2,0,30,0,0,13,0,0,1,12,1,3,0,0,0,30,30,30
IMLOCA-241110-ML-2-4-PCU,Mary Luna,11/24/10,2010,13:10,13:22,0:12,2,2,4,4,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",2,35.97,10.9,40.92,12.4,40.92,12.4,38.45,11.65,24.55641,-112.10266,n/d,n/d,8,10,2,0,18,0,0,23,7,0,18,2,0,0,8,0,1,1,0,0,30,30,30
IMLOCA-241110-MW-2-5-PCU,Megan Wehrenberg,11/24/10,2010,13:09,13:17,0:08,2,2,5,5,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",2,38,11.52,35,10.61,38,11.52,36.5,11.06,24.55641,-112.10266,n/d,n/d,8,6,0,0,24,0,0,27,3,0,7,2,0,0,7,1,1,6,6,0,30,30,30
IMLOCA-241110-AH-2-6-PCU,Arturo Hernandez,11/24/10,2010,13:17,13:24,0:07,2,2,6,6,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",2,46.53,14.1,45.54,13.8,46.53,14.1,46.04,13.95,24.55832,-112.10448,60.8,16,7,2,0,,28,,1,23,6,0,3,5,0,0,8,2,4,8,0,0,30,30,30
