coDAgo,observador,fecha,a–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo de sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),especie,abundancia,# guias,Distancia,Observaciones,Extrapolaci—n
IMELPR-281110-RR-2-8-DA,Raul Romero,11/28/10,2010,12:22,12:30,0:08,2,2,8,8,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,23.1,7,32.01,9.7,32.01,9.7,27.56,8.35,24.66181,-112.17298,n/d,n/d,10,Colifor,44,n/a,n/a,,
IMELPR-281110-AH-2-9-DA,Arturo Hernandez,11/28/10,2010,12:59,13:04,0:05,2,2,9,9,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,30.03,9.1,28.38,8.6,30.03,9.1,29.21,8.85,24.66181,-112.17298,n/d,n/d,10,Colifor,19,n/a,n/a,,
IMELPR-281110-NV-2-10-DA,Norberto Velez,11/28/10,2010,12:24,12:31,0:07,2,2,10,10,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,12.87,3.9,14.52,4.4,14.52,4.4,13.7,4.15,24.66179,-112.17228,n/d,n/d,5,Colifor,11,n/a,n/a,,
IMELPR-281110-ML-2-11-DA,Mary Luna,11/28/10,2010,13:37,13:39,0:02,2,2,11,11,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,12.21,3.7,17.16,5.2,17.16,5.2,14.69,4.45,24.66179,-112.17228,n/d,n/d,8,Colifor,0,n/a,n/a,,
IMELPR-281110-MW-2-12-DA,Megan Wehrenberg,11/28/10,2010,13:27,13:30,0:03,2,2,12,12,El Progresista,"El progresista, Isla Magdalena, Baja California Sur",2,20.13,6.1,22.11,6.7,22.11,6.7,21.12,6.4,24.66179,-112.17228,n/d,n/d,9,Colifor,2,n/a,n/a,,
IMPUTE-271110-RR-1-1-DA,Raul Romero,11/27/10,2010,10:35,10:45,0:10,2,1,1,1,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,44.55,13.5,42.9,13,44.55,13.5,43.73,13.25,24.65128,-112.18231,n/d,n/d,n/d,Colifor,50,n/a,19,,79
IMELABO-271110-RR-2-1-DA,Raul Romero,11/27/10,2010,12:23,12:30,0:07,2,2,1,1,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",2,37.62,11.4,36.96,11.2,37.62,11.4,37.29,11.3,24.57287,-112.10508,n/d,n/d,n/d,Colifor,50,n/a,9,,167
IMPUTE-271110-CR-1-2-DA,Cipriano Romero,11/27/10,2010,10:40,10:49,0:09,2,1,2,2,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,39.6,12,41.58,12.6,41.58,12.6,40.59,12.3,24.65128,-112.18231,n/d,n/d,6,Colifor,21,n/a,n/a,,
IMELABO-271110-CR-2-2-DA,Cipriano Romero,11/27/10,2010,12:33,12:37,0:04,2,2,2,2,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",2,43.23,13.1,45.54,13.8,45.54,13.8,44.39,13.45,24.57287,-112.10508,n/d,n/d,n/d,Colifor,50,n/a,12,,125
IMPUTE-271110-AH-1-3-DA,Arturo Hernandez,11/27/10,2010,10:50,10:56,0:06,2,1,3,3,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,39.93,12.1,36.63,11.1,39.93,12.1,38.28,11.6,24.65128,-112.18231,n/d,n/d,9,Colifor,43,n/a,n/a,,
IMELABO-271110-AH-2-3-DA,Arturo Hernandez,11/27/10,2010,12:59,13:10,0:11,2,2,3,3,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",2,42.57,12.9,36.63,11.1,42.57,12.9,39.6,12,24.57287,-112.10508,n/d,n/d,n/d,Colifor,50,n/a,10,,150
IMELABO-271110-AH-2-3-DA,Arturo Hernandez,11/27/10,2010,12:59,13:10,0:11,2,2,3,3,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",2,42.57,12.9,36.63,11.1,42.57,12.9,39.6,12,24.57287,-112.10508,n/d,n/d,n/d,Sargassum,1,n/a,n/a,,
IMPUTE-271110-NV-1-4-DA,Norberto Velez,11/27/10,2010,10:50,10:59,0:09,2,1,4,4,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,39.6,12,41.25,12.5,41.25,12.5,40.43,12.25,24.65911,-112.1806,n/d,n/d,9,Colifor,62,n/a,30,,
IMELABO-271110-NV-2-4-DA,Norberto Velez,11/27/10,2010,12:39,12:46,0:07,2,2,4,4,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",2,41.58,12.6,40.92,12.4,41.58,12.6,41.25,12.5,24.57419,-112.10616,n/d,n/d,n/d,Colifor,50,n/a,10,,150
IMPUTE-271110-ML-1-5-DA,Mary Luna,11/27/10,2010,10:14,10:22,0:08,2,1,5,5,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,40.59,12.3,39.6,12,40.59,12.3,40.1,12.15,24.65911,-112.1806,n/d,n/d,9,Colifor,50,n/a,29,,52
IMELABO-271110-ML-2-5-DA,Mary Luna,11/27/10,2010,12:10,12:16,0:06,2,2,5,5,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",2,44.88,13.6,38.28,11.6,44.88,13.6,41.58,12.6,24.57419,-112.10616,n/d,n/d,n/d,Colifor,37,n/a,n/a,,
IMPUTE-271110-GH-1-6-DA,Gustavo Hinojosa,11/27/10,2010,10:38,10:42,0:04,2,1,6,6,Punta Blanca Tepetate,"Punta Blanca Tepetate, Isla Magdalena, Baja California Sur",1,44,13.33,43,13.03,44,13.33,43.5,13.18,24.662,-112.1802,n/d,n/d,8,Colifor,43,n/a,n/a,,
IMELABO-271110-MW-2-6-DA,Megan Wehrenberg,11/27/10,2010,12:14,12:18,0:04,2,2,6,6,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",2,35,10.61,40,12.12,40,12.12,37.5,11.36,24.57419,-112.10616,n/d,n/d,8,Colifor,50,n/a,16,,94
BAMAG-261110-RR-1-1-DA,Roguer Romero,11/26/10,2010,10:51,10:56,0:05,2,1,1,1,Punta Blanca Garropas,"Punta Blanca, Isla Magdalena, Baja California Sur",1,57.42,17.4,47.19,14.3,57.42,17.4,52.31,15.85,24.66152,-112.18146,n/d,n/d,,Colifor,43,n/a,n/a,,
BAMAG-261110-OR-1-2-DA,Omar Rangel,11/26/10,2010,10:31,10:40,0:09,2,1,2,2,Punta Blanca Garropas,"Punta Blanca, Isla Magdalena, Baja California Sur",1,50.82,15.4,49.5,15,50.82,15.4,50.16,15.2,24.66152,-112.18146,n/d,n/d,n/d,Colifor,23,n/a,n/a,,
BAMAG-261110-MW-1-3-DA,Megan Wehrenberg,11/26/10,2010,10:17,10:24,0:07,2,1,3,3,Punta Blanca Garropas,"Punta Blanca, Isla Magdalena, Baja California Sur",1,44.22,13.4,45.21,13.7,45.21,13.7,44.72,13.55,24.66152,-112.18146,n/d,n/d,,Colifor,40,n/a,n/a,,
BAMAG-261110-ML-1-4-DA,Mary Luna,11/26/10,2010,10:28,10:33,0:05,2,1,4,4,Punta Blanca Garropas,"Punta Blanca, Isla Magdalena, Baja California Sur",1,48.84,14.8,44.22,13.4,48.84,14.8,46.53,14.1,24.66152,-112.18146,n/d,n/d,6,Colifor,11,n/a,n/a,,
BAMAG-261110-AH-1-5-DA,Arturo Hernandez,11/26/10,2010,10:46,10:53,0:07,2,1,5,5,Punta Blanca Garropas,"Punta Blanca, Isla Magdalena, Baja California Sur",1,54.45,16.5,52.14,15.8,54.45,16.5,53.3,16.15,24.66152,-112.18146,66.2,19,6,Colifor,50,n/a,14,sargassum,107
IMLOCA-241110-NV-1-1-DA,Norberto Velez,11/24/10,2010,11:55,12:02,0:07,2,1,1,1,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",2,46.53,14.1,45.54,13.8,46.53,14.1,46.04,13.95,24.55612,-112.10513,60.8,16,7,Colifor,141,n/a,n/a,,
IMLOCA-241110-CR-1-2-DA,Cipriano Romero,11/24/10,2010,11:42,11:50,0:08,2,1,2,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",2,45,13.64,46,13.94,46,13.94,45.5,13.79,24.55641,-112.10266,n/d,n/d,6,Colifor,50,n/a,19,,79
IMLOCA-241110-RR-1-3-DA,Roguer Romero,11/24/10,2010,11:33,11:38,0:05,2,1,3,3,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",2,55.44,16.8,58.74,17.8,58.74,17.8,57.09,17.3,24.55641,-112.10266,n/d,n/d,10,Colifor,61,n/a,n/a,,79
IMLOCA-241110-RR-2-4-DA,Roguer Romero,11/24/10,2010,13:08,13:16,0:08,2,2,4,4,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",2,35.97,10.9,40.92,12.4,40.92,12.4,38.45,11.65,24.55641,-112.10266,n/d,n/d,8,Colifor,50,n/a,7,,214
IMLOCA-241110-MW-2-5-DA,Megan Wehrenberg,11/24/10,2010,13:07,13:09,0:02,2,2,5,5,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",2,38.28,11.6,35.31,10.7,38.28,11.6,36.8,11.15,24.55641,-112.10266,n/d,n/d,8,Colifor,50,n/a,10,,150
IMLOCA-241110-NV-2-6-DA,Norberto Velez,11/24/10,2010,13:28,13:38,0:10,2,2,6,6,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",2,46.53,14.1,45.54,13.8,46.53,14.1,46.04,13.95,24.55832,-112.10448,60.8,16,7,Colifor,50,n/a,9,,167
