C—digo,observador,fecha,a–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,tipo de sitio,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),especie,abundancia,# guias,Distancia,Observaciones,Extrapolaci—n
ELABO-131011-AR-1-13-DA,Alfonso Romero,10/13/11,2011,10:23,10:27,0:04,2,1,13,13,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.56987,112.1047,,,,Colifor,50,,25,No se observaron algas invasivas,60
ELABO-131011-CR-1-14-DA,Cipriano Romero,10/13/11,2011,10:46,10:48,0:02,2,1,14,14,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.56984,112.1074,,,,Colifor,50,,6,No se observaron algas invasivas,250
ELABO-181011-AR-1-15-DA,Alfonso Romero,10/18/11,2011,10:19,10:20,0:01,2,1,15,15,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57346,112.10561,,,,Colifor,50,,5,No se observaron algas invasivas. ,300
ELABO-181011-RR-1-16-DA,Raul Romero,10/18/11,2011,10:17,10:24,0:07,2,1,16,16,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57346,112.10561,,,,Colifor,50,,5,No se observaron algas invasivas. ,300
ELABO-181011-RR-1-17-DA,Roguer Romero,10/18/11,2011,10:35,10:38,0:03,2,1,17,17,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57345,112.10563,,,,Colifor,50,,4,No se observaron algas invasivas. ,375
ELABO-181011-OR-1-18-DA,Omar Rangel,10/18/11,2011,10:49,10:53,0:04,2,2,18,18,El Abolladero,"El Abolladero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.59346,112.10561,,,,Colifor,50,,3,No se observaron algas invasivas. ,500
LOCAB-101011-CR-1-1-DA,Cipriano Romero,10/10/11,2011,9:21,9:24,0:03,2,1,1,1,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55767,112.10815,,,,Colifor,45,,,No se observaron algas invasivas,
LOCAB-101011-AR-1-2-DA,Alfonso Romero,10/10/11,2011,8:47,8:51,0:04,2,1,2,2,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,N/D,N/D,,,,Colifor,67,,,,
LOCAB-101011-RR-1-3-DA,Roguer Romero,10/10/11,2011,9:03,9:07,0:04,2,1,3,3,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,N/D,N/D,,,,Colifor,50,,15,No se observaron algas invasivas,100
LOCAB-101011-RR-1-4-DA,Roguer Romero,10/10/11,2011,10:18,10:21,0:03,2,1,4,4,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,N/D,N/D,,,,Colifor,40,,,No se observaron algas invasivas,
LOCAB-101011-GH-1-5-DA,Gustavo Hinojosa,10/10/11,2011,9:37,9:43,0:06,2,1,5,5,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55773,112.10432,,,,Colifor,50,,11,No se observaron algas invasivas,136
LOCAB-101011-GH-1-6-DA,Gustavo Hinojosa,10/10/11,2011,10:51,10:54,0:03,2,2,6,6,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,N/D,N/D,,,,Colifor,50,,19,No se observaron algas invasivas,79
LOCAB-131011-OR-1-7-DA,Omar Rangel,10/13/11,2011,9:11,9:15,0:04,2,2,7,7,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.59755,112.10275,,,,Colifor,36,,,No se observaron algas invasivas,
LOCAB-131011-RR-1-8-DA,Raul Romero,10/13/11,2011,9:12,9:18,0:06,2,1,8,8,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55755,112.10275,,,,Colifor,15,,,No se observaron algas invasivas,
LOCAB-131011-AR-1-9-DA,Alfonso Romero,10/13/11,2011,9:05,9:09,0:04,2,1,9,9,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.53755,112.10275,,,,Colifor,50,,8,No se observaron algas invasivas,188
LOCAB-131011-CR-1-9-DA,Cipriano Romero,10/13/11,2011,9:24,9:28,0:04,2,1,10,10,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55755,112.10275,,,,Colifor,18,,,No se observaron algas invasivas,
LOCAB-131011-RR-1-10-DA,Roger Romero,10/13/11,2011,9:25,9:29,0:04,2,1,11,11,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55747,112.10271,,,,Colifor,12,,,No se observaron algas invasivas,
LOCAB-131011-RR-1-11-DA,Roger Romero,10/13/11,2011,10:40,10:42,0:02,2,1,12,12,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.56898,112.10366,,,,Colifor,50,,2,No se observaron algas invasivas,750
LOCAB-181011-AR-1-12-DA,Alfonso Romero,10/18/11,2011,9:00,9:04,0:04,2,1,13,13,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55035,112.10541,,,,Colifor,50,,15,No se observaron algas invasivas. ,100
LOCAB-181011-CR-1-13-DA,Cipriano Romero,10/18/11,2011,9:25,9:28,0:03,2,1,14,14,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55675,112.17541,,,,Colifor,50,,20,No se observaron algas invasivas. ,75
LOCAB-181011-CR-1-14-DA,Cipriano Romero,10/18/11,2011,10:45,10:49,0:04,2,1,15,15,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57346,112.10561,,,,Colifor,50,,5,No se observaron algas invasivas. ,300
LOCAB-181011-NV-1-15-DA,Norberto Velez,10/18/11,2011,9:20,9:26,0:06,2,1,16,16,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55612,112.10513,,,,Colifor,50,,8,No se observaron algas invasivas. ,188
LOCAB-181011-NV-1-16-DA,Norberto Velez,10/18/11,2011,10:34,10:37,0:03,2,1,17,17,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57345,112.10563,,,,Colifor,50,,4,No se observaron algas invasivas. ,375
LOCAB-181011-RR-1-17-DA,Raul Romero,10/18/11,2011,9:09,9:12,0:03,2,1,18,18,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.5635,112.10541,,,,Colifor,11,,,No se observaron algas invasivas. ,
LOCAB-181011-GH-1-18-DA,Gustavo Hinojosa,10/18/11,2011,9:29,9:31,0:02,2,1,19,19,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55612,112.10513,,,,Colifor,52,,12,No se observaron algas invasivas. ,130
LOCAB-181011-GH-1-19-DA,Gustavo Hinojosa,10/18/11,2011,10:48,10:50,0:02,2,2,20,20,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.57345,112.10563,,,,Colifor,50,,5,No se observaron algas invasivas. ,300
LOCAB-181011-OR-1-20-DA,Omar Rangel,10/18/11,2011,9:38,9:43,0:05,2,1,21,21,Los Cabitos,"Los Cabitos, Isla Magdalena, Baja California Sur",,,,,,,,,,24.55635,112.10411,,,,Colifor,50,,27,No se observaron algas invasivas. ,56
ELPRO-111011-RR-1-1-DA,Roguer Romero,10/11/11,2011,9:32,9:37,0:05,2,1,1,1,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,,,,,,Colifor,30,,,No se observaron algas invasivas,
ELPRO-111011-RR-1-2-DA,Roguer Romero,10/11/11,2011,11:11,11:14,0:03,2,2,2,2,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,,,,,,Colifor,3,,,No se observaron algas invasivas,
ELPRO-111011-NV-1-3-DA,Norberto Velez,10/11/11,2011,9:35,9:41,0:06,2,1,3,3,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,,,,,,Colifor,6,,,No se observaron algas invasivas. Hay m‡s chicas que grandes,
ELPRO-111011-NV-1-4-DA,Norberto Velez,10/11/11,2011,11:12,11:16,0:04,2,2,4,4,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,,,,,,Colifor,2,,,No se observaron algas invasivas. ,
ELPRO-111011-AR-1-5-DA,Alfonso Romero,10/11/11,2011,9:19,9:23,0:04,2,1,5,5,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66169,112.17349,,,,Colifor,2,,,,
ELPRO-111011-AR-1-6-DA,Alfonso Romero,10/11/11,2011,11:01,11:05,0:04,2,2,6,6,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66207,112.17238,,,,,0,,,,
ELPRO-111011-OR-1-7-DA,Omar Rangel,10/11/11,2011,9:24,9:34,0:10,2,1,7,7,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66169,112.17349,,,,Colifor,15,,,No se observaron algas invasivas. ,
ELPRO-111011-OR-1-8-DA,Omar Rangel,10/11/11,2011,11:09,11:16,0:07,2,2,8,8,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66707,112.17738,,,,Colifor,9,,,No se observaron algas invasivas. ,
ELPRO-111011-RR-1-9-DA,Raul Romero,10/11/11,2011,9:27,9:32,0:05,2,1,9,9,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,,,,,,Colifor,22,,,No se observaron algas invasivas. ,
ELPRO-111011-RR-1-10-DA,Raul Romero,10/11/11,2011,11:11,11:16,0:05,2,2,10,10,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,,,,,,Colifor,6,,,No se observaron algas invasivas. ,
ELPRO-111011-CR-1-11-DA,Cipriano Romero,10/11/11,2011,9:41,9:47,0:06,2,1,11,11,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66169,112.79749,,,,Colifor,3,,,No se observaron algas invasivas. ,
ELPRO-111011-CR-1-12-DA,Cipriano Romero,10/11/11,2011,11:27,11:30,0:03,2,2,12,12,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66207,112.17238,,,,Colifor,6,,,No se observaron algas invasivas. ,
ELPRO-111011-GH-1-13-DA,Gustavo Hinojosa,10/11/11,2011,9:48,9:51,0:03,2,1,13,13,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66165,112.17348,,,,,0,,,No se observaron algas invasivas. ,
ELPRO-111011-GH-1-14-DA,Gustavo Hinojosa,10/11/11,2011,11:24,11:29,0:05,2,2,14,14,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.16687,112.17224,,,,,0,,,No se observaron algas invasivas. ,
ELPRO-121011-RR-1-15-DA,Roguer Romero,10/12/11,2011,9:31,9:36,0:05,2,1,15,15,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66141,112.17098,,,,Colifor,3,,,No se observaron algas invasivas. ,
ELPRO-121011-RR-1-16-DA,Roguer Romero,10/12/11,2011,10:44,10:50,0:06,2,2,16,16,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.62164,112.16808,,,,Colifor,13,,,No se observaron algas invasivas. ,
ELPRO-121011-GH-1-17-DA,Gustavo Hinojosa,10/12/11,2011,9:40,9:48,0:08,2,1,17,17,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66191,112.17094,,,,Colifor,50,,11,No se observaron algas invasivas. ,136
ELPRO-121011-GH-1-18-DA,Gustavo Hinojosa,10/12/11,2011,10:59,11:03,0:04,2,2,18,18,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.67164,112.16808,,,,Colifor,5,,,No se observaron algas invasivas. ,
ELPRO-111011-NV-1-19-DA,Norberto Velez,10/11/11,2011,9:40,9:47,0:07,2,1,19,19,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66191,112.17094,,,,Colifor,50,,19,No se observaron algas invasivas. ,79
ELPRO-111011-NV-1-20-DA,Norberto Velez,10/11/11,2011,10:53,11:04,0:11,2,2,20,20,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.67124,112.16808,,,,Colifor,1,,30,No se observaron algas invasivas. ,1
ELPRO-121011-RR-1-21-DA,Raul Romero,10/12/11,2011,9:16,9:20,0:04,2,1,21,21,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66203,112.1097,,,,Colifor,27,,,No se observaron algas invasivas. ,
ELPRO-121011-RR-1-22-DA,Raul Romero,10/12/11,2011,10:35,10:41,0:06,2,1,22,22,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.67167,112.16811,,,,Colifor,35,,,No se observaron algas invasivas. ,
ELPRO-121011-CR-1-23-DA,Cipriano Romero,10/12/11,2011,9:38,9:45,0:07,2,1,23,23,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.6643,112.17097,,,,Colifor,50,,28,No se observaron algas invasivas. ,54
ELPRO-121011-CR-1-24-DA,Cipriano Romero,10/12/11,2011,10:57,11:02,0:05,2,2,24,24,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.67107,112.16811,,,,Colifor,39,,,No se observaron algas invasivas. ,
ELPRO-121011-AR-1-25-DA,Alfonso Romero,10/12/11,2011,9:12,9:19,0:07,2,1,25,25,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66203,112.17097,,,,Colifor,18,,,No se observaron algas invasivas. ,
ELPRO-121011-AR-1-26-DA,Alfonso Romero,10/12/11,2011,10:41,10:46,0:05,2,1,26,26,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.67107,112.6811,,,,Colifor,29,,,No se observaron algas invasivas. ,
ELPRO-121011-OR-1-27-DA,Omar Rangel,10/12/11,2011,9:16,9:22,0:06,2,1,27,27,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66203,112.17097,,,,Colifor,33,,,No se observaron algas invasivas. ,
ELPRO-121011-OR-1-28-DA,Omar Rangel,10/12/11,2011,10:36,10:42,0:06,2,1,28,28,El Progresista,"El Progresista, Isla Magdalena, Baja California Sur",,,,,,,,,,24.67167,112.16811,,,,Colifor,50,,27,No se observaron algas invasivas. ,56
PUBLA-171011-GH-1-2-DA,Gustavo Hinojosa,10/17/11,2011,11:11,11:15,0:04,2,2,1,1,Punta Blanca ,"Punta Blanca, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65823,112.17747,,,,Colifor,34,,,No se observaron algas invasivas,
PUBLA-171011-RR-1-3-DA,Roguer Romero,10/17/11,2011,10:53,10:58,0:05,2,2,2,2,Punta Blanca ,"Punta Blanca, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65823,112.17747,,,,Colifor,19,,,No se observaron algas invasivas,
PUBLA-171011-NV-1-4-DA,Norberto Velez,10/17/11,2011,9:35,9:41,0:06,2,1,3,3,Punta Blanca ,"Punta Blanca, Isla Magdalena, Baja California Sur",,,,,,,,,,,,,,,Colifor,50,,11,No se observaron algas invasivas,136
PUBLA-171011-NV-1-5-DA,Norberto Velez,10/17/11,2011,10:51,10:58,0:07,2,2,4,4,Punta Blanca ,"Punta Blanca, Isla Magdalena, Baja California Sur",,,,,,,,,,,,,,,Colifor,27,,30,No se observaron algas invasivas,27
PUBLA-171011-OR-1-6-DA,Omar Rangel,10/17/11,2011,9:27,9:31,0:04,2,1,5,5,Punta Blanca ,"Punta Blanca, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65949,112.18053,,,,Colifor,50,,13,No se observaron algas invasivas,115
PUBLA-171011-OR-1-7-DA,Omar Rangel,10/17/11,2011,10:45,10:50,0:05,2,2,6,6,Punta Blanca ,"Punta Blanca, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65893,112.17547,,,,Colifor,16,,,No se observaron algas invasivas,
PUBLA-171011-RR-1-8-DA,Raul Romero,10/17/11,2011,9:24,9:30,0:06,2,1,7,7,Punta Blanca ,"Punta Blanca, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65949,112.1811,,,,Colifor,50,,12,No se observaron algas invasivas,125
PUBLA-171011-RR-1-9-DA,Raul Romero,10/17/11,2011,10:38,10:44,0:06,2,1,8,8,Punta Blanca ,"Punta Blanca, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65293,112.17543,,,,Colifor,8,,,No se observaron algas invasivas,
PUBLA-171011-AR-1-10-DA,Alfonso Romero,10/17/11,2011,9:20,9:24,0:04,2,1,9,9,Punta Blanca ,"Punta Blanca, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65893,112.17547,,,,Colifor,36,,,No se observaron algas invasivas,
PUBLA-181011-CR-1-11-DA,Cipriano Romero,10/18/11,2011,9:48,9:54,0:06,2,1,10,10,Punta Blanca ,"Punta Blanca, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65489,112.8053,,,,Colifor,50,,21,No se observaron algas invasivas,71
PUBLA-181011-CR-1-12-DA,Cipriano Romero,10/18/11,2011,11:00,11:05,0:05,2,2,11,11,Punta Blanca ,"Punta Blanca, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65898,112.17347,,,,Colifor,20,,,No se observaron algas invasivas,
PUBLA-141011-AR-1-1-DA,Alfonso Romero,10/14/11,2011,9:08,9:12,0:04,2,1,1,1,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66053,112.17105,,,,Colifor,50,,22,No se observaron algas invasivas,68
PUBLA-141011-AR-1-2-DA,Cipriano Romero,10/14/11,2011,9:32,9:34,0:02,2,1,2,2,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66059,112.1705,,,,Colifor,35,,,No se observaron algas invasivas,
PUBLA-141011-AR-1-3-DA,Cipriano Romero,10/14/11,2011,10:54,10:57,0:03,2,2,3,3,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",,,,,,,,,,24.659,112.78053,,,,Colifor,39,,,No se observaron algas invasivas,
PUBLA-141011-GH-1-4-DA,Gustavo Hinojosa,10/14/11,2011,9:35,9:39,0:04,2,1,4,4,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66052,112.1791,,,,Colifor,50,,4,No se observaron algas invasivas,375
PUBLA-141011-GH-1-5-DA,Gustavo Hinojosa,10/14/11,2011,11:00,11:07,0:07,2,2,5,5,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",,,,,,,,,,24.6541,112.1806,,,,Colifor,55,,14,No se observaron algas invasivas,118
PUBLA-141011-NV-1-6-DA,Norberto Velez,10/14/11,2011,9:33,9:38,0:05,2,1,6,6,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66052,112.1991,,,,Colifor,50,,7,No se observaron algas invasivas,214
PUBLA-141011-NV-1-7-DA,Norberto Velez,10/14/11,2011,10:52,11:04,0:12,2,2,7,7,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65911,112.1806,,,,Colifor,50,,13,No se observaron algas invasivas,115
PUBLA-141011-RR-1-8-DA,Roguer Romero,10/14/11,2011,9:20,9:24,0:04,2,1,8,8,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66052,112.1791,,,,Colifor,15,,,No se observaron algas invasivas,
PUBLA-141011-RR-1-9-DA,Roguer Romero,10/14/11,2011,10:45,10:51,0:06,2,2,9,9,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65911,112.018066,,,,Colifor,50,,20,No se observaron algas invasivas,75
PUBLA-141011-RR-1-10-DA,Roguer Romero,10/14/11,2011,9:18,9:22,0:04,2,1,10,10,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66053,112.17705,,,,Colifor,38,,,No se observaron algas invasivas,
PUBLA-141011-OR-1-11-DA,Omar Rangel,10/14/11,2011,9:51,9:56,0:05,2,1,11,11,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",,,,,,,,,,24.66053,112.17985,,,,Colifor,47,,,No se observaron algas invasivas,
PUBLA-141011-OR-1-12-DA,Omar Rangel,10/14/11,2011,11:12,11:16,0:04,2,2,12,12,Punta Blanca Garropas,"Punta Blanca Garropas, Isla Magdalena, Baja California Sur",,,,,,,,,,24.659,112.18055,,,,Colifor,50,,6,,250
PUBLA-161011-NV-1-1-DA,Norberto Velez,10/16/11,2011,9:33,9:38,0:05,2,1,1,1,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65892,112.17491,,,,Colifor,27,,30,No se observaron algas invasivas,27
PUBLA-161011-NV-1-2-DA,Norberto Velez,10/16/11,2011,10:41,10:47,0:06,2,1,2,2,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65885,112.17542,,,,Colifor,14,,30,No se observaron algas invasivas,14
PUBLA-161011-NV-1-3-DA,Gustavo Hinojosa,10/16/11,2011,9:46,9:50,0:04,2,1,3,3,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65842,112.17791,,,,Colifor,50,,24,No se observaron algas invasivas,63
PUBLA-161011-NV-1-4-DA,Gustavo Hinojosa,10/16/11,2011,10:58,11:09,0:11,2,2,4,4,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65885,112.17542,,,,Colifor,20,,,No se observaron algas invasivas,
PUBLA-161011-RR-1-5-DA,Raul Romero,10/16/11,2011,9:27,9:32,0:05,2,1,5,5,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.6593,112.1777,,,,Colifor,23,,,No se observaron algas invasivas,
PUBLA-161011-RR-1-6-DA,Raul Romero,10/16/11,2011,10:30,10:35,0:05,2,1,6,6,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65899,112.7552,,,,Colifor,9,,,No se observaron algas invasivas
PUBLA-161011-OR-1-7-DA,Omar Rangel,10/16/11,2011,9:26,9:30,0:04,2,1,7,7,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.6693,112.17776,,,,Colifor,9,,,No se observaron algas invasivas
PUBLA-161011-OR-1-8-DA,Omar Rangel,10/16/11,2011,10:24,10:28,0:04,2,1,8,8,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65899,112.7552,,,,Colifor,5,,,No se observaron algas invasivas
PUBLA-151011-CR-1-9-DA,Cipriano Romero,10/15/11,2011,9:35,9:38,0:03,2,1,9,9,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",,,,,,,,,,28.6593,112.14478,,,,Colifor,10,,,No se observaron algas invasivas
PUBLA-151011-CR-1-10-DA,Cipriano Romero,10/15/11,2011,10:49,10:52,0:03,2,2,10,10,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.65889,112.7582,,,,Colifor,15,,,No se observaron algas invasivas
PUBLA-161011-AR-1-11-DA,Alfonso Romero,10/16/11,2011,9:16,9:20,0:04,2,1,11,11,Punta Blanca Somero,"Punta Blanca Somero, Isla Magdalena, Baja California Sur",,,,,,,,,,24.6593,112.17776,,,,Colifor,4,,,No se observaron algas invasivas
