codigo,observador,fecha,a–o,tiempo inicio,tiempo final,tiempo total,epoca,no. buceo,no. replica,no. transecto,sitio,sitio en extenso,zona,prof inicial (ft),prof inicial (m),prof final (ft),prof final (m),prof max (ft),prof max (m),prof X (ft),prof X (m),latitud (N),longitud (W),temperatura (¡F),temperatura (¡C),visibilidad (m),especie,talla,sexo/categoria,direcci—n,comentarios,nt,biomasa
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Apogon pacifici,3,,,,3.4,0.4385
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Apogon pacifici,3,,,,3.4,0.4385
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Bodianus diplotaenia,35,,,,3.4,859.3398
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Bodianus diplotaenia,40,,,,3.4,1282.6093
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Bodianus diplotaenia,25,,,,3.4,313.2548
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Chaetodon humeralis,15,,,,2.7,97.0994
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Chaetodon humeralis,15,,,,2.7,97.0994
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Halichoeres dispilus,10,,,,3.5,14.7120
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Halichoeres dispilus,10,,,,3.5,14.7120
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Halichoeres dispilus,10,,,,3.5,14.7120
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Halichoeres dispilus,10,,,,3.5,14.7120
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Halichoeres dispilus,5,,,,3.5,1.7552
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Halichoeres dispilus,5,,,,3.5,1.7552
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Halichoeres dispilus,10,,,,3.5,14.7120
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Halichoeres dispilus,10,,,,3.5,14.7120
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Halichoeres dispilus,10,,,,3.5,14.7120
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Hoplopagrus guentherii,45,,,,3.7,2077.6500
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,25,,,,4,270.3125
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,25,,,,4,270.3125
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,25,,,,4,270.3125
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,25,,,,4,270.3125
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,25,,,,4,270.3125
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,25,,,,4,270.3125
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,25,,,,4,270.3125
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,30,,,,4,467.1000
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,30,,,,4,467.1000
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,30,,,,4,467.1000
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,30,,,,4,467.1000
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,30,,,,4,467.1000
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,30,,,,4,467.1000
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,30,,,,4,467.1000
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,30,,,,4,467.1000
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,20,,,,4,138.4000
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Lutjanus argentientris,20,,,,4,138.4000
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Mycteroperca jordani,50,,,,4.5,2337.5000
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Mycteroperca jordani,55,,,,4.5,3111.2125
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Mycteroperca rosacea,35,,,,4.1,512.5470
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Mycteroperca rosacea,35,,,,4.1,512.5470
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Mycteroperca rosacea,40,,,,4.1,762.0260
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Mycteroperca rosacea,30,,,,4.1,324.2663
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Mycteroperca rosacea,30,,,,4.1,324.2663
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Mycteroperca rosacea,45,,,,4.1,1081.1671
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Pomacanthus zonipectus,30,,,,3.1,469.9121
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Prionurus punctatus,25,,,,2,626.7682
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Prionurus punctatus,25,,,,2,626.7682
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Prionurus punctatus,25,,,,2,626.7682
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Prionurus punctatus,30,,,,2,989.4112
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Prionurus punctatus,30,,,,2,989.4112
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Prionurus punctatus,35,,,,2,1455.4979
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Prionurus punctatus,35,,,,2,1455.4979
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Scarus perico,30,,,,2,586.2539
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Scarus perico,30,,,,2,586.2539
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Scarus perico,30,,,,2,586.2539
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Scarus perico,35,,,,2,937.5019
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Thalassoma lucasanum,10,,,,3.5,9.5283
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Thalassoma lucasanum,10,,,,3.5,9.5283
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Thalassoma lucasanum,10,,,,3.5,9.5283
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Thalassoma lucasanum,10,,,,3.5,9.5283
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Hypsypops rubicundus,30,,,,3.2,852.8754
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Hypsypops rubicundus,25,,,,3.2,486.2381
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Hypsypops rubicundus,20,,,,3.2,244.4400
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Hypsypops rubicundus,20,,,,3.2,244.4400
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Mycteroperca xenarcha,50,,,,4.1,2300.0000
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Mycteroperca xenarcha,40,,,,4.1,1177.6000
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Pareques spp.,3,,,,3.5,0.2933
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Pareques spp.,3,,,,3.5,0.2933
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Pareques spp.,3,,,,3.5,0.2933
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Pareques spp.,3,,,,3.5,0.2933
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Pareques spp.,3,,,,3.5,0.2933
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Halichoeres chierchae,5,,,,3.5,1.7552
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Pseudobalistis naufragium,40,,,,3.4,1941.1921
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Calamus brachyosomus,30,,,,3.5,7041.8306
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Calamus brachyosomus,30,,,,3.5,7041.8306
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Paralabrax auroguttatus,20,,,,3.1,116.8000
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Semicossyphus pulcher,35,,,,3.6,1239.0875
,Arturo Hernandez,11/20/10,2010,10:55,11:01,,,1,1,1,Punta Blanca,Punta Blanca Bahia Magdalena,,,14.3,,15.2,,,,,,,,19,,Semicossyphus pulcher,5,,,,3.6,3.61250
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Abudefduf troschelii,10,,,,3,18.0186
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Abudefduf troschelii,10,,,,3,18.0186
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Abudefduf troschelii,10,,,,3,18.0186
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Abudefduf troschelii,10,,,,3,18.0186
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Abudefduf troschelii,10,,,,3,18.0186
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Abudefduf troschelii,10,,,,3,18.0186
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Abudefduf troschelii,10,,,,3,18.0186
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Abudefduf troschelii,10,,,,3,18.0186
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Abudefduf troschelii,10,,,,3,18.0186
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Abudefduf troschelii,10,,,,3,18.0186
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Abudefduf troschelii,10,,,,3,18.0186
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Abudefduf troschelii,10,,,,3,18.0186
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Abudefduf troschelii,10,,,,3,18.0186
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Abudefduf troschelii,10,,,,3,18.0186
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Abudefduf troschelii,15,,,,3,62.0984
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Abudefduf troschelii,15,,,,3,62.0984
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Anisotremus interruptus,30,,,,3.5,1131.1889
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Anisotremus interruptus,30,,,,3.5,1131.1889
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Apogon pacifici,10,,,,3.4,18.9592
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Apogon pacifici,10,,,,3.4,18.9592
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Apogon pacifici,5,,,,3.4,2.1678
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Apogon pacifici,5,,,,3.4,2.1678
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Apogon pacifici,5,,,,3.4,2.1678
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Apogon pacifici,5,,,,3.4,2.1678
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Bodianus diplotaenia,30,,,,3.4,541.2253
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Bodianus diplotaenia,30,,,,3.4,541.2253
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Bodianus diplotaenia,35,,,,3.4,859.3398
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Bodianus diplotaenia,30,,,,3.4,541.2253
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Bodianus diplotaenia,30,,,,3.4,541.2253
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Bodianus diplotaenia,15,,,,3.4,67.6907
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Bodianus diplotaenia,10,,,,3.4,20.0630
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Chromis atrilobata,5,,,,2.7,1.2781
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Chromis atrilobata,5,,,,2.7,1.2781
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Chromis atrilobata,5,,,,2.7,1.2781
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Chromis atrilobata,5,,,,2.7,1.2781
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Chromis atrilobata,5,,,,2.7,1.2781
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Chromis atrilobata,5,,,,2.7,1.2781
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Chromis atrilobata,5,,,,2.7,1.2781
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Chromis atrilobata,5,,,,2.7,1.2781
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Chromis atrilobata,5,,,,2.7,1.2781
,Arturo Hernandez,11/20/10,2010,13:50,14:04,,,2,2,2,Punta Blanca,Punta Blanca Bahia Magdalena,,,8.8,,9.1,,,,,,,,19,,Chromis atrilobata,5,,,,2.7,1.2781
